Username,location,friend_count,review_count,photo_count,rating,date,review
Rosa H.,"Round Rock, TX",63,50,184,5.0,9/27/2017,We love it here! Ck out happy hour! Mon-Fri 3-7pm!!! Root Beer ribs only $6! Wines is $5!
Chris M.,"Austin, TX",1,64,4,1.0,9/23/2017,Tried bjs carry out again after a while of swearing it off.  Ordered two of the southern fried chicken lunch specials.  When I got it home I wondered what happened to the chicken part of it.  I removed the tiny chicken piece from each container to weigh them.  One was 2.3 oz and the other was 2.8 oz.  Now I wasn't expecting a pound of chicken but 2 oz is embarrassing and quite frankly a rip off.  I have pictures of the digital scale with each piece of chicken on it to show I am not making up numbers.  Come on bjs chicken is a cheap ingredient and you gave me 25 cents worth. On the plus side the mobile checkout and curbside delivery was excellent and my order was correct.  I should say that bjs did seem to address that issue and I was satisfied with the service as opposed to in the past.
Stephanie A.,"Austin, TX",44,161,1262,4.0,8/23/2017,"Came here for a quick bite to eat with my daughter as we had one of their lovely coupons.  The place was a bit empty but that was because we came during non peak hours.  We were seated in a booth and a nice man came to ask us about drinks which he was quick to return with.  We then ordered some food, we enjoyed the following: Mediterranean Chicken Pita Tacos:  These are usually my ""Go To"" when I visit BJs and I absolutely love them. The pita bread is fresh and the yogurt cream they use is tangy and delicious. The tomatoes and cucumbers lightly seasoned compliments well with this taco. The only complaint I have ever had is the cubed chicken mean, I would prefer perhaps shredded chicken or some other way way to cut it up.  We both opted for different sides, although the bistro grains are scrumptious as well.  We both chose to enjoy some of their delicious broccoli cheese soup.  Unfortunately this came out pretty cold as if the bowls were sitting on a counter too long but when we brought this up to our waiter - he took them back and had them warmed up.  To be honest, I would have preferred a fresher bowl, but we didn't want to wait any longer. My daughter also enjoyed the Mac & Cheese which was extremely yummy, very creamy with good seasonings and a bit different then we are use to but definitely something we would both order again. All in all our visit was rather good as well as the food and customer service. Thank you!"
Diron K.,"Dripping Springs, TX",34,293,405,4.0,8/19/2017,"We ate here for a friend's birthday and had a good experience. We all got the loaded burgers and unlimited fries. The burgers were unbelievably good. We also had their craft beer (hefeweizen), which was awesome. The only low point was the service, which started out great, but then was non existent. After some discussion with the waiter, the service was amazing again and ended amazing. We would definitely visit again."
Cj A.,"Austin, TX",0,3,,1.0,1/1/2018,I'm a big BJs fan. But this place has really gone downhill lately. The service is terrible. The wait staff is rude. Management is uncaring and unresponsive. The food is average at best. I'm never going back. There are way too many other better dining options in the area. I wouldn't be surprised to see this location shut down in the not so distant future if upper management doesn't address the problems at this restaurant.
Ashley V.,"Austin, TX",295,155,374,2.0,3/19/2017,"At first it reminded me of a Cheesecake Factory but with a brewery or bar vibe. We ordered the pork green verde queso to start. It came out, no pork just green sauce on queso. I told the waiter it didn't have pork he told me that I must've ordered the wrong one. He then brings out the queso with beef chili in it and says ""now there, that looks like it has pork in it"" I said ""I disagree, that's the other option that has beef chili in it. The verde one you brought didn't have any pork in it."" He said he would let the manager know and left the chili queso on the table.  My Cobb salad was decent at best. Tomatoes were mealy and chicken was obviously previously frozen. My boyfriends brisket burger was good.  Our queso should've been comped or he could've at least comped my boyfriends tea but nope.  Thanks Julio.    Bad food, bad service. Won't be coming back. Totally annoyed after our experience."
James H.,"Austin, TX",58,83,73,4.0,6/19/2017,"For me it will always start with the in house brewing selections and the free pint beer glass for Father's Day was a nice touch as it was Saturday I was eating there. Menu selection is broad and my maple salmon pita tacos hit the spot. The place kind of reminds me of  Bennigan's Restaurant from the 80's in the heyday, but with stronger & tasty food selections & wider beer selections. One minor concern was the table we were seated at lacked proper wipe down for clean appearance that you expect. More importantly, I can only bring my wife here as the peanut exposure to my son Jake is too great here."
Sara C.,"Austin, TX",237,112,222,4.0,12/12/2016,"BJ's can come off a little intimidating with its prices but I think its worth!  I came with a decent size group for a friend's birthday party. The place was pretty busy but the waiters did a great job at serving and being patient with us.  It did take a while for us to get our checks but it was understandable.  All the dishes that was ordered at our table seemed really delicious. I got a salad (forgot its name) and it got me full believe or not!  If its your friend or your birthday then you can request a free dessert for them! Its a smaller version than the original but hey, its free!  I would recommend this place for first timers but I don't know if BJ's would be my top 3 choices to go to next time."
Phoi L.,"Austin, TX",270,62,50,3.0,10/5/2016,"I came here with two other friends on October 4th for FREE PIZOOKIE DAY! Yumm!  BJ's is known for their deep dish pizzas, so I gave it a shot and ordered the mini (6 inches) BJ's Favorite: housemade meatballs, pepperoni, Italian sausage, mushrooms, green bell peppers, black olives, white onions and seasoned tomatoes. To my surprise, the dough was extremely soft and the toppings went very well together. The only thing I have to say is the meatballs tasted a little undercooked.  My friends and I ordered the classic Chocolate Chip Cookie with Vanilla Ice Cream Pizookie and devoured that in less than 5 minutes. The combination of the two melted in my mouth and it was heaven. (Probably faster if we weren't trying to be courteous to each other.) Definitely recommend! Service was OK. I enjoyed dining at BJ's for it's decor and multiple-occasions type of restaurant."
Rhonda K.,"Greensboro, NC",73,24,21,5.0,5/1/2017,"I never do this (5 * rating) but honestly, 2nd only to Nello's Pizza, this was the beat deep dish pizza I have had ever. Sweet Pig Deep Dish pizza cooked 1-1/2 times for crispiness...YUM!  I am hard to please with pizza but I highly recommend. Nick was my server/bartender. He was personable, knowledgeable about the entire menu and made several suggestions. They have pretty good HH menu choices and i took advantage of the 1/2 off deep dish pizza. Not sorry at all."
