Username,location,friend_count,review_count,photo_count,rating,date,review
Stella R.,"Tacoma, WA",151,31,30,1.0,7/29/2015,"I came in on a lazy night to get apps and food to-go. We sat at the bar because we didn't want to wait on a server.. so the bartender Brent comes over speaking 500 words a minute, and I ask him ""What was your name again?"" I didn't understand it and he seemed offended but I honestly was trying to know his name. So as a 28 year old 12 year industry vet, I understand to check ID's. But please understand that sometimes a woman doesn't want to wear makeup, spray tan, do her hair and weighs 18lbs more as the my license indicates (thank you senior year, but I've been slowly losing and am going to grad school!!).  I felt that he had a chip on his shoulder towards me from earlier because he went to the back to have his manager double check my license but not my friend's vertical one. He then proceeds to walk out with my license in his hand asking me to read the address listed.. shit!! I haven't lived there in almost two years. Of course I remembered it to the T but I was so offended and felt like I was guilty for having good genes that God blessed me w in my youthful appearance.  This is the second time here in which I received bad service. And who knows, perhaps I'm not seeing their side. But as a guest in your restaurant I want to be made to feel welcome. And I haven't here since the first time, and this is my third encounter. The South Center locale I've experienced twice and enjoyed my whole experience.  Don't get me wrong, they have good food for a chain including the caprese salad amongst others and pizzas that create a pants off dance off in my mouth. However I don't care to support this establishment-at least the Tacoma location, no matter how tasty some menu items are. I will walk away just as I did two nights ago and continue to never spend my money at this place specifically but at BJ's as a whole. The 1 star is the 4 for their food and is deducted by this location being the only place I've had two of the worst restaurant experiences at? As Drake tells us ""I'm just saying you could do better""."
Tom S.,"Gig Harbor, WA",0,7,,4.0,7/15/2016,"We've been to BJ's several times and always find something to like.  I seem to find the same thing to like over and over again because I love the Tuscan Chicken Limone and always order it.  It's a little different each time, probably due to the variety of the menu and number of cooks in the kitchen but I've been happy with it each time.  My date, a.k.a., my lovely wife, enjoys more variety and went with the Chicken Fried Steak this time (pure comfort food) but I won't be surprised to see her stick with that dish next time around.  Their beers are good, some of them are great like the Grand Cru when in season.  Try the current special Oktoberfest for a real treat.  Service has always been friendly and timely. Overall, they do a great job for a big mass production restaurant and bar."
Craig D.,"Salem, OR",16,66,19,5.0,6/24/2016,Great food.  So many options.  It was really busy and we still got excellent service.
Yen E.,"DuPont, WA",172,394,328,3.0,6/3/2013,"My friend and I came here on Friday for lunch and our waiter Matt was awesome!   My friend ordered their Thai Salad which she exclaimed how delicious it was and even our waiter complimented on her choice saying it's the best salad.   I ordered their lunch special which was half pasta and half salad.  My salad came and they drenched it in ranch.  Meh.  5 bites into my salad, our fried calamari arrived... loved their aioli dipping sauce.  Before we could even dig into our appetizer, our main course arrived.  Thumbs up for fast service, but I felt so overwhelmed.  I had ordered their fettuccine alfredo with broccoli and it didn't taste that great really.  There was definitely something missing in their alfredo sauce. To end our meal, we ordered a chocolate chunk pizookie.  Now, my friend whose from out of town (New Mexico) has never had a pizookie, let alone heard of it and she was in heaven after the first bite."
E R.,"Tacoma, WA",3,9,4,2.0,8/5/2015,"We arrived at BJs and were given a pager and told it would be about a 30 minute wait. We waited about 45 minutes. This was after we asked how much longer, the hostess looked at the list and couldn't find our name and said they were going to seat us after one more group. In the mean time, another large party that arrived after us were satbbefore us. We get sat down and things were fine. Dinner came out ok. Unfortunately the waitor didn't check on us until after our meal was done. We then ordered dessert, the waiter proceed to bring us the bill before our dessert came out. Working in a restaurant for many years, you never bring a bill out before the meal has finished being served. Overall one of theb worst experiences we've ever had.  Then the restroom was so trashed. There was paper everywhere toilets had paper stuffed in them. Paper on the floors, trash full, no soap. We mentioned it to the hostess and all she did was apologize. We used the bathroom again a little while later and still dirty and no soap. I was contacted by the manager and asked to email him. I have since done so and received a courtesy credit to come back in and give BJs another chance. I do appreciate the manager taking time to respond and try to make things right. I will update my experience when we go back."
Lani B.,"Seattle, WA",13,11,11,2.0,6/5/2016,"Slow service. Waitress couldn't make a drink recommendation. Was attentive, and offered us dessert... And that's when we all realized she never put in our entree order."
Marcia P.,"Kent, WA",33,5,4,1.0,6/18/2016,Not a good experience this evening. Took forever and it wasn't crowded. My food was lukewarm. I used to like it here. Won't be coming back.
Lynsie C.,"Tacoma, WA",19,1,,1.0,1/3/2017,First off my friends and i were seated and we were not waited on for probably  15- 20 minutes the restaurant was not even busy probably around 5 tables in the entire place. My food wasn't very warm at all but it was alright didnt feel the need to complain because as a server myself its not their fault on how the food comes out. I ordered a Peach Margarita asked them to make it a double because at BJ's they never pour correctly. The server didn't feel the need to mention I would be paying for a whole other drink. So when it came to getting my bill I had payed for 20 bucks for 1 drink. I've been to many restaurants and I work in one as well and none of them charge you a whole 9 bucks for a double. We asked why it was so high for a double they didn't really have a valid explanation. So we paid and my friend was getting her son all ready to go and she could here our waitress Ruby complain about how much we tipped her. And really right in front of her. Very disrespectful. It made me never want to come back again.
Stan G.,"Port Orchard, WA",12,53,46,1.0,4/11/2015,"Dipshit bartender just wouldn't serve me because I didn't have my id. I am 44, and probably look 50. Still not the worst service I have had in this place."
Mari M.,"Tacoma, WA",2,45,5,3.0,9/1/2015,"The food for me here has been mediocre. Not a terrible place at all, just nothing too special"
