Username,location,friend_count,review_count,photo_count,rating,date,review
CJ F.,"Tucson, AZ",10,35,11,4.0,12/11/2011,"It was good. Food was good. Hard cider on the menu. I like the atmosphere (Except the TVs all being on sports, is it a sports bar? I didn't think it was.) We will go back. After reading other reviews, I'm definitely trying the cookie dessert next time."
Kaboom J.,"Tucson, AZ",2,16,,1.0,10/2/2010,"Worst experience ever! Horrible service, food was awful, painfully over priced, way too loud, we were there for 2 agonizing hours. 2! Never to return, wish I could give negative stars"
Bob H.,"Tucson, AZ",1,11,1,5.0,3/24/2015,"had the best apps , the new brusssel sprouts w/spicy cream sauce were damn good real good awful good. corn fritters also way better than we thought they could be. kudos on Shannon d for the over the top service again. still don't know why they got rid of the simple turkey sandwich, but the new tavern slice pizza was a good addition"
Mark B.,"Tucson, AZ",98,156,71,4.0,7/29/2011,I have never had a bad meal or bad service at this location. Great place for family get togethers. Main complaint is that the menu is too big and it is tough to decide what to order.
Joe B.,"Austin, TX",0,15,,4.0,3/11/2014,"Great fish tacos! Good IPA. Fabulous waitress, Tess, who not only recommended a great appetizer (fried artichoke), but also recommended an outstanding hike on a nearby trial! Friendly, professional, and knowledgable - if everyone else on the staff here is as together as Tess, my hat's off to whoever is doing the training.  What a great introduction to Tucson hospitality'"
Steven L.,"Tucson, AZ",2,39,,3.0,7/20/2011,"Not bad, not bad at all. It's a chain restaurant though I don't believe they exist on the east coast so I'm only familiar with them through my two lunch experiences in Tucson. I've been to both the Oracle Rd. and the Broadway locations. Both were about on par with each other in terms of service and food.  They have your typical Americana fare, bar food, pastas, and the like. They serve some micro brews and their bar is OK at drink making.  Both times I've gone here were Saturdays for lunch and both times were full house. Only one section off to the side had few diners in it.  It's a family style place, but much better than your typical Applebee's, Chili's, etc. Give this place a go for something easy if you and your friends can't decide on any local places."
Melissa W.,"Green Valley, AZ",120,52,32,4.0,6/16/2011,They have hard cider! Food is great too. I'd describe it as upscale bar food.
Ashley A.,"Tucson, AZ",0,4,,4.0,12/13/2013,"I've tried many entrees at BJ's and have never been disappointed. Good pizza, burgers, and a good happy hour as well. My favorite thing is their Cajun Pasta. Also, I LOVE their Berry Burst Cider."
Carianne C.,"Tucson, AZ",13,158,13,2.0,1/18/2011,"I come here often because it is close to my office.  Today at lunch I was underwhelmed, mostly due to sloppy presentation.  The ketchup bottle that was brought to the table was dirty and almost empty.  The roasted beef dip sandwhich was good as usual, but the plate was greasy underneath when I moved it - ew.  The barbeque sauce that I requested for my french fries tasted rancid."
Russ R.,"Tucson, AZ",0,16,,3.0,10/14/2014,"I like the food and service.  Two problems....I go here every Sunday for about 5 hours to watch football. The atmosphere for sports is unique in that there aren't the usual screaming maniacs like in other sports bars. They have a great, huge 4-screen monitor right over the bar. They manage to get 4 different games on these screens, but there are 3 or 4 others in the bar area that should have the other games, but they're always set to the same 4 as the big screen. This shouldn't be that tough to figure out. Also, the A/C is set so low that I've seen at least 3 parties just leave or leave early if they were dressed in shorts and short sleeves. It is always FREEZING!!! I always wear heavy jeans and take my thickest coat, even when it's 100 degrees outside.  I don't understand the philosophy with this.  I know every degree of A/C in my 2500 sq ft house costs me about $50-$75 per month. I can only imagine what it must be for this huge building. How do you justify running away customers while burning big bucks by turning a  really nice environment into a meat locker? Crazy."
Tracy K.,"Leavenworth, KS",1,152,27,4.0,2/8/2013,"Grata place to meet friends, have a good craft beer and pizza. Lots of TVs to watch sports in the bar.  They even put the Kansas game on for me...although not not the big screen... Arizona was playing too."
Christopher S.,"Richmond Hill, GA",23,91,,3.0,12/14/2010,BJ's has an excellent variety of quality beers.  I think its a good place to spend time while waiting for the crowd to arrive at Pearl since that club is right across the street.  They could be more accomidating with the TV's and sports but that's not their aim.
Mindy S.,"Tucson, AZ",25,170,29,4.0,9/25/2010,"I hate chain restaurants, but this one is actually pretty decent. They have a HUGE menu, and great lunch specials, not to mention a good beer selection. They're open pretty late, and service is generally fast and friendly. Oh, and GIANT baked potatoes!"
Jen W.,"Tucson, AZ",70,498,27,4.0,6/25/2012,"I heard someone earlier in the week talking about a gluten-free pizza cookie with ice cream at BJ's.  I decided to meet up with my friend there.  BJ's is a bit upper-priced, but the portions are plentiful.  My friend got jambalaya, and I got the Santa Fe Chicken Salad without tortilla strips.  I felt like I had a clean meal in a relaxing atmosphere.  I paid about $20 for my meal.  Overall, the tap sodas, beers, appetizers, and prices are not the best in the city, but I find it much better than Cheesecake Factory for a similar experience (take groups, celebrate something, food for enough pickier eaters, alcohol available)..."
Yvonne P.,"Tucson, AZ",0,20,,2.0,3/17/2013,"Extremely slow service... Even on a slow night! Took forever for our appetizers to come out, and our entrees, oh and desert as well!"
