Username,location,friend_count,review_count,photo_count,rating,date,review
Krystin T.,"Seattle, WA",101,400,,3.0,12/30/2017,"My husband and I ended up meeting a friend here not long ago. We'd been trying to go somewhere else but that place was a 45-mimute wait, so we ended up ar BJ's because it's always a good standby.  I actually find the food tasty, which it seems some other reviewers don't. I've never had anything I thought was bad; this time I had the basic burger with a veggie patty + cheese. It and the accompanying fries were great. My husband had the fried chicken salad and seemed to enjoy it. Our friend ordered the hot wings and complained that they were not, in fact, hot. We also shared some cheese curds which were fine to me but as our friend pointed out, they weren't hot and melty like they are at some places. My main issue, if you can call it that, was the service. Our server was pleasant but nothing made it to us especially quickly. My husband and our friend also ordered calimari which just...never came. I had to ask twice for water and condiments. Appetizers (the cheese curds) came out after our entrees. Nothing horrendous but just not the most amazing service one could have."
Jack S.,"Kent, WA",0,1,,5.0,11/17/2017,"Great food, drinks and atmosphere, but probably the best part was the bartender on duty, Joey. He was professional, courteous and just an all around cool dude.  He made sure we got our food and drinks promptly and when he discovered that we had the wrong drink made (by a different bartender) he immediately corrected it after apologizing sincerely. Great service! My wife and I would come back just for him! Next time you're here at the bar, ask for Joey!"
Ashley C.,"Kent, WA",230,23,22,4.0,11/10/2017,Just stopped by for a drink but great service and a super packed menu!  We loved or waitress- she was attentive and very fast!  Our Prosecco came in cute bottles and was really delicious!
Nina M.,"Seattle, WA",54,53,91,3.0,9/24/2017,"I like to get deep dish pizza on Monday's because it's half off.  The service is subpar. Our waitress was flustered because of her other tables so when she came to tend to us her patience was low and it came off rude. I mean I get it, sometimes people have a rough day, but it shouldn't get taken out on other customers.  I've eaten here a few times, but if service is bad and food is okay, there isn't much drawing me to come back here where there are so many other food options to choose from"
Chris S.,"Federal Way, WA",2,8,1,4.0,12/29/2017,"Service was great, but when we ordered the Triple Chocolate Pizookie it was very disappointing. Here is what is in the menu and here is what we got. Try harder next time."
Chris V.,"Seattle, WA",17,255,599,3.0,10/29/2017,"Just not impressed with this location in Redmond. Getting a table seemed like a disorganized affair to begin with but we had a lovely waitress that made up for my initial experience. It's a very nice restaurant and very comfortable for a nice dinner. They weren't in a rush to push us through even though they were busy so that was nice but the burgers were just OK. The sweet potato fries were good, as well as, the parmesan chicken too. I very much enjoyed the deep fried jalapeños on my burger but the burger wasn't anything special. If they offered the deep fried jalapeños as an appetizer, I would be all over it. We had a nice comfortable booth for a nice visit with family but I wouldn't go back just for the food. I think the Tukwila location's food is a little better. I may try it again someday but I'm in no rush to return to this location."
Wen W.,"Seattle, WA",317,233,335,4.0,4/19/2017,"BJ's Brewery House really stands out to me because of their book menu! Unless you know what you really want, you'll be drowned in those pages. I love the portions here, for they're huge portions for you to eat.  For work lunch today, I ordered Mahi Mahi and Shrimp from the low-calorie menu. The sauce was amazing, and my seafood was delicious! The meal was fresh, light, and perfect for lunch. The only thing I'd have to critique is the slippery way of the the sauce being smeared on the plate. However, I still enjoyed the meal very much.  When you are at BJ's , you cannot go wrong with Pizookie! Two minis were ordered: Oreo cookies and salted caramel. Hello! The Pizookie minis were so yummy! The cookies were warm, and the ice-cream melted right off!"
Kellen W.,"Cheney, WA",103,55,38,4.0,1/7/2018,"Through all my experiences here, overall the food is good but the service can be hit or miss. If you have never been to a BJ's, it is a much classier and higher quality restaurant than something like Red Robbin, but I wouldn't think of it as a high class restaurant. Being a Brewhouse, they have their own beers available - and from what I've had they are all pretty good, nothing I would complain about. They have a pretty wide range of food available on their menu, everything from burgers, sandwiches, salads, Mediterranean tacos, and chicken rice pilaf. With the range of food there is definitely something for everybody, and they do have a lighter portion of the menu. We have enjoyed visiting during their lunch hours because of their specials and lunch combos. And of course, it's pretty hard to beat their dessert. If you have never had a pizzookie before, it's something you must try. It's a large, slightly undercooked cookie of your choice, served in a pan and topped with ice cream. Probably one of my favorite desserts of all time. We have had some problems in the past with their service. I don't think it has to do with how busy they are, because we have had servers even at lunch where it can be hard just to find them and get water filled among other things. However that hasn't stopped us from going back, and it's something that easy to pick because of their wide menu selection. The biggest downside to their restaurant is that it's at the South Center mall, so parking can be a real pain."
Taylor Z.,"Austin, TX",549,248,1108,3.0,6/25/2017,"The atmosphere is good, the food is alright. I would stick with the burgers, they are the hardest to mess up. The prices are really high here, especially for the pasta and some of the other stuff. You can't expect too much from a chain place after all. I think the only reason to come here is the beer and some bar food while watching the game."
Misty F.,"Kent, WA",34,8,64,2.0,1/1/2018,Horrible service... ordered chicken bacon pizza no bacon very dry not enough sauce.. ordered crab artichoke dip omg can I say gross never will be back again .. we wanted to try but not impressed
Jessica S.,"Seattle, WA",189,223,183,4.0,11/24/2017,"I came here on a Sunday night, and was pretty bummed when they told me the wait was just over an hour. Once we finally sat down, we waited another hour for our food to actually arrive. I don't know if the food here is worth a two hour wait, but it was really good. I had a burger, which was decent. However, the desert is to die for. I had one of the pizza cookies with ice cream and oh my gosh it was heaven in my mouth."
Nadine Y.,"Berkeley, CA",323,267,1733,2.0,4/6/2017,"Came here with some friends and we had to put our name down to get a table. Unfortunately our name never got called and when we tried to talk to the host about this she claimed we never put our name in which disappointed us. We had to wait an extra 20 minutes and finally got a table.  Our server was okay although there were times when our server disappeared and was no where to be found. Although the good thing was that this place made sure we got our water filled a lot.  Food was honestly okay here. I got the Peruvian Salmon Quinoa and the salmon tasted dry. We ordered the Calamari, but when we tried to eat it we noticed it wasn't fully cooked. My friend ordered the Fried Chicken and that was pretty good though! The chicken was actually moist!  In the end I just don't think I would come back here because of the food and the service."
