Username,location,friend_count,review_count,photo_count,rating,date,review
Amy S.,"East Hartford, CT",27,17,5,5.0,12/3/2017,We had the Mediterranean tacos and they were outstanding! Also ordered the guacamole and chips. The guacamole was tasty and served with thin tortilla chips! The staff was very friendly and the service was quick. Definitely will be back!
Lilith F.,"Pittsburgh, PA",6,9,21,1.0,12/2/2017,"I used to love this place. However, the manager is a power tripping jerk. It's part of the rewards programs perks that you can gift some of your points to another person. There are many websites, and groups where people share their rewards with others. I am part of many such groups.  I had gone to this establishment, and cashed in many of my gifted points on 6 different occasions without issue.  On the last trip, the manager shamed my son for cashing in loyalty points rather than paying him in cash for the order. He then cancelled my sons loyalty account, as well as mine, and my husbands.  The manager felt that since WE didn't earn the points, he had the right to take them away. He didn't. Those points were EARNED by many other people across the US who were kind enough to share them.  By deleting the points, he was saying that the hundreds of dollars these people had been spending to earn those points didn't matter.  I see what he did as theft.  He took EARNED points (used like gift cards) that weren't his, and three them away.  All while PUBLICLY SHAMING a teenage boy for being poor enough to have to rely on points to pay."
Kathleen L.,"Seminole, FL",28,31,29,2.0,10/29/2017,"The restaurant is set up to be inviting and roomy. The server really loves her job so it made our visit really nice. The food took a long time to come considering it was lunch hour on a work day. I had a disappointing bison burger. The bun was stale and dry, the frozen burger was definitely rare although ordered medium. There was approximately a 1/2 tsp of hatch peppers and two pieces of onion. Really disappointing. Although The server rocked, the system of having runners was lacking. Eight minutes for a coffee reheat and water refill?  Five minutes for the sour cream to come for for the baked potato (which had been requested when order was placed)?   I will give the establishment a second try to be fair but will not order the burger, tortilla soup (salty) or baked potato.  Will probably go with an appetizer or flat bread."
Eva R.,"Pittsburgh, PA",291,253,618,4.0,1/8/2018,"Came here for lunch during the holidays. The restaurant is huge but was pretty busy. I had the BJ's favorite mini pizza, which is perfect for one person. The pizza was thick and delicious! For dessert, we shared a pizookie trio. The peanut butter pizookie was amazing. It was cooked to that perfect doughy consistency and melted in my mouth. We also had the salted caramel pizookie and the classic. The salted caramel was delicious as well. Overall, a great place to grab lunch in the South Hills area."
Kara B.,"Pittsburgh, PA",38,73,24,5.0,1/8/2018,"I can't say enough good things about BJ's! First off, the menu is literally 20 pages. They have everything from burgers to pad Thai! They have a ton of beers to choose from, and the Blonde Ale is the best one in my opinion! Our waitress was SO nice and really treated me and my friends well! I will definitely return!"
Tina B.,"Pittsburgh, PA",132,323,607,4.0,10/22/2017,"Every time I've tried to eat here, there has been an extremely long wait. I finally came here with a few of my girlfriends and we were lucky to score a table at the bar when the wait for a table in the dining room was over an hour long.  The space is pretty nice. They have so many options (both food and drinks) to choose from so it can be a little overwhelming if you've never been here before. And that's exactly how I felt. At the end of the day, I ordered a flight of beer to sample their beer selection and our table shared a large deep dish pizza. I really liked everything I tried! The beers were good and went really well with the pizza. The crust on the pizza was crispy and buttery, which was perfect to me.  There is a long wait here for a reason. The atmosphere is fun, the food and drinks are good, and the menu is huge so there is something for everyone to like!"
Phil G.,"Pittsburgh, PA",72,276,1268,4.0,5/28/2017,"Ok, I've been back a few times since my first review and I have to say that on balance my wife and I like this place. There is a large menu and we've been going through it. Aside from the flat bread pizza appetizer, I don't think we've ordered the same thing twice. The atmosphere really helps. There is a buzz going on that just makes you glad to be there. We always enjoy a couple beers here too. Somehow we find the place comfortable! A great thing to do if there is a 20+ minute wait is to get a beer at the bar and wait there. You won't even realize you're waiting! Another nice thing is paying with their app - you don't even have to wait for the waitress to bring the check!"
Mindy T.,"Imperial, PA",0,15,,5.0,1/6/2018,"This place has thee most AHHHHHMAZING burgers!!! This is the only place we will go to get a good burger and we don't really live close but it's worth the drive. Just wish it was a little bit bigger, must go there!! Wish I could give more stars! Put one in a Robinson it would make a killing out here!"
Steph H.,"Pittsburgh, PA",7,53,5,3.0,9/7/2017,"BJ's is a fun dinner spot, but I have a hard time getting over the cost for what you get. First off let me say our server Megan was AMAZING and hilarious. We got there 2 minutes before Happy Hour ended so she made sure to hurry up and get in our appetizers and beer for happy hour price. She was attentive and answered my million questions I had about the food.  The beers are always Ok here. I am not amazed by any that I've had. For an appetizer we had chicken pot stickers which were yummy because typically those are hard to find. Almost all the appetizers here will run you about $9-$11 dollars which is pretty crazy for a small appetizer. For dinner I had the turkey dip. So good! Again this is not something you typically see. Their menu is very diverse so you should have no problem finding something you like. My husband had the Buffalo chicken pizza which was good but not great. The atmosphere is fun and you should enjoy yourself here. However be expecting to have an $80 chain restaurant type meal for two."
Lori B.,"Canonsburg, PA",8,179,453,4.0,11/13/2017,"We have been to this location twice in the past 2 weeks. Love it. Plenty of parking and we have been lucky enough to not have to wait either time.  We went on Sundays both times. The service has been fantastic and the food has been stellar. If you are a beer drinker this is the place you should check out, so many different ones to choose from. They have a very lengthy menu.  There is definitely something for everyone on there.  We have tried the cheese curds twice (perfect little morsels of cheese, deep fried to perfection), the honey siracha Brussel sprouts (fan freakin tastic deep fried Brussel sprouts), turkey dip sandwich (thanksgiving stuffed in a hoagie roll complete with a chicken broth dip) sweet potato fries (nice change from regular fries) southern comfort fried chicken sandwich (juicy tender chicken breast sandwich) fish and chips (4 huge pieces of fried fish with a side of fries) hickory brisket burger (juicy, full of flavor, bbq goodness), peanut butter and triple chocolate pizookies( who doesn't want a ginormous cookie topped with ice cream and drizzle with sauce??) The food has really been stellar at this restaurant and the portion sizes are very generous.  Love it, will most definitely be back. 10% military discount. Thank you!"
Rebecca P.,"Brentwood, PA",34,3,,5.0,12/21/2017,Food and service was excellent. Don't place all your order at once or you will get your salad first and then your appetizers and entrees at the same time. The servers have no way of timing your food for you. Other than that everything was delicious.
