Username,location,friend_count,review_count,photo_count,rating,date,review
Dee A.,"Little Falls, NJ",4,83,13,2.0,8/31/2016,"Food at BJs is always good. Service was slow. Sat at the bar and the bartender seemed miserable. Guys that sat after me were getting their food before me. The bartender had to feel me trying to get her attention but she just ignored me, finally I flagged down a server that was clearly annoyed but did help me get my food. The restaurant was not busy there is no reason for 45 min ticket times. I order the Poke... How long does it take for RAW FISH? Even after the server served me, the bartender never acknowledged that my food was delayed or that I had to ask someone else to get it. I normally tip 15% for mediocre service but I couldn't bring myself to do it... 10%. Disappointed and not coming back."
Brenae T.,"Fairfield, CA",172,7,10,4.0,10/3/2016,Pretty much the regular spot where I can get what my heart desires. I love that they have a broad menu of different types of food so it can fit whatever mood I'm in to eat. Great spot for drinks and to watch the games.
Manny B.,"Stevenson Ranch, CA",0,7,,1.0,9/2/2016,"Everytime we order curb side, the order is wrong.  I literally only asked for blue cheese, lettuce, and tomato and they cannot handle it. There are only 4 components on the burger and they always mess up one of them.  I called and asked to talk to the manager at 1130 pm sept 2nd and was told he was too busy to talk to us.  Done with this place, not worth $13 a burger."
Davon F.,"Vallejo, CA",59,98,55,3.0,10/1/2015,Normally I love this place from the food to the service. However we came today for a birthday and told them twice and they never came to my table sang or gave a free dessert. It was almost empty while we were there so it's not like it was super busy. This was huge disappointment. But I will suggest getting the avocado egg rolls and the chicken Crusted parmesan. The Mediterranean pizza is a great choice as well.
Michele S.,"Vacaville, CA",169,84,2,3.0,9/1/2016,"The food is really good, but I've been here a handful of times and only one of those times did I have a good experience with the service. One time when we went we were waiting for 30 minutes to be seated when there were several tables open, that just hadn't been cleaned of from the previous diners. It's not somewhere I ever choose to go when I am deciding on where to eat, the service is just too lack luster especially for the price you are paying."
Taylor H.,"Tucson, AZ",156,4,7,1.0,3/1/2017,"Been twice in the last two weeks, won't be returning. My husband and I decided to go out to eat last minute on Valentine's Day. I called BJ's to check the call ahead seating wait - we were told 30 minutes and put our name on. When we got there (within the 30 min) we were told it would be another 30 minutes.... so what's the point of call ahead seating?? Luckily, a table opened up in the bar area and we took that (no waiting for bar).  My food was good (Parmesan crusted chicken), my husband ordered a steak and it was flavorless. Our waitress forgot to apply a coupon we had, but we brushed it off because we knew she was busy. We returned the next week with a friend and the whole experience was bad.  When our hostess sat us, I asked her what the happy hour hours were. She informed us we couldn't order happy hour in the main dining area, only in the bar area. I said that's fine, but I'd like to know the hours. She says, ""Well I'm under 21 so I don't know.""  .............. WHAT????? You work here, it's your job to know that. That's the dumbest answer I've ever heard. When our waitress came I asked her what the happy hours were, she said she didn't know. Again, I was stunned at people not knowing their job. I asked her to find out so she goes over to the bar area and comes back to let us know. Do the employees really not know what they're doing, or are they trained to say ""I don't know"" so people are discouraged from walking up to the bar and bringing it to the table for the happy hour price? (We also tried to sit in the bar area to get happy hour price but no tables were open.)  Throughout our time there, the waitress wasn't attentive, she kept disappearing, we had to always ask for our drinks to be refilled, and everything took a long time, we were there for quite a while. My food came out over cooked.  I asked the waitress if that was standard (I knew it wasn't). She responds with, well it really just depends on who the cook is each night.  I sent it back and when she brought it back, it wasn't right again. The manager came over to speak with me and I asked if there was a standard way to cook things. He told me the food gets prepped earlier in the day and maybe it's gotten messed up by now. I told him I won't order that item again (Parmesan crusted chicken) because I don't want to play the guessing game of how it's going to come out. He took my meal off of our ticket which I was grateful for, but the experience as a whole has turned me off from this restaurant."
Geraldine S.,"Chicago, IL",77,61,90,2.0,7/2/2014,"I was trying to find a place to eat with my mom and my boyfriend and none of us could make up our minds. General consensus was let's go somewhere where they have it all! BJs is exactly that.  There's the usual pizza (deep dish is a must), sandwiches, pasta, salads, tons of small plates and you can't forget their famous pizookie! We ordered a Mediterrean pizza, some wings and Santa Fe spring rolls. Wings were a little too crispy but still good, Pizza was delicious.  My main complaint was the service. We were seated promptly, however our waiter was a bit too pushy, We all felt rushed eating our meal. I understand being attentive to customers but if you see them having a conversation don't keep coming over with questions or ask if we need the check. Even after telling her we needed some time she kept coming over!! Totally ruined my experience, after the great food all we could remember was how unpleasant our waiter was..."
Donato J.,"Pittsburg, CA",18,181,125,3.0,12/19/2014,"Staff was nice, but service was slow: i was barely checked on and had to wait for water. Waitress literally came around and asked ""how is everything"" even though we didn't have any food on the table yet. She caught her mistake and said ""oh... the food should be out shortly."" I thought the menu had a lot of unique items and we were excited about the idea of trying unique types of foods. However, the results were also disappointing. I can't say that the food was particularly delicious. The ""lasagna deep dish"" was basically a big ravioli and was one of the nastiest things I've had. We also tried their carnitas french fries... the fries were okay but the mix of the two didn't work for me. We also tried the stuffed avocados which were good just because they were avocados and everything is great with it. But I probably won't order it again.  Chicken wings were pretty good and were probably the best thing of the 4 we ordered. however, I'm not sure it's enough of a reason to come back."
Cortney H.,"Fairfield, CA",73,44,12,4.0,7/28/2016,"Taylor was an awesome server, he was in a, and I quote, ""magnificent"" mood and it showed! My deep dish Ziti was amazing and my boyfriend loved his cherry glazed salmon. Its a bit expensive but we will be back!"
Lizzy G.,"Oakland, CA",0,145,14,4.0,12/7/2015,"The kid and I stopped here for a late Sunday lunch. I wanted soup and maybe salad, while he's a pizza/burger/chicken tenders kid. The place was packed but we were seated quickly. Our waitress was attentive, friendly and helpful--everything I look for in wait staff.  My kid loved his pizza and orange cream float. My chicken tortilla soup was great. I liked the Brussels sprouts, but they were on the salty side since they're tossed with some sort of seasoning.  It's a bit expensive for a regular lunch place, but I'll definitely go back! All-in-all, a positive experience."
