Username,location,friend_count,review_count,photo_count,rating,date,review
Joanna L.,"Valley Stream, NY",8,29,6,4.0,10/20/2016,"The Pros: Friendly wait staff, the fried calamari, blackened salmon and jambalaya (sp?) The Cons: No server for our scheduled section so waited a while in the beginning, avocado roll had a strange smoky flavor, my burger was overcooked (after bringing the wrong kind), too little rice with salmon.  I would absolutely return here for the food, beer and specials. The wait staff was very apologetic and nice but they need a few more weeks to get the timing of the food down. Salad came before drinks and utensils; dinner came when still eating appetizer.  We ate: calamari and avocado roll; jambalaya, gauc burger, bison burger and blackened salmon."
Latoya B.,"Jamaica, NY",4,45,12,2.0,11/6/2016,"I gave two stars for the drinks, the food is just ok. I got the steak, asparagus and fries, my hubby got the ribs and mash, and my 6 year old got the pizza kids meal (his pizza was delish). From the moment we walked in we got off to a bad start due to poor customer service. Here are some tips for management. There is no reason why customer service should be so poor when this location just recently opened.  Tips:  - Have the girls at the front desk greet guests as they walk in. None of the guests were greeted. Also when someone books on the wait list online they are seated quicker.... Inform your customers! It's not fun to see everyone get seated before you and not understand why.  - please have utensils at tables before guests are seated. Also make sure utensils are clean! Not that hard.  - season your steak and ribs, have more Steak sauce a available besides A1. Everyone does not eat A1 - wait time was not long, and drinks were very strong. Keep that up!  I'll definitely be back for the drinks. That is all!"
Mala H.,"WOODHAVEN, NY",0,47,34,3.0,5/27/2017,"Came here tonight and was skeptical because of the previous reviews. Did not order any drinks but they seem to have an extensive drink menu including different drafts.  Didn't have any issues with service, it's a Saturday and we were seated immediately. Our waitress was very nice no issues with her. Ordered the nacho flatbread was an appetizer and it was pretty good. For dinner I ordered a turkey burger, didn't like it at all, it was greasy along with the fries, but it was very big. The person I was with ordered the New Orleans jambalaya and loved it.  I would come again and try something else."
Heidi A.,"Valley Stream, NY",8,13,10,2.0,4/13/2017,"I really tried to give this place a chance. The first time we came service was slow but I figured I would chalk it up to new restaurant kinks. The food was ok...not bad so we came back, same slow service but waiter was nice and food was ok not memorable. The last time I tried to go eat there because I was literally across the street shopping and hungry, my sister and I waited for someone to acknowledge us and take our order for 15 minutes in an empty restaurant, needless to say we walked out and I will not be returning."
Samantha M.,"Valley Stream, NY",56,15,5,3.0,12/30/2016,"Pos- nice service. Good beer. Nice atmosphere, not too loud, and clean  Cons- menu may as well be TGI FRiDAYS. Same good quality you would expect from those big chain restaurants.  Defined not terrible, but I hate fast food restaurants... so if that's what you're looking for then this is it!"
Raymond G.,"Franklin Square, NY",0,4,,4.0,6/4/2017,"I love this place from the meat lovers pizza do the parm. garlic wings, just great no complaints. Could never wait for the next time to go back."
John M.,"Melville, NY",0,20,3,1.0,5/16/2017,1 star is for the appearance.. if I could give negative stars for the service it would be a -5.. Sat there for 35 minutes waiting to be helped.. went up to the bar .. ignored... talked to a waitress.. 3x.. said someone would help us.. manager sat at take out playing candy crush.. all four waitresses ignored our entire party... what a waste having a great looking place like this them filling it with crap management and employees!
Boy M.,"Ditmas Park, Brooklyn, NY",7,22,7,2.0,3/12/2017,So at first you walk in and the place looks great we got seated within 4 minutes of walking in. The problem started when we ordered appetizers we got the one call best beginning which has wings and mozzarella sticks avocado rolls and spinach artichoke so the wings were still frozen. bit in it and inside was like ice the mozzarella sticks some how they forgot the cheese inside. So now we order the main course waited 42 minutes for it I ordered the rack of ribs with mash and seasonal veggies . The ribs and mash were good but the veggies smell so bad and I tried one and it taste like plastic I told my server can you smell this and his response was I'm not aloud to smell food so instead of bringing me fresh veggies he brings me a soda and says this is on the house like who order soda we were drinking wine .
Natoya V.,"East New York, NY",4,3,,1.0,4/2/2017,"So I live in the area and decide to try the new restaurant near me named Bj's restaurant & Brewhouse. I walked on with as a party of 2 and didn't get acknowledgement from the hostess until 10 min standing there. I was greeted by a nice young lady who seated me within 2 minutes. My boyfriend and sat at the table for 20 minutes and couldn't take it any longer and walked out. While walking out the hostess and Manager thanked me and told me have a goodnight. I then replied ""I will try after sitting and the table for 20 mins and didn't get greeted by a waitress/waiter. They replied omg I'm sorry. So how do I feel about this establishment you ask? I'm good the only BJ's I spend money will be the wholesale club. Very nice decor and scene, however staff/customer service sucks. 1 million thumbs down from me to this place. Thank you bye."
Steven H.,"Woodmere, NY",9,30,39,5.0,4/23/2017,"I was here two months ago so can't remember everything. However, I do remember how amazing their house stout beer was. If you like stout it's a must. This is definitely a place for the entire family, a group of friends or a couple. It was a Saturday night and the wait was around twenty minutes but worth it. Mini pizzas are awesome.  My waiter was very good and had a great attitude."
