Username,location,friend_count,review_count,photo_count,rating,date,review
Bobby R.,"Queens Village, NY",451,19,341,3.0,11/13/2016,"Food is good but service needs to step up. New in the the area they need to step it up. Place was not that busy , room for improvement."
Andy B.,"Far Rockaway, NY",0,15,,2.0,4/18/2017,"Shitty service but good food. We were seated our server never came to ask for water or drinks. We waited 30 minutes finally talked to the manager and sent some on over. She was nice took our order. We order a few apps, pizza and drinks. Brings water and apps 20 min later. I was hoping to have my beer before food arrived. Apps come out we finish the apps then she brings our drinks. Right afterwards the pizza. Food was good. Man service took forever, the need some way to organize there system. I watched people get serviced before us eve though they came after us."
Jasmine J.,"Brooklyn, NY",46,2,,5.0,6/8/2017,The food here was amazing. The hostess we had her name is Jessica I recommend her to anybody who comes here she was absolutely delightful. The drinks were great five dollars. Our food came out and it was still nice and hot and it came out really fast.  Me and my mom came here around 8 o'clock on a Thursday and it was not crowded great great great food for my first time here.
Roxy S.,"Hempstead, NY",0,3,,4.0,9/24/2017,Love this restaurant! The food and service is always great. Bri was the best server I've had yet!
Lisa D.,"Valley Stream, NY",199,2,,1.0,5/4/2017,"My first experience here was extremely terrible. The waiters and waitresses are slow, the food takes way to long to come, and the drinks are watered down. This was my first time here and will be my last due to this horrible service. I never thought a glass of water could take 30 minutes to arrive at my table as well as my food taking an hour. The place is a great ambiance but the service is not good."
Kiana R.,"Queens, Queens, NY",0,20,,3.0,9/21/2017,"When this place first opened it was outstanding, but as time went on it got bad. I'm not sure maybe they changed cooks or they changed the recipes to some food but it's just not as good as it first was which is more than disappointing."
Marsha T.,"Brooklyn, NY",60,5,,5.0,4/2/2017,This is my second time here. The food is great (you mut have the Bison Burger) and they have the BEST IPA ales in the country!!
Jay L.,"Rosedale, Rosedale, NY",0,12,4,5.0,4/28/2017,Visited this restaurant a couple months after it opened up. Ordered a burger and fries. I requested the burger to be medium-well and it was prepared well. The fries were well seasoned and the boneless wings I had for an appetizer were good. No complaints here.
Michael L.,"ROCKAWAY PARK, NY",24,50,32,5.0,3/5/2017,Ok here we go. Totally shocked how good this place is. From the service to the knowledgeable waiter.  The food was not The normal franchise food. Excellent ribs. Avocado egg roll was yummy. Our main meal of crusted chicken parmigiana and shrimp quinoa Peruvian style was incredible. Hats off to the place.
Jessica D.,"Hicksville, NY",3,7,,2.0,2/4/2017,2 stars because the root beer glaze wings were good. Service was horrible! Waiter never even told us his name. Looked like he did not want to be there. Our wings came as an appetizer and we weren't given any plates or napkins! Kids meals came and we asked for napkins and ketchup. He drops napkins and comes back 5 mins later with the ketchup. Kids were sitting waiting to eat their food. Never came back to refill drinks. We finished eating and we're sitting waiting while he talked to his friends before we could get our check and leave. Really bad! We would probably come back if they stepped up their service skills.
