Username,location,friend_count,review_count,photo_count,rating,date,review
John K.,"Victorville, CA",9,8,2,1.0,4/26/2016,"As I been sitting here the waitress came by and took our drinks and has us waiting the whole time. Very horrible service. When u pay $15-20 a plate. We have 2 very hungry kids crying & thirsty & the waitress just keeps walking by & ignoring us. Very disappointed, I've never had this service with any other BJ's location.  After speaking with Gilbert. The manager. He was very helpful  and did everything in his power to make it right. I commend him & his efforts we give Gilbert 5 stars ! Ur doing a awesome job thank u Gilbert !"
Felicia F.,"Victorville, CA",0,6,,1.0,5/3/2016,"The first time we went there it was great.  Our server was very attentive and made sure we had all our questions answered.  So we decide to bring a friend for lunch.  First they seat us in a section that wasn't even open.  We sit there for 20 min waiting.  My daughter finally went to the front and asked what was up.  They came over and asked us to move.  No apology.  The girl serving us seemed not helpful or happy to serve us.  The food was ok but by the time we finally got it we were so disappointed it wasn't enjoyable.  If they would have apologized about the mistake it might have helped some.  60. 00 plus tip.  We probably won't be going here again.  I've worked in restaurants and when a problem arose we did everything to correct the issue.  Apologize,  remake food or give a discount.  None of that at this place."
Chuck H.,"Upland, CA",35,15,45,1.0,6/12/2016,There was no special request on the toppings I simply said that the toppings were small portions except for tomatoes and ranch dressing is not my fault that your chef made a bad pizza but I'm sorry I paid a little of money for a bad tasting pizza
Ralph A.,"Victorville, CA",0,22,3,2.0,8/16/2016,Don't use bjs to go. The food gets cold  they pack food the wrong way   Parking is horrible I got harassed by a person about a parking spot while waiting for the food to go
Britany S.,"Anaheim, CA",85,70,4,1.0,5/26/2016,Really disappointed by tonight's visit. Our service was terrible. We waited over 20 minutes for drink refills and just as long for the half of our meal that was forgotten to come out. The food here is exceptionally good but the service is ALWAYS exceptionally bad. This was our 5th and last visit unless we hear that service has changed. It's frustrating that we finally got a bjs up here and it's so unpleasant to eat at.
Janette M.,"Victorville, CA",46,22,16,4.0,7/7/2016,"I absolutely love BJ'S but this was my first visit to this location. I hate to give 4 stars but our food wait was unacceptable for a Wednesday afternoon. We didn't wait to be seated or get our drinks, it was pretty slow at that time. Yet our food took so long we actually got refills on appetizers, because we had to. Once we ate we decided to get dessert and the same thing happened. The food was great as expected but I'm not sure how long we would have waited on a busy day."
Janine E.,"Hesperia, CA",0,3,,5.0,8/14/2016,When the kitchen manager brings your food cause even he thinks it looks amazing it has got to taste great and let me tell you that jalapeño burger was great so was the ravioli bake so good all of.  We so are going back.  Thank u Adrian u were great.
Skye T.,"Omni, Miami, FL",0,7,,5.0,12/6/2016,We were told that the wait time around 6pm would be 25 mins and we were seated in five. Our waiter Tico was super awesome and kind and attentive. It was a pleasant experience. I'm shocked to see any negative reviews. Our waiter definitely added to a great experience and our food was warm and tasted great. We will definitely be back! Thanks Tico! You rock.
Scott C.,"Victorville, CA",3,49,1,5.0,2/8/2017,"I love this restaurant and their food. The employees are super friendly. This location isn't very busy, so you can always order quickly and enjoy your lunch in a short period."
Jerry J.,"Brea, CA",45,26,13,1.0,5/5/2016,Horrible service never got what I ordered because the bar tender forgot. Will stick to BJs down the hill.
