Username,location,friend_count,review_count,photo_count,rating,date,review
C S.,"Sacramento, CA",230,69,41,1.0,10/5/2016,"This place is DISGUSTING. The food is GMO microwaved junk. Practically everything from the menu is microwaved! The facility is infested with pests and termites. If you take a look in the back where the kitchen is located, you will see a wet slippery food filled floor. Where the hallway is from the bathroom to the kitchen, take a good look at the wall. Filled with stains and wall peel from the lack of sanitary requirements. The one star for the employees who chose to be loyal to this dump. I hope they close down this facility!"
Tim W.,"San Francisco, CA",83,3,,5.0,11/22/2016,Food was pretty decent standard Chili's food however one of the servers was phenomenal her name was Haley really good vibes enjoyed the atmosphere a lot played some trivia games with my sweetheart life is good.
Leslie P.,"Cupertino, CA",84,24,,1.0,10/16/2016,"This place is the slowest restaurant I've been to in a long time. The server greeted us and sat us down but no came to take our order or ask to get started on drinks. We sat there for 25 mins. As we left, the server didn't bother to ask or care that we were leaving due to horrible service. Thanks for nothing Chili's. Pretty disappointing and won't come back anymore."
George M.,"Aptos, CA",16,35,,1.0,3/15/2017,"What a difference seven years can bring. We had a late lunch on a Saturday about 3:00. We ordered chips and salsa. The chips were so salty, we sent them back. The next bowl was no better. My wife's salad came and it looked like it sat around from the day before. My onion rings were over cooked. Our server was very cordial. She said she would get the manager. We declined, knowing the history of Chili's treatment of customers.We doubt we'll return here. The bathroom was pretty filthy, the kitchen didn't look much better. The Capitola Mall is in dire straits. The food court is down to Subway and a Korean lunchette. Even Hot Dog on a Stick has disappeared. I hope the new owners consider changes for food options. Chili's was once a fun place to eat. It's now simply a fast food place. It needs a face lift or a new eatery."
Janice T.,"Hercules, CA",224,589,2832,4.0,10/18/2013,"Hubby and I went for a late lunch on a weekday.  Our server, Denise, provided excellent service.  She was friendly and efficient.   We started with some chili which my husband absolutely loves.  For our main meal, he ordered the Santa Fe salad while I ordered the Bacon Jack Grilled Chicken.  We both enjoyed our meals.  However, my favorite part was our dessert of chocolate peanut butter molten cake.  It wasn't as sweet as I imagined it to be (which was a good thing).   We are looking forward to dining here again."
Josh P.,"Freedom, CA",0,7,,1.0,4/4/2017,"Chilies in the Capitola mall overcharges my credit card by $25, now I have to waste time fighting with my credit card company..."
West B.,"Ben Lomond, CA",0,3,,1.0,7/10/2016,"Two years ago, I vowed I would never come back to this location. Unfortunately, a year ago, I forgot that promise to myself. But I'm still going strong. I'm a fan of the Chili's menu, and there are some great employees, but I haven't had a truly positive experience at this location in about 4 or 5 years. Whether it is a matter of a lack of service or bad food being sent out, this location has been mismanaged for quite some time. Let me know when that changes."
Regina S.,"Capitola, CA",2,46,,2.0,6/13/2016,"Not really a fan of their food. If you love nachos, don't get the nachos. They serve about 8 chips and make them each into an individual nacho bite. The drinks are good and the service is good, but the food is lacking. Just tastes old and underwhelming."
Cassie B.,"Watsonville, CA",0,9,6,5.0,4/5/2015,Great food. great price. friendly staff. clean restaurant. Yum!  I would hope the managers are paying their staff time and a half to be working on Easter Sunday...
Jackiee M.,"Capitola, CA",233,3,3,5.0,12/24/2015,First time here yet lived here for over a decade. (I know what wrong with me?!) Chilis onion rings are the bomb diggity!! Definitely coming back!
Jessie W.,"Grandville, MI",0,5,,2.0,5/12/2016,"Chili's food was good. Service was odd though. Salad came out about 1 minute before the main course. Also, waitress was loud and asked if I wanted any ""margs"", I had no idea what that meant. Just an odd place."
Barbara S.,"Santa Cruz, CA",21,9,,1.0,5/9/2016,Going down hill VERY fast. Kept getting emails reminding me my points were expiring and come in for a free birthday dessert. Go in and NONE of the Ziosk tablets were working. Couldn't redeem points. The food is mediocre at best anyways. The restaurant looks worn down and I predict this location will close. Good!
