Username,location,friend_count,review_count,photo_count,rating,date,review
Tony A.,"Sacramento, CA",1195,606,2198,3.0,12/27/2017,"I'm NOT a huge fan of the ""corporate machine"" chains like Chili's but, I am a fan of keeping my family happy.  So while walking around The Mills at Jersey Gardens shopping center and the family wanted to eat; here I am. The date is December 26, 2017.  One day after Xmas and EVERYONE living in and around Jersey is here to catch the sales or exchange a gift.  Theres a line for every eatery inside the mall, including Chili's.  But to their credit, we didn't have to wait for a table of five.  Right in and to our seats but, that's where the CUDOS stop.   The wait for our initial server was about five minutes.  We placed drink orders and away she went.  Where??  I don't have a clue.  Ten minutes later, two of our five drinks arrived.  The rest arrived about five minutes later.   After the drinks arrived, we asked questions about the menu items and placed our orders for an appetizer and our meals. ** NOTE **   According to my family who seem to have visited Chili's ether often or are in the know how things work told me when guacamole is ordered, its normally prepared table side.  Not ours.  It arrived table side already mixed.  I did notice the table next to ours had ordered the guacamole and their server was working hard preparing theres at their table.   Normally when we dine out.  We're still in the middle of our appetizers when the main dish comes out.  NOT so today.  In fact, our server had to bring out more chips and apologized for the long delay with our meals. About twenty five minutes past and our server arrived saying she had bad news.  ""Our cooks didn't expect the large crowd today and they ran out of the batter for the waffles.""  She then asked if my son and I wanted to order something else from the menu which she just happened to have in her hand when I asked to see the menu again.  Things that make you say ""hum."" Almost an hour since our arrival and all of food made it to the table.  The buffalo chicken sandwich I ordered was mediocre okay.  Eatable but nothing to brag about. Final thoughts... I think this Chili's has an awesome location and has the potential to do and have a great business.  But, those running the establishment need to pay attention to the patrons concerns, wishes and reviews.  Service is slow and comes with excuses.  Attitude reflects leadership."
Andy Z.,"Union, NJ",0,46,6,1.0,12/20/2017,Awful awful service. Waited 10 minutes at the bar for a drink!! Food took over half an hour!! Really really bad. Unprofessional bartender sagging his pants and pulling them up every 30 seconds.  Bad experience all together.  I actually saw 6 people leave because they waited too long for service. Won't be back!!
Rodrigo T.,"Lincoln Park, MI",323,790,2216,4.0,3/10/2017,"What can I say about this Chili's spot. Uh,,, it's not your regular Chili's joint. They're not gonna have your regular Chili's stuff... like the house margarita. That's not available. We did come in because we were picking up friends at Liberty. So what better place to kill time than to do it at a spot where you can have a few drinks and food food then walk it off by spending money at the shops. We had two presidential margaritas, which was pretty good. Then we had an order of their sampler platter to share. The food and the booze was a perfect pair. Everything was definitely perfect as anything.  The place was nice and clean. We ate and drank at the bar and the bar tender was definitely attentive. Awesome service,, 10 out of 10. No drama,,, and would definitely eat here again.  Thank you for reading my review. I hope this helps. Enjoy your awesome yelptastic day!!"
Danny T.,"Issaquah, WA",46,4,,1.0,12/5/2017,"Poor service.  We waited 15 minutes and the table next to us waited over 20. Asked to speak to a manager and she took our order but that took another 20 minutes.  Food came out and our server appeared angry we were bothering her.  Our server came by once after that to see if everything was good.   Never saw her again.  No silverware, no refills, no nothing.   Went back to the manager to get our bill and we got our chips and salsa taken off the bill. Almost missed our flight because of the poor service!  Not recommended at all!!"
Tracy N.,"East New York, Brooklyn, NY",0,1,1,1.0,11/11/2017,I will never eat from here neither will I recommend someone to eat there...they got terrible service I got fruit fly in my margarita and they didn't even apologize they jus asked if I wanted a different drink and to top that of my waiter got my whole order wrong..that place is horrible
Nina A.,"Garfield, NJ",0,37,73,4.0,8/18/2017,"The food was pretty good, & the portions were large. Our waitress was very nice. It's a chain restaurant, nothing special. But, it's much better than the Applebee's in the mall."
Mary D.,"Stuart, FL",2,6,,1.0,8/15/2017,Very slow service. No one in any hurry. Food was ok. Definitely not the place to go if you want a in and out.
Austin C.,"Kenilworth, NJ",0,3,,1.0,11/29/2017,"Came to this place right after I got out of work, was seated within 10 seconds of entering. Employees yelling at each other to mop floors very poor resturant service. I ordered a half rack of ribs with French fires I told the waitress that I wanted the ""dry rub"" on the ribs because I have acid reflex and I can't have BBQ sauce without having incredible amount of pain in my chest. What do I get? A half rack of ribs loaded with BBQ sauce and cold hard French fries which took a hour to come out to me, I waited for almost 30mins and no one was around for me to say anything about the error, so I took napkins and wiped the bbq sauce off as best as possible. Never will I ever come back here, this place should be shut down asap"
Joshua B.,"Moyock, NC",115,195,232,1.0,9/12/2016,"My group came by because it's close to wear we are staying. We arrived and seated ourselves in the bar area. After a medium wait (10 minutes), a waitress came by to take our order. We gave drink orders, and she left. Then a waiter came by and introduced himself and said he would be our waiter. We asked about the first person then they began to argue who was taking our order. After an interesting show we got the waiter and our friends got the waitress. I ordered the salad bar however my friends had a terrible experience. Their food was cold, drink glasses remained on the tables and no garlic cheese rolls made it a bad time. Not recommended at all. Management change or new tactics needed to fix this."
Wai W.,"Waldwick, NJ",119,448,203,4.0,1/2/2017,"There are very few sit down eateries in Jersey Garden other than the food court.  If you want full sit down meal, this is one of those available. It is large to accommodate bigger parties and has a bar to boot.  Service is very attentive as well as anticipating refilling your drinks. Food is realitvely good especially the fajitas and burgers.  Typical Chillis you can come to expect but get here early for no wait seating since the mall packs a huge crowd for lunch and dinner."
