Username,location,friend_count,review_count,photo_count,rating,date,review
Roby P.,"North Hollywood, CA",69,68,66,5.0,10/16/2012,I love their ribs and sandwichs are delicious nice place to be at felt a good vibe when I walked in so far haven't been disappointed
Ramon R.,"Glendale, CA",6,95,2,4.0,2/6/2013,"Been here several times and the service has always been great. Their food can be hit or miss but for the most part it is good. I don't understand why in California they do not have great drink specials like in other states. Their happy hour is okay but it's not 2 for 1 :( The steaks here are my favorite part of chillis. Even though they are not expensive, they taste better than some of the $35 steaks I have had. Overall, I recommend this place."
Libby A.,"Monrovia, CA",43,54,10,1.0,1/2/2012,"Terrible service here always . Dumb waitresses n waiters . Slow as hell. If u want to be ignored n have them forget about bringing what u ask for , then go here . I refuse to be mistreated here again . Not ever coming back here . Maybe I should just eat at home from now on . I'm sick of bad service!!"
Diana W.,"San Francisco, CA",73,413,48,2.0,8/15/2010,"It's a huge chain, I know...I'd never been to a Chili's.  Saw that TV commercial (I know, I make the damn things, you think I'd know better than be swayed by them!  Yell at me later, K?) Anyhow, got one of their burgers, meh.  Burned and charred on the outside, rare on the inside.  (I know, most people dig it, but I didn't request that-)  Fries were OK.  No drink refills until after the check and never brought the ketchup.   Nuff ranting bout that one. Least I'm only out $5.99 or so....  Not a lot of warm fuzzies for this one, sorry guys!"
Greg W.,"Agoura Hills, CA",103,661,80,3.0,3/12/2012,"Chili's is a typical chain American restaurant & grill.  The service can be good or bad depending on factors.  Large groups (8+) tend to over tax them and orders get messed up or forgotten, and will never come out at the same time.  Stick to smaller groups.  This one even tried to set 3 people of a 18 group party by themselves at a different table. As to the food, eh.  Its pretty average across the board.  There are a few really good items, the southwest eggrolls being on the yummy side.  If you have foursquare you can always get free chips and salsa (which are decent) for checking in.  The burgers are decent size and the onion straws are good.  The have a black bean patty if your a veggie eater.   The fajitas have gone a little down hill over the years and are now straight average and not a large portion. The steaks can be surprisingly good if they cook them right (2 out of 3 at our table were good).  There are a decent selection of health opinion as well."
Anton N.,"Encino, Los Angeles, CA",22,128,92,5.0,2/4/2014,"I come here mostly just for their southwestern mac and cheese, they make the best mac and cheese out there. For just $2.50 No one comes close, its a bit spicy, topped with crunchy breadcrums, cooked to perfection. Fast service and easy to find parking makes it one of my favorite places to come and get some mac and cheese!"
Anne A.,"Los Angeles, CA",400,1618,3340,2.0,3/29/2012,The best thing about this bar is that I saw a drunk and high Bobby Brown here and I got to tell him how I am (was) a big fan...I also got to take a picture with him. Food is your standard chain-type food. Digestible but I'm always thinking about the quality and number of calories I will be consuming here.
Fiat L.,"Van Nuys, CA",30,42,4,4.0,7/27/2015,I love this Chilis but mainly I love the long islands here! Tried at other Chilis but they don't make them as good. I mainly go to the bar area and the service is always good. I also like the option to pay at the kiosk. Very nice girl working there and sadly I can't recall her name...she has dark hair with bangs and always smiling! If it helps she was working on Saturday night 07/25. She is really hospitable and she definitely does a good job on checking on her tables!
Nathan D.,"Los Angeles, CA",0,14,,1.0,11/8/2014,"I'd like to start this off by congratulating Seth.  Despite my pleas he didn't change the big TV to the UCLA game because his boss gave him other instructions.  kudos for being a loyal employee.  That being said, the owner needs a lesson on flexibility.  Sure, Alabama is ranked higher than UCLA but we are at a chili's that is minutes from Westwood.  Sitting at the bar were numerous patrons wearing UCLA shirts and hats..... Cater to your audience.  Take an informal survey and let the bartender to have the power to change the channel based on  the customers.  I guarantee that you'll make more money."
Kevin H.,"Woodland Hills, CA",1,148,2,3.0,3/24/2013,"I walked in with a party of 5. It took 45 minutes to be seated because they were not able to accommodate five people. The only had two to three tables to fit five to six people. After asked the person in the front a few times as to when a table would be ready, she stated as soon as some would got up. A group of six people got up from a table and that open table was given to a party who gave 35 minutes after us and they were seated because the had children. Horrible service. After another 10 minutes, we were finally seated.  Went to the restroom to wash my hands. Disgusting inside. It looked like no one had checked inside the bathroom all day. Washed my hands and got out if there.  Got back to the table and ordered chips and guacamole and  a mango salsa chicken. There were no forks or knives on the table and it took another 10 minutes to get those. By the looks of the picture for this item, I believed it would be a medium sized portion. This portion looked as though it was for a small child. I ordered it with fries and steamed broccoli which were also child sized portions. I was disappointed in the portion size. The chicken and mango salsa tasted good. Chicken was cooked well and the mango salsa tasted fresh. The fries had some overly poured salt and the broccoli was good.  Overall, I do not think I would order this item again because it was such a small portion. The service was good. The waitress would bring water before it even ran out and was nice. I would probably eat at this location again but would order something else."
