Username,location,friend_count,review_count,photo_count,rating,date,review
Angelina R.,"Sun City West, AZ",37,64,10,3.0,5/7/2017,"Not really impressed. I usually order to-go. They never have my order ready when it should be. The portions are weak for the price paid and the quality is pretty poor. Asking for them to run coupons or discounts is like pulling teeth when you have to wait an extra 15 minutes while your food gets cold sitting there while someone locates a manager.  More distinctively remembered- the food was all carelessly thrown in cheap styrofoam containers that were melting from the heat of the hot food... the food that WAS hot until having to wait 15 minutes for a manager then the drive home. Applebees has legit quality plastic containers for to-go food. Why doesn't Chilis?? One thing I ordered was a side of grilled asparagus w/ Roma tomatoes & garlic. Sad presentation & portion for almost $10 of a charge! 4 weak, skinny, stringy strands of asparagus w/ 2 tiny bite-size cherry tomatoes and probably 10 pieces of garlic just thrown in a giant styrofoam container. I like garlic, but it was majority of garlic that I paid for. I could have gone & bought my own ingredients for half the cost of what this was.  I can't say anything else I ordered was worth it, either. It is like they bank on no one checking to-go orders before they carelessly throw tiny portions in crappy boxes. For the price paid, it was a ripoff and not worth it when it came to the quality of the food, either. And when you are offering coupons/discounts through email, those should be honored with no question, not having to make customers wait 15+ minutes to find a manager to approve what your company is marketing to begin with.  The least they did that was good was throw in an extra side of queso. Had it not been for that gesture, I probably would have left the food and asked for a refund. Please get your act together. I went to Applebees as an alternative and they blew Chilis out of the water with service, portions, quality & price."
Nan M.,"Goodyear, AZ",0,34,14,2.0,11/5/2017,"There was a wait while the host cleared tables so he could seat other guests. Many uncleared tables. When he seated us, I asked the host if their bussers did not show up. He said there are no bussers. the servers are expected to clear the tables. Not sure how they're supposed to get it all done. They need more employees. Nachos were not hot. Were lukewarm. Place did not seem very clean."
Jim G.,"Phoenix, AZ",54,16,2,1.0,8/17/2017,I went to this location at 3PM on a Thursday to grab some food and do some work while I was waiting for my next appointment.  In order to do a little work I needed a booth with a power outlet.  I went into the bar and they said that the only table's with an outlet were in the dinning room.  So I went to the host/waiter and ask for a table with a power outlet.  I was then told that there wasn't a server in that section so I couldn't sit there.  I said that I needed a plug for my computer and that is when I was told that I would probably need to go somewhere else because they can't help me. WOW!! I was surprised they didn't want my business considering there was only like 4 tables sat in the whole restaurant.   So I went to Majerle's instead.
Christina D.,"Avondale, AZ",0,4,,1.0,1/7/2018,This restaurant is so dirty. I noticed it the min I walked in. The tables were filled with garbage and the floors were so filled with trash. Then we were seated and I went to wash my hands and had to walk by the kitchen and OMG it was a disaster!!!! Tortilla chips all over the floor and food all over the counter tops. I honestly am calling the manager tomorrow and I will never eat there again.
Dawn G.,"Olympia, WA",10,201,1320,3.0,1/12/2017,"We have dined at several Chili's restaurants and the visits are always just average..... We are never disappointed, but we are never blown away either. This visit was no exception. I was very happy with my meal and drink, the Mr thought his was just so so. He had the Chicken Ranch Sand which with Avocado added. I had the Smothered Smoked Chicken Burrito and thought it was very delicious. It was also huge and I took half home and it heated up great the next day too. The berry margaritas are really great too - I ordered the Triple Berry this time and on another visit the Pineapple Blueberry - both really great. And just like other reviews you will notice I only have pictures of the drinks..... I dig right into the food when it comes and forget photos! Sorry"
Krista S.,"Avondale, AZ",57,26,9,5.0,3/14/2017,Food was really good. but most of all our server Erica was amazing.  attentive and courteous.  she made out lunch amazing.  the food was fresh and delicious. again outstanding service that was really appreciated.  thank you. we will be back!!!
Patricia M.,"El Mirage, AZ",0,9,,1.0,3/29/2017,"Had lunch here yesterday around 3, every thing was fine. Myself, my husband and 4 year old daughter were sat at a both right behind the host stand. The service was great and the food was great at first.  My husband ordered the new chicken strip meal with blue cheese and buffalo sauce. It was cooked well and was crisp. Except it gave him food poisoning, BEWARE OF THE CHICKEN STRIPES. Most of the night and still as I write this he is in the bathroom sick as can be. I'm just greatfull our daughter did not try any of his food. This a really disappoint because we go to chili's about once a month as a treat for our daughter. But now it's not worth the risk of getting sick."
Maria G.,"Evanston, IL",20,11,4,1.0,8/2/2017,"Over the past few months the service has gone to crap! I'm a frequent flier here who loves their food. I had a to go order once and as we came to pick up the order the cook claimed that he made the food but yet it went missing. Today as we sat the server never came and finally I stopped someone after 15 minutes and gave our order, now waiting another 25 minutes considering they're not very busy the appetizers that we ordered wasn't even out yet. Even my child is asking why is it taking so long even though she's occupied playing with the kiosk."
Blake F.,"Southwest Houston, Bellaire, TX",554,12,3,1.0,6/5/2017,Extremely slow service. The servers looked lost as well. Felt bad for the main lady working the bar because the other guy wasn't helping her. What a shame.
Hank W.,"Goodyear, AZ",3,36,15,2.0,6/4/2017,"Service was just bad, food came 40 minutes after ordering and the 2 stars are for another server trying to help and the Manager being genuinely helpful. She was very attentive offered to give my 9 month pregnant sister something while she waited. My sister declined You can just tell our oder sat for a while, fajita was not sizzling and the hamburgers bottom buns were soggy. Just a super disappointing all around experience.BUT my sister's remake food came  fast I have never been to this one but it's close to my house and I'll probably try again with football season on the way. My sister's come here often and say it's never been like this"
