Username,location,friend_count,review_count,photo_count,rating,date,review
Peter K.,"Provo, UT",5,42,60,3.0,7/21/2017,"I'm giving this Chili's establishment three stars.  First off I ordered my food online through the chilis app. And I was told it would be half an hour wait. I didn't care because I knew it was busy especially being a weekend and late night. I ordered myself chicken strip with fries, and my sister got a vegan burger with a side of extra fries. The processes of ordering online was really easy and simple. You can even customize your order to how you want it!  When I got the text message that my food was ready. I made my way to chilis. I parked in the area where ""pick up only"". I made my way into the restaurant. I waited roughly 10 mins to be helped. You think if a worker saw you they would stop and ask if I've been helped? Nope that didn't happen. I had to ask and was told by the waiter he would come back with the person who was suppose to ring me up.  Finally after 20 mins of waiting they brought my food out and paid for it. When I got home and opened up the plates of food I ordered I was so shocked to find out that the extra side of fries that I ordered was so little. (Due to my sister eating the fries right away I couldn't take a picture.) But the amount of fries on the plate shouldn't be 5.00 extra!? It was my fault for not checking the plates of food.  Also another thing it's seems like all the co-workers didn't to care to work as a team, but rather state ""oh that's not my job!"" Their professionalism lacks big time. Ji would just rather go to another chilies."
Sulema C.,"Geneva, Orem, UT",56,16,5,5.0,1/5/2018,Loved not having to wait in line as long by using their stand in line option through the app! The food was great and our waiter Allen S was awesome!
Richard H.,"Graham, WA",325,1203,2707,4.0,5/8/2017,"Had dinner here tonight, and was very pleased with it, we got the 2 for $22 special they had, soI went with a Chili, which was very good, and for the entree went with a Mango-Chile Tilapia  - which was spicier than I like it, but still pretty good! I went with the local Hefeweizen option they had also. My wife went with the Nacho's (the sauce with it was very good!) and she got the Margarita Grilled Chicken (I think) which the chicken was very tender! And for drink a Watermelon Margarita. I would most certainly come back to a Chilis and would recommend this location!"
Shayla G.,"Oxnard, CA",59,12,8,2.0,12/27/2017,"It's been a few years since I've came to chili's and it wasn't all that great.. I was so excited to try the street corn and it didn't taste like street corn at all, they used a Cajun spice on top and added lime, not to mention the corn was so soggy. It just really didn't taste good. And they were out of about 3 different dishes so I finally had to settle for a sandwich that was mediocre, I'll only come back for beers"
Brady E.,"Provo, UT",373,87,21,4.0,6/9/2017,"Crowded (which is usually a good indicator). Fast order-to-eat time (always good). Delicious food (you'd hope so). It's a huge franchise, and you have to go in knowing that you're gonna not get the same experience you might get if you went to somewhere locally owned and made.  Still, good place to eat."
Aubrey U.,"Orem, UT",0,2,4,1.0,1/1/2018,"I wanted to order to go, so I went online and every time I tried adding an item to my cart, it would crash on me and say my session expired and reload the page. I did this twice before giving up and downloading the mobile app.... which did the exact same thing to me. I finally decided to call in my order. It was ready on time, the girl who rung me up was friendly. But I get home and there is a plethora of problems with my order. My burgers have no mayonnaise (when I ordered and paid for extra). I ordered beef nachos (which were about 5 dollars more than regular bachos), NO BEEF. And I didn't get my side of pico with them either. The only part they got correct was my mashed potatoes. So I paid $9 for literally 6 chips with cheese which I could have just as easily done myself. Not to mention 40% of the cheese on them is burned to a crisp so it's going straight into the trash. Awful to go service, would NEVER do it again."
Brooklyn B.,"Orem, UT",106,40,3,4.0,6/1/2017,"I went to chilies tonight with a few girlfriends, we where craving the chips and salsa!! (They are delicious!) We had a waitress named Lindsay and she was great!! I can see how it would be annoying to a waitress to have 3 girls come in and spend $5 total but she treated us with great service!!"
Brett B.,"Provo, UT",0,4,,1.0,4/25/2017,"Had dinner tonight.  It might be a stretch to say that we saw our waiter twice.  On the menu in big bold letters it says CRISPY CHICKEN. It was soggy...and cold.  The mexican bowl was small and way over priced and the southwestern salad had twice the dressing it should've had.  Since we never saw our waiter we couldn't tell him. Finally, after waiting way too long we paid and left. Our waiter beat us out of the door as he must have gone home.  We won't have to worry about this again as we're done. Won't be back. It seems as though Chili's might have changed ownership because what was once a great place is now pretty average (as measured by our last 4 experiences).  Don't waste your time or your money."
Sara P.,"Provo, UT",238,233,88,3.0,5/31/2016,"I came here with my in laws and some family from out of town on a Tuesday afternoon for lunch. The wait staff was pretty cool! Everyone has personality here, I love that. It doesn't feel so ""corporate"" when the staff is chill. The food was pretty good, if you love spicy, try their chipotle ribs! Appetizers were delicious and hot. Our food came out about 10 minutes later! Not bad for a table of 7! Since this was my first time, I'd like to say I'll be back!"
Jessica T.,"Orem, UT",0,2,,5.0,11/15/2017,"I went this location last night, picking up a to go order with gift cards. I was a little short on cash and the manager gave me excellent customer service! As well as the take out girl! I would most definitely recommend coming to this location just for the awesome staff! The delicious food is a plus! Thank you so much for your kindness!"
