Username,location,friend_count,review_count,photo_count,rating,date,review
Carol M.,"Alpharetta, GA",0,13,5,2.0,6/22/2016,"Food is good. It is the Cheesecake Factory. At North Point location, you will never know if they are going to cook your dish properly or if they are going to mess up your food. Customer since 2006 I always have to think 3 or 4 times before coming here. So, today for instance I decided to try my luck, my husband ordered a Tuscan Chicken and I ordered Pasta DaVinci. My pasta came without any sauce on it. When I mentioned that to the server, the server said she could bring more sauce. Well, after the pasta was cold, she brought a sweet & sour thing that I still have no idea what it was. Speaking to the manager she was nice and calm but it does not make up for the fact that my husband end up his meal and I don't even have mine. That is why you should stay home or come here at your own risk."
Judi H.,"Roswell, GA",87,3,1,1.0,7/10/2015,"Dumbest, most offensive move ever!  Got our check before our food was served!!! 9:30 on a Friday night --- not too busy, and yet we waited at the table for a good 3 minutes - no apology. No excuses.  Then a different server drops the check and talks about the PanAm games like we are friends"
Kimberley O.,"Woodstock, GA",82,15,6,1.0,10/8/2016,"I am so surprised at the disaster this restaurant was tonight. The host stand was completely mismanaged. All employees were gathered around not making eye contact with any guests (when we approached to be listed as well as when our buzzer went off) The wrong food was brought to our table three times. I would not suggest this restaurant especially if you rarely go out and are looking to celebrate. However, our dessert was great and our sever was sweet and attentive."
Barry K.,"Painted Post, NY",135,228,280,4.0,1/12/2015,We were at the mall and decided to eat here instead of the food court. Since it is connected to the mall. The  place was very crowded so I excepted to wait awhile but it only ended up being 10 minutes.  The staff was friendly and helpful my sister had a baby and they took her stroller for her and brought her a chair for the baby.  Our waitress very helpful and I asked if I should get the Chicken Marsala or the Shepard Pie. She said go with the pie.  I was surprised but I went with it.  It didn't disappoint at all!  It was a big size portion and was full of flavor I can't believe how good this was. I know you are thinking its the Cheesecake factory for comfort food?????  I can't wait to go back and order it again!!
Kristie D.,"Alpharetta, GA",91,324,65,3.0,8/12/2014,"Why is it always so friggin cold in this place?  We literally eat as quickly as we can so we can get the heck out. Service is not really a selling point for them as the servers oftentimes seem to be pretty unhappy to be there and can be quite slow.   Food is consistently good, it would be nice if they had a full brunch on Saturday but I'm sure corporate controls that.  I was adventurous this visit and tried the spring rolls off the Skinnylicous menu and they were surprisingly good.  Something crazy like 350 calories but they tasted like real food. I just really don't like coming here because of the cold, its just too uncomfortable and only strawberry pancakes make it better.  But you can only get those on Sundays!!!"
Christopher B.,"Alpharetta, GA",2,29,,1.0,11/24/2015,"If this was the last place with food, I guess it make sense sense to go. If it is not, I would pass. Here is our story: Stopped in for a light dinner and sat in the bar area. We were give a menu and the waited to be served for over 15 minutes. Finally, I got up, walked over to the three waitresses and asked if we were sitting in the wrong area.  We finally were able to order our  drinks. Some of the drinks were brought, but one was forgotten.  After 10 more minutes, we had to ask if we were getting the drink. ""Oh, I forgot"".  When the waitress finally came over to ask about food, we placed an order. A friend had to order three separate times as each item he ordered he was told ""we were out of that"".  The tables were full of old food that no one was busing. It truly felt like we were sitting in a dive bar.  If I owned this location I would be complexity embarrassed. I understand that things happen.  But this was laziness amongst the entire staff and the mangers."
Donna Y.,"Atlanta, GA",21,33,2,2.0,7/29/2016,"Went here for an anniversary dinner-bad choice. Friday night, 50 minute wait. We got there at 8pm. It was 9:40 before we were served any food. We may as well been invisible. They seemed understaffed. The bathrooms were filthy (men and women's). The floors were wet everywhere not just the bathrooms. We did complain and they comped our entrees. The only reason they got 2 stars is because the food/cheesecake is pretty good once we got it. Just does not compare to other Cheesecake Factory dining experiences."
Nichole D.,"Manhattan, NY",81,14,1,1.0,5/1/2016,"Worst experience I have ever had at a Cheesecake Factory. Food was cold, salad wasn't dressed, fries came out by the time my brother had finished his meal. Even further, my sister's meal was missing avocado. When we asked to speak to the manager I could not have asked for a worse response from management. The manager was rude and took no responsibility for her restaurant's actions."
Angela L.,"Alpharetta, GA",0,7,,1.0,10/27/2016,"Used to love this place in the past, however, the last 2 times have been the utmost worst experience (with the exception of our server, Braxton, last night). We witnessed a couple at the next table have they're order messed up over and over again, in addition to having to wait half an hour for it! They eventually walked out- which should've been a red flag for us- bc believe it or not, it happened to us too. Will never be coming back here again, and I wouldn't recommended it to anyone else either."
Andrea M.,"Lawrenceville, GA",529,1116,3663,4.0,8/24/2013,"The food was divine, but not so much the price. lol. I just love their drink and menu selections. There were too many choices to choose from.  I tried the Mai Tai there, and boy was it strong. I know I am a girl, but even my guy friend (an alcohol lover) said my drink was pretty strong. He won't ever say a Mai Tai is a girly drink now. :)  My friends and I shared the avocado egg rolls as an appetizer. It was good but nothing too special. There were only 6 pieces, and it cost $11. Yup. Yup. I ordered the pretzel-ed chicken skewers (unsure of exact name) on the appetizer/small dish menu, and it was pretty tasty. A unique texture to say the least. We ended up splitting a chocolate tuxedo cheesecake (perhaps my friend made the name up). It was chocolaty and delicious.  The waiter at our table was attentive and very friendly. I wouldn't say he was the most knowledgeable when it came to the drinks or some of the food recommendations, but a good enough waiter. He was nice enough to corral a few other waiters to come and sing to my friend as it was his birthday.  Overall, a good place for a first timer."
