Username,location,friend_count,review_count,photo_count,rating,date,review
J K.,"Temecula, CA",0,10,,1.0,6/30/2016,Wow we want to the cheese cake factory started have a great dinner to end up having a big bolt in my food we requested the Mgr Mario and all he could say was he has a lot of metal parts in the kitchen we asked for a refund on the food he said he could do anything but credit the plate with the kitchen parts in the food this is a corporate store and for some jackass Mgr to tell us he could credit the bill was shame full !!  We got up and left thanks for a great dinner not!!
Janis M.,"Hendersonville, TN",0,7,,1.0,10/18/2015,"I've eaten at other Cheesecake Factories before,  but this one was very disappointing. We ordered takeout, a salad and I ordered white chicken chili that was $13.95. My chili consisted of about 1 cup of liquid, 10 beans, and 8 pieces of chicken! And it was cold on top of that! We were in a hotel and didn't have a microwave so I ate 1 cup of cold chili."
Katrina N.,"Irvine, CA",91,390,1861,2.0,8/4/2014,"**This review is for Take-Out only I figured since it was national cheesecake day, come in and get half off their selection of delicious cheesecake.  However, the restriction being for take-out is only 1 order of cheese cake/entree =( Boooo.  So I narrowed my choice down to Wild Blueberry White Choco cheese cake.  I also phoned in for the Grilled Pork Chop. So being that this was the Anaheim location, it was packed for a 6pm on a Thursday.  I dodged and weaved my way to pick up my food and left.   So the food?  NO BUENO!! I give the pork chop a solid 2 stars, it was that bad.  The reason being is that for a $20 dish, I got some dry ass, bland, and the most ordinary dish I've ever tasted.  The sides were spinach and some alright mashed po's.  The pork chop was so pathetic though that even the meat near the bones were dry.  Usually meat that are near the bones are moist because of the fattiness, but these were also dry.   The cheese cake though was the star of the show.  I'm so glad I got it half off though, I don't think I would buy a slice of cheese cake full price."
Brandy B.,"San Francisco, CA",3,94,202,1.0,1/21/2016,Horrible. Will not be eating here again. I used to love coming here but last time I got the pizza salad lunch combo (which was always my go to) and it was awful! The pizza tasted almost chemically and the salad tasted like dirt. It used to be so yummy. Huge bummer that this place has gone down hill and no longer pays attention to the quality of their food.
Vanessa G.,"El Paso, TX",2,5,1,5.0,9/17/2015,"Came here on a Wednesday night. Me and another guest were hungry and, since we're in the area, opted to visit this place for a late night dinner. We showed up around 9:00 pm and the place was packed. Since we were only a party of two, however, the wait was only ten minutes since we were willing to sit outside if necessary, which is exactly what we ended up doing.  I'm glad we did sit outside. It was a cool night and it was much quieter outside than in. We were promptly attended to by Jared. Upon request, he suggested a rather delicious full-body wine (i wish I could remember the name). I ordered the Chicken Madeira. It was a generous helping of chicken and mashed potatoes. The chicken was tender, not at all dry. I was not able to finish my dish so Jared kindly packaged up the remainder to go. I then ordered the chocolate mousse cheesecake which as always was delicious. I left with a full and happy stomach. The customer service was great (thank you Jared), food was delicious and came out quickly, and the atmosphere was relaxing. This was a great way to end a night."
Eric K.,"Glendale, CA",0,3,,1.0,10/1/2016,Bad experience on bistro pasta with hair. They didn't charge the dish. Thank you so much.
Benjamin R.,"Anaheim, CA",91,32,21,4.0,7/4/2015,"The Cheesecake Factory is my families' favorite restaurant. Disneyland is our favorite place to visit. With the two so close together, we are one happy family! It's become our tradition to visit The Cheesecake Factory on Katella at least once during our trips to Disneyland. It's a great start to our vacation, as we anticipate spending the next day at the parks. On a recent trip, we left Disneyland midday and walked over for lunch. Although the restaurant was busy, it was a nice break from the frantic atmosphere of the parks. The food was as good as ever. My son loves the wheat bread in the bread basket and would make a meal of it if he could. My favorite meal is the  avocado egg rolls . On this visit for lunch, I had the BBQ Chicken Salad, which I also love. We like the variety offered on the menu and everyone always finds something amazing to eat. The service was good, as usual.  We have also found that this is a good location for meeting friends who live in the So. Cal. area. We can walk from Disneyland-area, and our friends can get there easily and use the parking garage. We say, ""Meet us at The Cheesecake Factory"" and everyone is game! The last time we came here, we randomly chose to visit this restaurant about 6 pm one night. We walked in and we're given a table immediately on the patio. The menu was huge, refillable soda drinks extremely good value. The orange chicken was delightful and all other items were enjoyed by family. The complimentary bread was very tasty. Miso salmon is always a fabulous dish here. We took cheesecakes to go and ate them for a few days afterwards. This was the meal that kept on giving. By the time we left just after 7 pm there were queues on the footpath of people wanting to get in."
Lauren V.,"Garden Grove, CA",159,1,1,5.0,7/29/2016,"So I got lunch to go today and I was helped by Lorena , I got back to work and realized my cheesecake was missing , I called and Lorena went out of her way to bring it to me at work she  is the best I hope she Read's this she's the real MVP !!! Not only that she gave me a extra piece on her !! Thank you so much !"
Eyad A.,"Fullerton, CA",16,29,53,4.0,11/21/2015,"Went here earlier today for lunch, it was great, but I had ordered just too much. I should really start cutting down to lunch portions or possibly try eating half portions only, but it's normally hard to stop once started...  I had the chicken Madeira which was different than the norm, idk maybe I was just really hungry or just haven't had it in a while.. it was freakin awesome! Overall everything else was great.  P.s; if you don't want to eat alone, and are willing to treat, hit me up!"
Sarah K.,"Orange County, CA",165,520,102,4.0,9/23/2014,"Fresh strawberry cheesecake and the oreo dream cheesecake were just way too good and sweet. These two are going to be definitely be my ""go-to"" cheesecakes.  There is a skinnylicious menu, which I found more items to my liking than the original menu. The lettuce wrap tacos in two styles: asian and mexican were so fresh and filled with yummy flavors. One order of each would get you three wraps for a little less than $7.00. It's not so filling, so it's perfect as an appetizer.  The fresh salmon with the vegetables were cooked well and loved the variety of vegetables it came with including carrots, asparagus, green beans, and more."
