Username,location,friend_count,review_count,photo_count,rating,date,review
Stacy K.,"Burr Ridge, IL",320,177,928,3.0,9/12/2015,"Cheesecake Factory Pros: Location, Cheesecake & menu selection  Cons: Service I like the atmosphere and I love the location of this Cheesecake Factory, however the service here is hit or miss. With that being said, I don't go here very often. I've had a few experiences where the waiter wasn't very helpful, if the waiter was available at all. The food is ok but it's not something that makes me want to tell all my friends about it. The best thing about this location is the fact that it's attached to Lenox mall, the cheesecake and the beautiful atmosphere.  They could do a better job with making sure the staff treats every customer with superior customer service.  Overall my experience at the Cheesecake Factory could have been better but due to the amount of restaurants in the Atlanta area I don't have to go to the same place over and over again.  I only recommend this location if your looking for amazing cheesecake. If you do go here I sincerely hope your waitress/waiter understands the importance of customer service."
F M.,"Navarre, FL",78,6,,2.0,10/21/2017,"I did NOT enjoy my dining experience. We were sat in a secluded booth area in the back of the establishment near an exit. The walls looked smudged and sticky.  It took ENTIRELY TOO LONG to order/receive drinks, order/receive appetizers, order/receive food. On top of this, my order was incorrect even after writing it down! After consistently misordering every course of the meal and sending the food back, the manager NEVER bothered to inquire why. After having to walk up to the hostess counter, I finally get my bill, the bill was incorrect too! This experience is not indicative of what I've experienced from other Cheesecake Factory chains (CA, SC, NC, GA). Seems like it is only like this in the Southeast...losing my business and that of 1000 other people I know by the minute...shame"
John M.,"Byron, GA",0,31,,3.0,10/19/2017,"Food has gone downhill. Still good, but not great and prices still high. Service was slow and drinks went without refills."
Kirby F.,"Atlanta, GA",0,3,,2.0,10/14/2017,"Stealing is bad.  Food was really good, service was good, only a 5 minute wait on a Saturday evening, should have been a great visit.  But the server pulled a fast one.  We paid with a gift card, server said there was $4 left on it, we left a cash tip.  Decided to get cheesecake on the way out but suddenly the card had a $0 balance - turned out the server had added the $4 to his tip on top of what we left!!  Took the manager 20+ minutes to sort out; she put the $4 back on the gift card and comp'd 2 of the 4 pieces of cheesecake we ordered.  So it was handled pretty well but stealing is bad, not sure if we'll go back...."
Marlin S.,"Atlanta, GA",208,187,241,4.0,11/17/2016,The bar and the bartenders all get a thumbs up! They are pouring heavy and very attentive! Love it love it love it! What more can you asked in a $12 Long Island!
Sabrina W.,"Accokeek, MD",249,92,42,3.0,5/30/2017,"Meh. My family ate here with a friend this weekend and were not impressed. The Greek salad was bland and the best salad was off. How do you mess up salad?! The orange chicken was mediocre. My hubby did like the chicken sliders. Overall, nothing to brag about and nothing to pay $100 for."
Amanda R.,"Decatur, GA",0,83,61,5.0,8/5/2017,"I'm not sure why this place only has 3 stars on the overall rating? I had a good experience here when I came for lunch. I was seated promptly, and the waitress- Kayla was super cool and very pretty. She had a great attitude and was very accommodating throughout the dining experience. The food was fresh, and the place was nice and clean (including the restroom). This was my first time at THIS location. I'd definitely recommend giving this place a try!!"
Sonia K.,"Atlanta, GA",0,18,4,1.0,6/8/2017,I DESPISE this location!!! My to go order is ALWAYS wrong!! I live down the street from this location but go out of my way to perimeter where my order is always correct and the staff have better attitudes! I've even written in and complained about the Lenox location. Nothing changes. My salads always have discolored avocados!! Why??? Only here. So annoying!!
Michelle T.,"Atlanta, GA",289,197,871,3.0,1/22/2015,"Cheesecake Factory is like a buffet. Tons to choose from, but the quality may not really be there.  I have had good stuff here and I have had bad stuff here.  It's the luck of the draw really.  It's your typical American dishes with a little flair by adding a new skinnylicious menu and large portions.  The salads I have to say are really good! The cheesecake is even better. So many choices, so little time.  Good thing they have a walk up counter for the cheesecake so you don't have to dine in to get some.  I was annoyed at the hostess stand because we had a party of 5 and of course they don't seat until the whole party is there. Fine, those of us who are there are checked in.  But when our party was fully there, we had to wait? So I am confused because logic tells me I been had my name on the list, we checked in, we are now all here, then I should be next, right???? Nope we had to wait, and wait too long where we had to say something.  No Bueno in my book.   Our server was nice; she was just a little bit busy. The food took a little time to come out so I was thankful for the bread.  The bread is great comes out warm.  The butter should be room temperature as well. Overall ok experience."
Ana A.,"Tucker, GA",227,3,,5.0,6/19/2017,"We sat outside very nice, quiet & kind of romantic place with dimmed lights, loved it. The food was AMAZING. I got extremely full which never happens because most places make pastas in small portions. I also got a cheesecake, it was delicious. DEFINITELY coming back."
