Username,location,friend_count,review_count,photo_count,rating,date,review
R H.,"Round Rock, TX",0,12,,1.0,8/16/2014,"Went there today for lunch.  Ordered a Spicy Chicken Sandwich.  Got it, it was raw.  Like frozen in the middle raw.  Server took it back, and was bringing me another one, which presumably took forever because the cook was paying attention to the time it takes to cook a frozen breaded chicken breast all the way through.  By the time I got my food, my husband was done with his lunch.  He ordered a piece of cheesecake.  The server left to get it.  Twenty minutes go by.  He finally brings it back.  They say they are sorry and comp my raw chicken sandwich.  On my way out a really angry young waitress is walking out of the hostess stand and smashes right into me in her haste.  She doesn't even apologize.  This place is horrible.  Save yourself a bunch of money and calories and eat at Zoe's Kitchen next door."
Evan S.,"Austin, TX",0,1,,1.0,8/17/2015,"Monday night 7:00pm, party of 10, told 45 min wait, LIARS, 1 1/2 hours currently and still haven't been seated. This is gonna be my last visit"
W F.,"Austin, TX",16,253,9,2.0,4/12/2013,"I have no idea why anyone would come here.  So many better places around here. Pros: Service was okay, no complaints Cons:  * Atmosphere: It's a beautiful place, but I'm giving NO points here:    - Lighting: When we arrived the table we selected was large and had good lighting.  For some unknown reason they turned the lights WAY down low even though I can't see a group of 7 people on a huge round table being anything like romantic.  I asked the waitress to turn up the lights.  She indicated that the manager would not let her.  I didn't want to put her through the trouble of tracking down this moron so I just dealt with it.    - Floors were slippery.  Seriously, what is that about? * Food: Had a veggie burger.  It was barely adequate. --- Won't be back."
Mary A.,"Round Rock, TX",0,3,2,4.0,3/15/2015,I love cheese cake factory... But the portions could serve a small tribe! I could do with a third
Leslie H.,"Pflugerville, TX",123,425,98,3.0,6/14/2012,"I've been to this Cheesecake Factory multiple times over the past several years.  I've never been overly fond of their menu, a little because it's just too damn big (that's what she said), and mostly because despite said expansive menu, nothing jumps out at me and says ""eat me!"" (that's what... nevermind). On our most recent trip here, which was just for dessert, I ordered my usual cheesecake, the Kahlua Cocoa Coffee Cheesecake, with brownie, Kahlua cheesecake, chocolate mousse, and chocolate ganache.  I love it because I love chocolate and coffee, especially together.  It's dreamy. My husband ordered the Fresh Strawberry Shortcake off of their specialty dessert menu, described as ""our own shortcake topped with vanilla ice cream, fresh strawberries, and whipped cream.""  My husband's definition of ""shortcake"" is angel food cake or sponge cake or something similar.  This was a biscuit.  He kept saying ""this tastes like a biscuit"" after each bite.  Duh.  The ice cream was tasty and super cold, like below 10 degrees cold.  The strawberries were delicious, as was the whipped cream. So boo to the Cheesecake Factory for having a biscuit instead of cake in the strawberry shortcake!  But kudos for being open super late during the week (11pm) for when I have a raging sweet tooth."
Alexus T.,"Pflugerville, TX",0,2,3,1.0,11/7/2015,"I usually enjoy the Cheesecake Factory, but tonight I had the worst service. The server took forever to take our order and once he did he told us they didn't have the dish anymore, five minutes after we ordered it. This happened twice with our appetizer and main meal. We received our appetizer and it was cold. Then once we put in our order for the second time, since they ran out, he had to come back to our table to get what the other person had ordered because he had forgot. It took almost an hour from when we sat down to actually get our meal. On top of that the table that sat down after us received there food 20 min before us. This is not the service i'm used to and will not be eating here again anytime soon. The icing on the cake is when we asked to speak to a manager she never came to our table because she was never notified. We had to go up to the host stand and ask for her. Once we were talking to her our waiter came over and tried to be nosey and see what we were complaining about. I hope you have a better experience then I did tonight!"
Kelsey O.,"Palestine, TX",0,2,,1.0,7/17/2016,"Went for desserts and drinks on a Saturday night.  We arrived 40 minutes before closing, which may be a bit later than preferred but not unreasonable.  Throughout the meal, the waitress kept reminding us of how they were about to close.  I ordered a brownie hot fudge sundae as my meal and a friend in my party ordered a regular hot fudge sundae.  When she brought my friend's out, she informed me that they had run out of chocolate so I couldn't have my sundae.  My friend's sundae came out with a GRAVY BOAT full of extra chocolate, so he offered me that chocolate and said I could just ask for the brownie and ice cream with no chocolate.  I did, and it caught the waitress off guard: ""Uhh, I can't serve any more ice cream.  Cheesecake only.""  It then became clear that she was lying, and that someone just didn't want to make my sundae.  I would have been more okay with it if she were honest and just said that the kitchen was shutting down, or something.  To top it all off, as we're checking out another member of our party asks for a to go glass of tea and the waitress says ""Umm I think we're out.""  You would think all of this occurred an hour or more after closing, but we walked out of the restaurant a mere 12 minutes after closing."
Torie M.,"Austin, TX",2,10,3,4.0,10/26/2014,Charlie the manager on duty was amazing. Our waitress was great too. They brought out food on time. Hot made fresh. We even had a misunderstanding on one of the entrees and they took it off the ticket. Just great service. Great food. Will be back!!
Jeanette H.,"Austin, TX",125,282,311,5.0,3/16/2011,I haven't decided if it is a blessing or a curse (or both) that I live so close to Cheesecake Factory. Even though I know the food is not healthy at all I still can't resist. I love the Adam's Peanut Butter (not sure the exact title) cheesecake. It has never disappointed me. It is heaven in the form of a slice of cheesecake.  I also have enjoy the cheese quesadillas. You can't go wrong with oodles of cheese oozing out from between two tortillas.  I will definitely return to this location whether it is for dine in or carry out.
Kellie Gann And Company ..,"Lufkin, TX",241,5,124,5.0,9/16/2014,"My boyfriend and I went to Austin for our Anniversary trip and decided on Cheesecake Factory for the dinner. We were BLOWN AWAY by the food, service, value and ambiance. It was a little noisy, but nothing unreasonable. Best dinner date ever. Worth every penny. We tried the Ahi tuna, steak Dianne, macaroni and cheese, grilled chicken tacos, and vanilla bean cheesecake and Chris's outrageous cheesecake. EVERYTHING was divine. The cheesecake and macaroni and cheese and the ahi were my favorite. But that doesn't mean the entrees were sub par. They were amazing. EVERYTHING was amazing. The staff was so nice and helpful. The restaurant was very clean, fancy and classy, designed a little like Caesars palace on the inside. Definitely my new favorite restaurant!"
