Username,location,friend_count,review_count,photo_count,rating,date,review
Mary Lou C.,"West Islip, NY",73,11,1,1.0,5/29/2017,"We waited 25 minutes for a table & they were not crowded.  When we finally did sit it was another 30 minutes before we saw a waitress. Gave our orders, 40 minutes later we were served cold food. Bonus, the order was wrong. This location needs better management. Will not be going there again."
Cindy T.,"Clinton, CT",239,174,421,4.0,9/25/2016,"My boyfriend & I went there for dinner on Friday evening September23rd,2016. We got there probably around 9:30pm & the place was extremely busy. They have not been to a Cheesecake Factory in many many years. They have a very large extensive menu. You can get breakfast items all day long which is wonderful! They serve bread as soon as you arrive. He had been their for his 1st time the weekend before w/ his kids for one of daughters birthday... so he decided to order the same thing The Smokehouse BBQ Burger. Course it took me quite a while to decide what I wanted I went back & forth debating between many things. I ended up on a cheeseburger and instead of getting french fries you can get a side salad at no extra charge. You can tell that the cheeseburgers are made fresh they're not frozen. They offered to bring you more bread if you want it we declined. We didn't wait too too long but it was probably 15 minutes since everything is made fresh. The burgers were absolutely delicious! They were humongous as well and I had asked to have the tomato & lettuce on the side which they did do & the burgers were cooked to the way they were ordered. Of course I can only eat 1/2 of mine & took the other half to go. And ordered cheesecake to go I ordered the Oreo cheesecake. I had an unsweetened iced tea & he had 2 Heinekens. The bill came to about $52.00 Our waitress was very nice but a bit flighty. Overall very good experience. Another good thing is they have smaller portion menu people who may be on a diet for don't want such a large portion when ordering the Lord's dinners for specialty meals. He couldn't believe the size of some of the meals I saw were coming out. Since you're not sitting in a booth the tables for 2 are very close to each other. The restaurant people I say they probably have at least 15 waitstaff on & 2-3 people greet & seat people. Saw several busybody plus they have people who work behind the take-out area for people coming in just to purchase cheesecake. They also have tables outside for eating. But when we came in at that time they were closing down that area. Average price of what is $6.95 -$7.95....HUGE PIECES enough to share"
Scott W.,"Ashland, KY",0,88,92,4.0,5/15/2017,Ordered their special bacon bacon burger & fries. It was delicious. Had the 30th anniversary chocolate cheesecake ... 5 stars. Had 9 guest at our table & the service was great.
Karla R.,"Brentwood, NY",227,51,24,2.0,9/19/2015,"I like to think of The Cheesecake Factory as a premium chain, as the options are more upscale and varied than most other chains that are available in my area. I have usually enjoyed my experience here, but upon my visit with some coworkers recently I was let down. I'll give it two stars because the chicken lettuce wraps were light and delicious. One of the people in my party was served a dirty glass. Another person in my party asked for Splenda and a knife immediately when we got there, only to ask twice more and the Splenda and knife to finally arrive when we were already having appetizers. We were the only party in the entire restaurant. I had the Steak Diane and Herb-Crusted Salmon combination. It was a nice portion and the dish was okay. The salted caramel cheesecake dessert wasn't that good either.  It's not a bad place to have dinner, but at those prices I'd pay a little more and go somewhere with better service and food."
Brienna P.,"Holbrook, NY",43,2,,1.0,4/5/2017,"We just had the worst experience here, first we didn't get any bread, which is minor I'm willing to look past that. However the waitress disappeared for about 30 minutes, my drink was empty and we waited patiently for her to come back so we could ask for the check. Meanwhile I'm parched and ready to leave. She finally appears, we pay and we are out. Now I have to go to a 7-11 to get a drink before I become dehydrated."
R J.,"Smithtown, NY",1,6,,3.0,12/11/2016,"My BFF and I went the Cheesecake factory to get desert. I got the key lime cheesecake it wasn't creamy it was thick and gooey I was disappointed. Also got the carrot cake it looked so good, looks aren't everything both could've been a lot better!! Especially for the money they are charging..."
Vincent B.,"Harrison, NJ",0,2,,1.0,12/12/2016,"horrible experience for my Mothers Bday12/10/16 ! daughter asked for coke which took 20 mins, and server forgot her appetizer (mac&cheese balls) . Mother asked for med/rare steak, and it was well done. Daughter ordered fettuccini alfredo and it tasted like garlic sauce, horrible. ordered 2-cappucinos which were lukewarm at best, and server forgot take-out piece of cheesecake until reminded. Server and manager at the time were advised of all these problems and all that was done was fettuccini entrée which was returned was taken off the bill. Being a former manager in the restaurant industry ( Bertucci's), this was a total embarrassment at a cost of $250.00, and to not even be offered some kind of guest comp was further salt in the wound."
C. P.,"North Babylon, NY",2,17,5,1.0,6/17/2017,"I really love the Cheesecake Factory. I feel that everything on the menu is delicious and you can't go wrong coming here! But after last night, oh wow. I have never been to this location before but I had shopping to do, and The Cheesecake Factory was convenient right next to the mall. For a Friday at 7pm I was seated within 10mins and we were quickly greeted by our waiter. I love the Cheesecake Factorys bread that they give, it is different and yummy, well after sitting for some time we see everyone with bread baskets. Especially our waiter bringing them to his other tables. Drinks and appetizers came out. Right before our entrees came out I asked for bread and he looked at me with a confused look as if he had forgotten it... he came back with a bread basket and said he was sorry that he was waiting to give us ""fresh"" bread. While putting the bread on the table all the butter packets that he had on a saucer fell into my food.. oye. All I can say it I will take the extra time and drive to the one in Melville!"
Grace W.,"Bay Shore, NY",0,9,1,1.0,10/16/2016,"The service is absolutely terrible!  I've tried both dine in and take out. A colleague and I came in for lunch and we waited forty-five minutes for beverage orders to be taken, we ended up ordering the food to go as we didn't know how long it would take to come out.  On another occasion, my fiancé had ordered a steak medium rare and it came out well done and over cooked.  The waitress' response was they don't cook steak medium rare, it's up to the cook.  For ordering take out, the staff says it'll be twenty minutes - on four separate occasions I've waited in excess of an hour for two Items.  When calling to place the order, one typically ends up on hold for ten minutes. The pricing of the items is not worth the quality of the food.  The staff is antisocial and not friendly.  They make customers feel unwelcome.   I will not be coming back, I kept thinking it would et better after they'd worked out the kinks.  This hasn't happened."
Jim G.,"Lindenhurst, NY",45,8,,2.0,9/30/2016,Appetizers were great Grilled Artichoke Ahi Tuna appetizer were very good. The Ahi Tuna Salad plate on the entrée was another can of fish. It was probably made earlier in the day and stuck in the fridge. Tasteless and there was nothing on the plate. Asked for Wasabi and I might as well had been asking for some alien condiment. She had no idea what I was talking about. Forget dressing on the salad as well. Manager was nice enough to take off the entrée.. but... Never going back....
