Username,location,friend_count,review_count,photo_count,rating,date,review
Patrick W.,"Silver Spring, MD",161,103,47,3.0,2/12/2014,"The food is standard fare for this chain prepared in an acceptable manner. Nothing is going to win a Michelin star here. I will say I rate their curbside service as a negative 50 stars, can I do that? I have tried the curbside 4 times. They are 0 for 4. Better dine in if at all."
Reza S.,"Gaithersburg, MD",0,2,1,1.0,8/26/2015,"Horrible service. All the foods that we ordered were salty and everybody complained. Also, for a party of 15 they told us the waiting time will be 45 min at the time we arrived but we wait for 2 hours to get a table. Poor management and rude servers. Never go there."
Mark N.,"McLean, VA",10,33,4,5.0,6/19/2012,"Cheesecake Factory has a reputation for some really damn good food served in portions large enough so you can eat leftovers for 3 days. The Cheesecake Factory here in North Bethesda keeps that reputation strong. I've been to quite a few different locations and am always happy that they seem to be so consistently good no matter which one you go to. I've been to this location several times and have always been completely satisfied. All the dishes are amazing, the servers are some of the best, and come on.. the cheesecake is phenomenal! This is my son's and my favorite place to go. The only negative thing I can ever say about TCF is noise, they all seem to be so loud inside. That doesn't take away from this being a 5 stars experience!"
Rob J.,"Columbia, PA",75,14,7,5.0,3/28/2012,"First ever visit! It was DELICIOUS! I had a ridiculous sloppy sloppy burger...I don't remember what it was called...but it had pulled pork and coleslaw and BBQ sauce and OMG DELICIOUS! I know it was like 1,000 calories because they have the nutritional value of every delicious type of food listed next to the item on the menu...which is horrible...because by the end of the meal you are ready to go into the bathroom and purge. 4,000 calories for dinner? Yeah...it's easy at this place. Basically...the food is an A+...the fact that they jam the calories of each item into your face is a con. Especially if you normally eat well and just wanna be bad one night...and if you do...may I suggest the Red Velvet Cheesecake...coming in at a whopping 1,570 calories...yeah...thats per slice. DELICIOUS!!!!"
Bruce H.,"Potomac, MD",0,7,,5.0,3/11/2015,"Food is good, service is excellent, and prices are reasonable.  I'm not really sure what else you want in a restaurant.  If you visit other restaurants in the area, you can see how well-run TCF is.  They know what they're doing."
Martica C.,"Silver Spring, MD",31,20,47,4.0,11/14/2013,"Love the variety of food here, I've gone several times over the years and have yet to try something and not enjoy it. It must be said, their portions are huge, so count on leaving with leftovers unless you order from their small plates menu which is also fun if you want to try a bit of several things. Today I learned that they serve some wonderful crab cakes-and I usually don't even like crab cakes."
Fran B.,"West Granby, CT",0,13,,4.0,6/27/2015,Enjoyable experience.  Prompt and flawless service.  Tasty food for appetizers and entries and yummy cheesecake to finish it off.
Kenneatta J.,"Clarksburg, MD",8,14,1,2.0,7/12/2013,"The food was ok, wasn't the best. Tried the Hot Cheese and Spinach appetizer, I've had better. The chips taste stale and the Spinach dip wasn't hot enough. I ordered the Bang-Bang Chicken and Shrimp, the shrimp were over cooked and the chicken were dry. The Tiramisu Cheesecake was the best thing I got from the restaurant, but it wasn't the best cheesecake I ever had. Probably won't comeback."
Cristi A.,"Bethesda, MD",1,2,4,4.0,5/4/2014,"we had a couple of burgers and they were both delicious. Our waiter dissapeared a couple of times and the place is very noisy at this hour (5pm) but apart from that, it was great :)"
Rigo R.,"Silver Spring, MD",1,52,,1.0,4/20/2015,We went there for lunch we had some tacos glass of wine I must said the service was so awesome Alex lamarre was so amazing  best customer service  waiter ever he please if you wanting experience the best service ever ask for him
