Username,location,friend_count,review_count,photo_count,rating,date,review
Terrence T.,"Los Angeles, CA",0,4,,2.0,9/18/2014,1. Just saw the manager take food out of a to go box and put them on a plate with his bare hands. To the manager: we can see you. 2. They ran out of lemon herb chicken and didn't tell me until my wife's food came out. The manager did take care of the bill so I can get pass #2. Definitely cannot get pass number 1. My waiter was a really cool guy though so 2 stars instead of 1.
Mahnaz B.,"West Los Angeles, Los Angeles, CA",846,110,37,5.0,12/21/2015,"The Cheesecake Factory is a great place for birthdays. I went there for my sons birthday. He loved the food along with the rest of my family. There spicy chicken pasta was outstanding. I loved the service they gave us too, they constantly checked up on us to see how we were doing. The desert is definitely what tops it all off. They have the best cheesecake in the world. Which is pretty self-explanatory due to its name. Overall this place is great and I will definitely go there again."
Ian M.,"Anaheim, CA",69,95,34,3.0,12/24/2015,Came here around 10 PM on a week night because I was craving a piece of cheesecake.  I was in the mood for something classic/traditional but I was reluctant to order the plain cheesecake because I was not convinced that the quality would be up to my standard.  Instead I ordered the strawberry cheesecake.  The cheesecake was pretty good but nothing to brag about. The strawberries did not seem fresh at all. They had little flavor. The cheesecake crust was soft instead of having a slightly crunchy/hard graham cracker crust. The cheesecake could have been a lot colder. Not that impressed since I came here solely for cheesecake and cheesecake is included in the name of the restaurant.
Bethany K.,"Orange County, CA",102,597,106,4.0,3/16/2013,"I had no idea that this was the very first Cheesecake Factory location! Who woulda thought it started here in LA... If you've been to a Cheesecake Factory, you already know what you're getting--they're SUPER consistent, from my experience. If you haven't already been to a CF before, prepare for a HUGE menu, very very big portions, and helpful, friendly service. We came on a Thursday evening (a little on the late side) and got seated INSTANTLY. This has never happened in my CF experience... ever! Service was very, very attentive and they had some kind of secret system set up where 3-4 different people helped us through the night in tandem... interesting, no? It also felt a little smaller than I've experienced before, but we only saw the very front area (where we were seated). We had our usuals -- avocado egg rolls, kale salad, and the husband's Chicken Bellagio... with lots of brown bread :) Everything was solid, as expected. PARKING was okay actually--the meters end at 8 (or 9pm...) and we found a spot right across the street, though that's probably not the case during a normal time of day. They do have valet, so I guess they're on par with the Marina Del Rey location in that sense. Boo for no better parking alternatives."
Dani Z.,"Culver City, CA",127,278,657,5.0,9/12/2011,"Hi marks for the service and an added mark for the waitress who thanked and wished us a good evening as we were leaving - she was not our waitress! If you are a 'shroom fan (not the halucagen type) you must try the stuffed mushrooms from the small plate menu. These were the BEST stuffed mushrooms I've ever had, and I think it is in part to not using seafood and drenching the suckers in a garlic and possibly parm sauce. YUMM YUMM!!!! I enjoyed the bowtie pasta with chicken, mushrooms and peas. Very tasty and no skimp on the chicken. And of course, dessert....you don't go to the Cheesecake Factory and leave without dessert! My favorite is the Tiramisu Cheesecake, but since it is my favorite, I wanted to try another. Lemon Rasberry won the vote....and did so very well. This delight was drenched in a tart rasberry sauce and plated with CF's famous whipped cream.  Great service, tasty food, and sinful cheesecake....and for a chain, this was a nice location, too!"
Rashmi Arimilli ..,"Pittsburgh, PA",26,16,,4.0,9/27/2015,"Just adding one more to their positive reviews . It's a great place for a good and cozy dinner . Tonight, I have been to this place with a friend for a dinner . They have a sweeping menu . Mostly, I  tend to order their pina colada for d drink so did I today . The food here is always saporous . Their chicken samosa and bang bang chicken have been on the top of my list to order in there . For the deserts part , all of them are good but I find their tiramasu and chocolate tower truffle cake extremely delightful . The service is decent ."
Carlos A.,"Los Angeles, CA",0,7,,5.0,2/25/2016,"Freaking awesome place, and the service... Fantastic! I guess since it is located in Beverly Hills they are supposed to treat you like kings in here, nice place and great food i trully recommend it"
Nae S.,"San Francisco, CA",124,72,35,2.0,6/27/2015,"SMALL AF. Anxiety just standing in this claustrophobic waiting area. Small bar, tables like an inch from each other. Never again. I need air!"
Lula L.,"Pasadena, CA",5,106,3,5.0,8/30/2013,Great food. Good service. Appealing atmosphere. Prices within reason. I love the Luau Salad and the Dynamite Chicken. Highly consistent quality across locations.  Good to Know: This location had valet parking for $7 and a dog friendly patio in front. Memory Lane: This is the original Cheesecake Factory location and my parents used to drive us out to BH for the treat of eating here. Love the cheesecake - original style!
Nijole T.,"Los Angeles, CA",3080,6372,5149,3.0,5/12/2014,"This Cheesecake Factory holds a place near and dear to my heart. I remember meeting up with family here over 10 years ago and back again last week was a real flashback. Just as I remembered, given the location, a ton of Hollywood wannabees, many ""important"" phone calls, overdressed for where they are and a ton of tourists visiting Beverly Hills wanting to have a cheap and filling meal. The waits like at any Cheesecake Factory are long. The menu even longer. Seriously, the selection is just too  big. Somehow they manage to make most dishes really taste ok. You can eat anything from American to Mexican cuisine here, really anything you could be in the mood for, I am sure they will have. I usually go with one of the huge salads, good but enough sodium and fat for the entire day. Their happy hour at the bar is pretty good, i liked most of the food, the portions aren't as insane and with $5 a plate you can't really go wrong. Service is always rushed and way too busy but the orders come out at a descent time. On my dime or if dinner is my choice, I would never come here, but for a chain it is A-Ok compared to most others."
