Username,location,friend_count,review_count,photo_count,rating,date,review
Tony C.,"Philadelphia, PA",0,1,2,4.0,12/31/2017,Arrived at Boston last night and this is the only restaurant at 11:30 pm. Great service from the staff but the food were not as hot as we expected. Boston was freezing and the food were just warm. We ordered a burger and omelette with fries. The burger was tasty beef and the omelette was well fried with ham inside. Two dishes were well enough for two. Later we took away a chesscake and back to hotel for breakfast. We took it in the next morning and it still tasted good. Just one point to improve not hot enough for the food.
Ellen Y.,"Boston, MA",187,178,39,1.0,1/1/2018,"I'm genuinely upset. Cheesecake Factory is always a slow but good time, but I usually walk out feeling okay! Today was such a different story. We should have known the moment we walked in the back entrance! There were no signs indicating that we were at the back, and we had to awkwardly walk through the whole restaurant for the front.  We got there around 5:30, and was told 25 min for a table of 6. We were seated around 6:10, after I checked in with the hostess how long the wait would be. Our waiter took about 5 min to come to us the first time, and he seemed REAL flustered. My friend asked what the soup of the day was, and he looked at her blank faced saying that he ""doesn't normally work Monday's so he doesn't know and will check"". Every time he left our table, it took him FOREVER to come back. We could not get his attention!! The food was mediocre this time. My friend asked for a medium mushroom burger, but parts of it was DEFINITELY rare. The seasoning on the mashed potatoes was off, but the honey truffle chicken was good. I got the Evelyn's pasta, which was eh. It was a good mix of vegetables, but it all ended up tasting the same. The menu said it came with rigatoni pasta, but I definitely got a few elbows in there. My friend got the shrimp angel hair pasta, which she said just tasted not special. Overall, the extensive menu at cheesecake is overwhelming, but I don't think there's a terrible option.  THIS IS WHEN IT GETS SO MUCH WORSE. We literally waited 45 min between finishing eating to leaving the restaurant. Our server was just too busy. Every time we asked for something, it would take him over 10 min to come back and ask us to repeat what we just said. We even told him in the beginning that we had somewhere to be, but he did not seem to get that. Dinner should not take 2.5 hours when we just got an entree!  We were actually fuming when we walked out. Sat in silence in the Uber back home. Do not recommend this location!!"
Rebecca A.,"Biddeford, ME",61,53,130,5.0,12/10/2017,"I love coming here! The atmosphere, service and of course the food is always fantastic. Oh and you can't forget about the CHEESECAKE!!  On this visit we decided to order from the lunch sized options which are supposed to be smaller but truly you get an amazing portion. I had the spaghetti and meatballs that was very delicious and Judy got the pepperoni and sausage pizza with a salad. She had honey mustard for her dressing and it was the best honey mustard I've had, definitely homemade. The pizza was amazing, so much flavor. For dessert you guessed it cheesecake!! Judy had the celebration cheesecake which was spectacular and I had the caramel pecan turtle cheesecake, decadent!! Great as always!!"
Fion W.,"Manhattan, New York, NY",62,1,3,5.0,1/3/2018,"It's really tasty. Both of dessert and main course. We ordered chicken farfalla and strawberry cheesecake.  The cheesecake texture is creamy, and the strawberry are juicy. And the chicken farfalla is fantastic use fry chicken breast but not dry, and the pasta is chewy. All the seasoning is alright! Strongly recommended!"
Andrew S.,"San Francisco, CA",46,162,565,2.0,10/16/2017,"Great location near the Hynes Convention Center and wait time was quick. The food is very mediocre - had the crab bites and the ""Skinnylicious chicken rigatoni.  Service was also slow.  Not recommended."
Hillary V.,"Lewiston, ME",23,69,136,4.0,7/30/2017,The menu is incredible. I could probably eat here for years and still never explore the entire menu. It makes for an interesting opportunity to try a lot of new things. We have visited twice in the past month and had a great experience both times. Our waiters went above and beyond both times.  We were lucky enough to experience the soup of the day being Loaded Baked Potato and it was amazing.
Ilana Z.,"Brooklyn, NY",1,35,26,4.0,12/3/2017,"We waited around 20 minutes for a seat, which isn't bad. The place was full around 5 pm, which is pretty early for a Saturday night. When we got to our seats, the silverware was dirty so we asked for a new set. Our waiter didn't come to our table often, and we had to wait a while to get our drinks, bread, and for him to take our order. Definitely could've had better service. Other than that, this is your usual Cheesecake Factory. The menu is huge and has so many options! We shared a small plate of greek salad, spinach dip, and loaded tater tots. They were all delicious and the portions are huge even for appetizers. For the main dishes, we got a bacon-bacon burger and eggplant parm. We had a lot to take home as well! For dessert we shared a carrot cake cheesecake which was so yummy!!! Definitely recommend if you're shopping in the Prudential Center and looking for a place that hits the spot!!"
Jacqueline S.,"Menlo Park, CA",84,53,27,2.0,9/24/2017,"Wait time was quick. I had a party of five and we were seated within five minutes for dinner. However we were placed at a table meant for four. It was a booth and they stuck a small armless chair at the end. Not the worst. But it took 45 minutes to be given a fifth place setting and when I finally got one the fork, spoon and plate were dirty with bits of greens still stuck on them. Super gross and I got attitude when I asked for another set. You could see the food on it. It also took over an hour for food. On top of that it was annoying to constantly move my chair out of the way for passing people."
Melanie M.,"Brooklyn, NY",172,286,1175,4.0,4/11/2017,"I love this Cheesecake Factory. Nestled in the heart of Boston it's perfect for almost any occasion. The restaurant is huge and can accommodate large parties. On Sunday's when the entire city of Boston ventures out for brunch and most places require a blood sample and a minimum of at least an hour wait... you can be seated within 15 minutes at the factory.  The menu here is vast... but there is something to accommodate every taste. Fish, chicken, beef, turkey or vegetarian. My favorites are signature the avocado egg rolls and the fire cracker Salmon. These are appetizers but I usually get them as a meal and they are perfectly filling.  The price point is reasonable. Entrees typically don't go past 20.00 dollars here. Of course you can't end dinner at the factory with the cheesecake! Get the cheesecake and damn your diet! It's so very worth it. If you are looking for a good quality bite with lots of options in Boston this is a great option. You can work off the cheesecake with a walk through the prudential afterwards."
Margot D.,"Boston, MA",220,688,34,1.0,9/10/2017,"If only they had their act together..... I was given the task of picking up dessert for 6 people, so I decided that 6 different desserts would be better than just one, this avoiding the ""oh no, I don't like xx"".  I went in, went straight to the area on the left for take-out orders and waited.  Waited some more, waited more, noticed that there were now 5 people behind me also waiting (and worried that they would think the slow service is because I was picking up something that was causing this) and we were all just watching while one employee took his time cleaning a coffee machine. Not once did he think to say to the gathered crowd ""someone will be right over"".  Nope, just glanced at all of us and kept doing what he was doing. Three (3!!!) other CF employees were at the host stand behind us and did nothing.  It's fine if their position is to be at the host stand and not handle orders, but SAY SOMETHING and then GO GET SOMEONE.  I finally decided I would not be forking over $35-40 for this and left (FYI, Flour bakery is around the corner on Belvidere)."
Matt L.,"Manhattan, NY",109,419,338,4.0,8/23/2017,"3.5 stars, rounded up. IF you want to get to this Cheesecake Factory (CF), you should exit at the E line of the green at prudential, takes you right out to where CF is in the mall. This CF honestly has a great location, so you probably won't miss it. Ever since I came to America, I've been a huge fan of the Cheesecake factory, primarily because they serve almost everything possibly imaginable here. The second reason I love this place in general is because of the crazy high calorie dishes they serve here. Some dishes here regularly make the ""Dishes with the Highest Number of Calories by Chain Restaurant"" lists: for instance, the chicken and garlic farfalle (according to the menu) has 2190 calories in just one serving. It's amazing, and only appropriate for special occasions.  This particular CF is not much different from other locations. The waitstaff is fine, and generally friendly, and if i recall correctly, the food comes out blazingly fast. I will say however that it is a little bit too dimly lit here, and wish that they would improve the lighting if possible. However, if you need to scratch your CF itch, this is definitely a great option. ?"
Vivian C.,"Boston, MA",126,1439,14550,4.0,3/7/2017,"Chocolate Cake test complete, with the help of some friends... Black-Out Cake - Our Deepest, Richest, Chocolate Cake with Chocolate Chips, Finished with Almonds Linda's Fudge Cake - Layers of Rich Chocolate Cake and Fudge Frosting Chocolate Tower Truffle Cake - Layers and layers of Fudge Cake with Chocolate Truffle Cream and Chocolate Mousse Each one was a terrific chocolate cake.  The Black-Out Cake is their basic chocolate cake.  The Fudge Cake is extra moist and rich, while the Tower Truffle is a tad lighter with the layers of chocolate mousse.  So, go with your mood, and enjoy!  Perhaps with a glass of milk."
Emily H.,"Miami, FL",85,13,14,5.0,12/29/2017,"I love Cheesecake Factory, the food is always great no matter which one to go to. Chicken Madeira was delicious I can never finish a whole meal, also the bacon bacon burger was thick and tasty. We asked for it medium and it was at its point. Great food, great ambience, great service."
Brooke R.,"Minneapolis, MN",96,90,26,5.0,9/8/2017,"Cheesecake Factory chains are pretty standard, one of the reasons they're so popular is because it's reliable. But this one gets 5 stars from me because of Amus the server. 10/10 would recommend asking for a table in his section specifically!!  Also remember, MA doesn't allow for liquor discounts so happy hour is strictly food deals."
Rachel W.,"Boston, MA",100,75,17,3.0,10/29/2017,"I like to sit at the bar for a quick bite when I'm shopping at the Pru. Cheesecake is always great, service is friendly and quick, and the 600 calorie and under ""Skinny"" menu is great. It's a big chain, but the food is usually pretty great."
Thu N.,"Boston, MA",73,268,895,3.0,1/22/2017,"So just got back to this place twice recently bc a generous family member gave us a gift card. Both time we had not so good service. First time we came right before closing time, around 11:30 pm so I dont really want to blame the bad experience on anyone but us. But you should avoid going this time if you can. The waiter didnt give us bread, which I figured due to the closing of the bakery. However, he didnt mention or apologize about it. The main course was so so. For dessert, we asked for cheesecake and was informed that they were no whipped cream since they are closed. I said it's fine but somehow we ended up with whipped cream anyway. I discussed with my hubby to bring the cake home since I dont want to make the staff wait for us any longer. So when my husband told the waiter to just box the cake and get the check, he said he already ordered it to go (???) Again, It's midnight, I dont blame him but yeah this isnt the best time to visit. Not once our water was refilled. 2nd visit, we came on a Sat and waited for 40 + min. I never knew they can get so busy. I got the cabonara and it isnt one really. I'm not an Italian food expert but I know cabonara's sauce is made with cheese and eggs, but it was with cream. I was so white and wet that it's more like a alfredo sauce. It was still delicious but thats just misbranding. And again, no water was refilled. The waitress this time was nice though. On the plus side, the cheesecakes was delicious both time. The chocolate mousse (recommended by our first water) was a chocolate bomb, so yummy. The chocolate hazelnut crunch was so good as well."
Kurt K.,"Houston, TX",4,111,4,4.0,10/13/2017,We came here at the peak of lunchtime. Amazingly we had to wait just 5 minutes. After we have been seated the waiter came around quickly to take first our orders to drink. He gave us another minute to choose for the eating and we had not to wait longer than this. After we placed our orders we got the appetizers quite quickly. Very tasty and also nicely arranged. Good one. Talking about waiting time. After we had the drinks and the appetizers we started to wait. Longer than usual It was just about to take off a star when the main course arrived. And they were as we expected. Good taste and nicely displayed. So we give this place 4 stars because at the end we enjoyed our lunch here
