Username,location,friend_count,review_count,photo_count,rating,date,review
Sally H.,"Aurora, CO",126,102,281,1.0,5/19/2015,"This is my very first one star review.  When I started doing yelp reviews I vowed to myself that I would not rate a business one star.  The reason behind my thinking is I truly believe a bad review hurts a business; that is if the business serves its customers.  The Cheesecake Factory did not even serve my party.   The incidence occur earlier this evening when my family went out in celebration for my niece's graduation.  Since we knew that so many of us were to attend dinner we made a reservation two weeks prior for a large party of 25 at 6pm.  Part of the party arrived tremendously earlier to dinner and others trickled in before the reservation time.  Overall, we were all there before six.  Ten after six, we were told by the manager that they were waiting to set-up our table because the party before us were still lingering around.  We were also given the option to split our group into two for faster service, but we opted out because we wanted to celebrate this special occasion together as a family. Time passed by and we still were not seated.  We asked the front what was going on and was told we did not have a reservation.  We were simply put on the waiting list.  Meaning that we had to wait for the next available seatings.  However, here's the kicker, Cheesecake Factory had called the day before to confirm our reservation.  After the initial explanation of the delay in our table, we sat around for another forty-five minute to be told that we did not have a reservation and we had to wait longer to be seated.  That is simply ridiculous and I felt awful for my niece.  She absolutely loves this place and it was her choice to dine here. Luckily, we called a place near by and they were happy to take all of us in with such short notice.  This location puts a bad taste in my mouth."
Zach B.,"Golden, CO",0,1,,1.0,7/30/2017,"Sunday 7/30/17 I had one of the worst dining experiences I have ever experienced. After a 40 minute wait, which can be expected on a Sunday, we were buzzed on the clicker to return to the host stand. The hostess told us, as if it was our fault, that our table would be another 10 minutes. This is where we should have gotten the hint for what was in store. We were seated and not greeted for about 10 minutes. We ordered everything on the spot because we had been seated so long already. After 35 minutes our appetizers came. Another 20 minutes passed and our server came out to inform us the kitchen had run out of one of the meals we ordered (55 minutes after ordering). When the food finally arrived at 1hour and 10 minutes after being seated, one of the dishes was a completely different menu item. The worst part, was that the server defended a fried piece of chicken with mashed potatoes as a chicken pasta. Still no offer of a manager. Another 15 minutes passed and the final dish hit the table. After eating, we waited an additional 15 minutes before our server was seen again, who didn't offer us cheesecake at the the Cheesecake Factory. This is the point where I demanded a manager come to our table. Manager did what he could but we will not be returning. Literally wouldn't believe it if I hadn't experienced it. Honestly sad yelp makes me give them a star to write this review. 0/5."
David R.,"Denver, CO",0,52,,4.0,6/23/2016,Great value at lunch and great food!  The pizza crust was perfect!  Jalan did a fine job serving us and our two grandkids.
Gina C.,"Westminster, CO",5,9,4,1.0,6/26/2016,Just went for birthday dinner and as much as I love going to the Cheesecake Factory I was highly disappointed with the services given by our waiter. Not sure if he didn't feel like working tonight or was upset we sat in his section. I however will not be going back to this location. My food was warm not hot it took a long time for the food to make it to the table.  He was not attentive to the table at all. I could have told him about the food but he was no where to be found by then it was too late I started eating my warm/cold dinner. Which for 19-20 for a pasta it should be spectacular. It seemed as when we did ask the waiter for Something It was as we were bothering him. Also when they(my family) mentioned it was my birthday. The waiter had no interest in making it special or even saying oh well happy birthday. Overall just not good! Hopefully he gets a new job he can actually enjoy.
Scott L.,"Conroe, TX",130,497,1388,5.0,8/6/2015,"Returned to TCF to sit on the patio-café which has one of the better venues for people-watching on Pearl Street and took my own advice: just order cheesecake. This time the service was AMAZING. Our waitress, Mary, was extraordinarily attentive, and seemed genuinely concerned about our welfare as humans, not only as guests. TCF should clone this girl."
Kaitlin P.,"Louisville, CO",8,4,,1.0,8/31/2015,"This review is exclusive to their catering.  We had a prior catering option fall through the day of  a company lunch that day so I contacted Cheesecake Factory to see if they could help.  While they were able to come through for us last minute, I was not happy with the food brought to us: The person I spoke to that morning made recommendations based on the number of people we have so I ordered food based on those recommendations.  We could've gone with an order 1/2 the size and it still would've been more than enough.  I realize the portion sizes at CF are HUGE, but this was so over the top and it was a big inconvenience on what to do with the food afterwards.  We ordered basic pasta + salads.  The pastas were so over-salted, which prevented people from wanting the second/third helpings that I desperately needed to get rid of.  The salads were fine and of course the bread was amazing (that and the fact that they could help us out last minute are the only reason for the star). We regularly order food from businesses on Pearl St for employee meals.  Cheesecake Factory will not be a location we order from again."
Megan B.,"Santa Barbara, CA",111,7,,3.0,7/5/2015,"Just visited tonight for an early dinner with the family. First, let's state the obvious - this is a huge chain that serves a ton of people, so this is not a gourmet stop. However, there are a couple places where I think CF should get credit. First, this chain is incredibly consistent - hadn't been in years, and never to this location, but I ordered some old favorites and they were just as I remembered. Secondly, for the amount of food you get, the price is really decent.  That said, their food is prepared pretty heavily and can be too rich - I usually opt for a salad for that reason. Their luau salad is my favorite (rec dressing on the side), but I've enjoyed all the ones I've tried. Also, their avocado egg rolls are delicious, no getting around that. Some other favorites I remember are the stuffed chicken tortillas and cashew chicken. Their cheesecake can definitely be too rich/sweet. Tonight we tried the lemon raspberry, which was fairly light and rather tart - a nice change.  We were seated quickly by a friendly hostess, and the service was just fine. All in all, I'd go back again, especially if I needed a larger venue or was with picky eaters - there are so many options!"
Bernadette B.,"Chicago, IL",467,3,,5.0,10/14/2015,Matthew and the bakery were very nice. Mitch and mike were very helpful and swift on their feet ;)  SO WORTH IT!!!! Yummy
Brock P.,"Johnstown, CO",18,9,3,4.0,5/28/2016,"The shrimp and sausage pasta is fantastic!  And, of course the Original Cheesecake is amazing as always!!"
Ken C.,"Denver, CO",17,18,16,3.0,1/15/2014,"The Cheesecake Factory is always a nice option for semi-special occasions, like birthdays, get-togethers, highschool proms, etc. They are extremely popular, can accommodate large parties, and of course have those delicious cheesecakes.  But apparently being so popular doesn't mean the restaurant can handle the strain. We came on a Friday night, which was understandably busy. We were given a wait time of 15-20 minutes, but ended up waiting 30 with nary an apology. Okay, aggravating but no big deal.  Until we waited another 10 minutes before being greeted by our server. I noticed he had been triple seated so not his fault. He was brisk, efficient, and polite but so noticeably strained that I felt rushed for my order and fearful for his throbbing forehead vein.  The rest of the dinner was prolonged between each step with drinks, the meals coming out, and the check being settled. Our server did all he could, but I felt pretty bad for him.  Cheesecake Factory has a great set-up to be a default restaurant. The vast menu, fair prices, huge portions, and gimmicky dessert  shtick is a good formula to people please and make the restaurant an easy choice when the question is, ""Where do we want to go to celebrate something but don't want to look up a new place?"" Easy recipe for popularity.   But a corporate chain restaurant should have scheduling down pat. The staff seemed to know what they were doing but were hurried and kept looking at us like ""where did all these customers come from??"" Overstretched and it was obvious. Hopefully it was a one night fluke because the restaurant was on par with everything else as usual."
