Username,location,friend_count,review_count,photo_count,rating,date,review
Vivienne N.,"Boston, MA",12,22,6,1.0,6/2/2017,There were 2 flies in my water. We had to remind them to bring the bread and butter for us. We ordered the Newyork steak and they charged us for the more expensive Ribeye steak on the receipt. Totally unprofessional.
Kimberly A.,"Boston, MA",322,374,,5.0,3/8/2017,Just got back from having lunch there. I went with my usual chicken with biscuits and left the restaurant very satisfied. I didn't leave any room for cheesecake this time but I've had it there before and all varieties I've had so far have been great. I just found out there today that they're implementing this new thing where you have to ask for bread if you want it served to you. Because both myself and the table next to me hadn't been served bread yet and when we asked about it the waitress explained that the reason that the bread is no longer being served automatically is due to people with food allergies and from now on if a table wants bread they must now ask that it be served. This is a first for me because I've been there countless times in the past and have never had to ask for it. My guess is they may be trying to cut back on waste. Makes me wonder if I'll see this policy starting to trend at many of the various chains out there now. But very nice experience this afternoon and excellent food as usual.
Yuan X.,"Quincy, MA",3,1,,1.0,5/15/2017,"No refund uncooked angel hair, missing setting and menu..... over cooked steak... dirty forks..."
A. P.,"Aptos, CA",23,23,2,1.0,8/9/2017,"Last May, we went to a Cheese Cake Factory in San Diego twice for dinner while attending a conference.  We had delicious food and experienced prompt, courteous service. Because of this experience, we decided to have dinner at the Cheese Cake Factory while on a business trip to Braintree, MA.  The decor was exactly the same, but that's where the similarity ended.  This restaurant is so poorly managed and the servers are so overworked that, once we were seated, our server didn't appear at our table for 15 minutes.  She patiently explained the menu options and took our dinner orders.  A basket of bread was delivered, so we thought our dinners where right behind.  After waiting for another 45 minutes, we finally asked another server to check the status of our orders, but she never returned!  Frustrated, we left the restaurant hungry, disappointed, and very dissatisfied.  Obviously, not all Cheese Cake Factory restaurants are the same!  We'll never return!"
Steve F.,"Boston, MA",0,23,2,1.0,10/14/2017,"Avoid this location, very disappointed with the service. The food was ok. First Let me say that I have been to at least half a dozen cheesecake factories across the country and have had great experiences at all of them, except this one.  I visited this location 3 times in the last 2 months. I will never go back.  First visit, terrible service. Took 20 minutes to have our server take our drink order. When we said ""can we give you the whole order now?"" She said ""no, I'll have to come back for that"". We ordered two apps ahead of our meal. But our main courses arrived WITH our apps. Same time! We expressed our dismay and the waitress said ""do you want me to take your food back and keep it warm?""  Yeah, no thanks.  So we tried at again two weeks later. Better service but once again, apps came out with our main courses. We told the waitress that this happened to us 2 weeks earlier.   She alluded that it was a common problem.  Last week we said ""let's give it one more shot"". This time we sat at the bar. It was around 9pm on a Saturday. While the drinks came quick since we were at the bar (go figure) we waited 22 minutes to get BREAD (we timed it). Put in our app and dinner order and SPECIFICALLY SAID "" can you make sure our apps come out first?"" The waiter looked confused and said ""of course"". Low and behold, 20 minutes later another waitress shows up with a big tray with our apps AND dinners. At this point I was pissed. I said ""why does this ALWAYS happen here? Do you not understand what an appetizer is?, this happens here all the time"" her response was ""really? All the time?""  With a snotty tone. I asked to speak with a manager. Nobody ever showed up. Our original waiter came back and asked ""how is everything?""  I pointed to the apps on the table with our dinners and said ""what do you think?""  He looked surprised and apologized but made no offer to correct the situation.  So I am never giving this location another dollar again. Either their training is lacking or their is zero management oversight. But to screw up the simplest of tasks in large restaurant that often is completely unacceptable."
Sarah P.,"Hyde Park, MA",0,13,1,5.0,10/2/2017,I love Cheesecake Factory! The food is always good and the servers are always nice towards my husband and I.
Felicia S.,"Braintree, MA",2,41,111,2.0,11/29/2016,"This place has really gone down hill. The service is horrible. After waiting 45 minutes for a table, we finally sat down and had to wait another 15 minutes for a waitress to come over and take our drink and appetizer order. We asked for the lettuce wraps (which are AMAZING) but then had to wait another 45 minutes for those to come to us, when we put in our dinner order....hour and a half for our food to come out. I get it was busy and other tables were waiting long too but not this long.  I will deff only be ordering take out from here on out.  The foods still good but just not worth the time"
Mdog W.,"Boston, MA",0,16,1,2.0,10/15/2016,"Came here at lunch time with 2 teenage children 15 and 16 after being at hospital. Wanted quiet family conversation. Unfortunately we were ""profiled"" and sat in a section with screaming toddlers and babies. At one point a bowl was thrown through the air and just disintegrated on the floor next to us. I was appalled to be sat in a 6 table cordoned off corner that represented a very badly run day care.  Food was as expected. You know what you're getting, frozen perfected, chain recipe. Fried appetizers were good because they were fried. Burger is average, eggplant Parmesan is average, chicken Madeira is very good however. I think that's one of their few staple items that remain popular. The dessert was like a top of a wedding cake you take out of your freezer a year later.   Which was surprising and disappointing. However the number 1 most mind blowing thing about this surreal experience was the check included a suggested gratuity. As if the waitstaff weren't affected and arrogant enough they have the audacity to list a suggested gratuity on your check. If this is a corporate suggestion I suggest the Cheesecake Factory reels it in."
Samantha G.,"Scituate, MA",280,61,508,5.0,2/13/2016,"Cheesecake Factory is the best! Everything on the menu is delicious. The menu is more like a novel; so many options from drinks to entrees and appetizers and of course, dessert! Any time is the perfect time for this restaurant. Just this year alone, I went for my birthday, New Year's Eve, and to celebrate my first year in college.  My favorite items here are the orange chicken with white rice plate, the tropical iced tea, the Godiva cheesecake, the strawberry shortcake dessert, and the salted caramel cheesecake. Side note, the bread and butter there is always warm and fluffy. The brown bread is my favorite.  Happy service, great food, great atmosphere. Definitely go here!"
Mark P.,"Braintree, MA",0,10,2,1.0,8/3/2016,"This was one of my favorite places to eat but it has gone done hill for past several years. The quality of the foods that they serve is horrible. Soups served cold and salty. Salads drenched in dressing. Meat balls in pasta were raw in the center. Simple chicken salad sandwich took 45 min because the bread was not ready. And many more issues with our food at different occasions. The server who brought out the foods were poorly trained. Fingers all over the dishes or bowl.  The cleanliness of the place has declined over the years. The floors are greasy and filthy. How many times can the managers apologize?  I hope management reevaluate their food quality control and service. Proper training of kitchen staff and severs is needed at this restaurant in Braintree, MA. Corporate need to visit the place before it is too late!"
