Username,location,friend_count,review_count,photo_count,rating,date,review
Sam S.,"Waltham, MA",0,22,,5.0,1/5/2017,I've been going to this location for well over 8 years and yet the experience of having a meal at this location becomes even more enjoyable. Servers takes great care of their customers and food is always delicious !
Sean C.,"Groton, MA",1,28,2,3.0,1/10/2017,"The food is ok. The restaurant is practically one big room with everything in it. The food is average, a little costly. I, however, was not impressed with their signature item- the cheesecake. Mind you, I'm not a cheesecake junky and don't like 10 varieties, I went for the simple one with strawberries(the one it said put them on the map)...........um, what's so good about it. I could barely even taste it- it so bland, Joe's American Bar cheesecake is much better. So is Capital Grill's, and though it's 10 dollars I would have gotten it instead. Maybe they should start making it like theirs."
Shar B.,"Dorchester, Boston, MA",2,4,,5.0,2/18/2016,I only give 5 stars for Thalia! I gotta say there isn't anything better than a great server when you go out. It just makes everything so much more pleasant. The food was good! We are very picky and she made everything happen without looking annoyed. She was awesome! She made sure everything was on point! We went back a 2 weeks later the calamari was burnt (so dry)! The waiter never came back to check on us so we couldn't let him know until our food came. We kept trying to flag him down but he kept running past us without looking our way. We weren't too happy about that. Our food came...one of the plates the mushrooms were so burnt and dried out. We just sucked it up and didn't say anything. We left very unhappy. And the drinks were watered down! Just upset because we know what to expect and our second visit was horrible.
Laura B.,"Londonderry, NH",0,34,2,5.0,2/10/2016,"A great restaurant for any taste pallet. Went here on MLK Day and it was packed. The wait wasn't too bad. Server and other staff seem well trained. The menu is very large but I ended up getting pizza and my husband had a burger. Both were delicious and cooked exactly as expected. The Reece's peanut butter and red velvet cheesecakes were huge, tastey, and well worth the price. If I'm in the area again I will definitely go back. It's well worth it."
Rebecca S.,"Andover, MA",22,34,10,4.0,6/12/2016,"Very loud, but comfortable environment.  The menu is ridiculously extensive.  The food is expensive, but the portions are large.  We had two super tasty apps, the fried zucchini and the tex mex egg rolls.  I have had the avocado egg rolls before and they are tasty too.  My boyfriend had a massive burrito he was quite happy with and I had fish tacos that were overstuffed and impractical to eat, but super tasty.  The cocktails are pricey but good.  The desserts are crave worthy."
Benjamin E.,"Brookline, MA",12,67,33,3.0,9/19/2014,"This location is the most convenient one for me  because it is so much easier to get to since it is right off of RT128.  Like all the other locations, it's got that nice decor with the high ceiling and very friendly and responsive staff in their white uniforms.  The food is good and the menu has a lot of options to chose from, but I have noticed that the portions have become much small than before and the prices are still the same.   The drinks are very good, the bartenders are knowledgeable and they have a very good selection of spirits.  They also have a seasonal on tap all the time. All in all a very nice place to come to for lunch or dinner."
C T.,"Tewksbury, MA",16,11,9,3.0,1/21/2016,"I have never been a huge fan of the cheesecake factory. The menu is huge, with endless options, and portion sizes to match! But I generally I found the food to be mediocre. Just recently realized they do breakfast all day, and I had a wonderful omelette! The drinks, although delicious, are very pricey considering the venue. Most recently I visited because I received a gift card, and was pleasantly surprised to have Fahid as our waiter. He was fantastic! Extremely attentive, polite, helpful, and a delight to talk to. It may be worth visiting just in case you're lucky enough to sit in Fahid's section!"
Joe L.,"Billerica, MA",1,59,,2.0,2/12/2016,"1st time at the Cheesecake Factory and i was not impressed. The restaurant is very loud, between the loud music playing over the speakers, and the  high ceilings which are terrible for acoustics. I'm also not a fan of the tables being side by side so you can reach out and taste your unknown neighbors food, seperate tables or all booths please. Now the food. We started with potstickers and Mac and cheese balls. Cheese balls were very good. I had the steak tacos, the shells for the tacos, terrible, but the steak was tasty. I also tried the monster burrito, not to bad. The cheesecake we had for dessert was ok. Would not attend this establishment again, just was not impressed for the $$ we spent. Oh one thing I do want to mention, our server, Thallia, was fantastic, very attentive, great personality and on top of everything. A plus to her."
Tanya B.,"Boston, MA",1,5,,2.0,11/29/2016,"The food is great here (pretty much the same at all Cheesecake's), but my god - the service. I came here on a Tuesday night for a celebratory dinner for a friend's anniversary. We were told the wait time was an hour - after an hour, that wait time was extended at least another 35 minutes.  Our waiter - I wish I caught his name, but very rude. As we were ordering, he kept on yelling that he could not hear a thing. How can we hear all of our orders, but you can't? Instead of leaning in closer, he made us practically yell out our orders to him. He did this every single time, when ordering both drinks & food. When my brother ordered his meal of Baja Tacos and a side of fries, the waiter said verbatim: ""Are you sure you want the fries as well? The Baja tacos are the biggest item on the menu."" When my sister asked for basil in her Farfalle w/ chicken and roasted garlic pasta, he said, ""Adding basil to the pasta won't make it taste good - some dishes aren't meant for it."" and insisted she should order something else. If someone wants basil, and you can do it, I wouldn't recommend arguing against it. An older lady at the table only ordered sweet potato fries - she received it at the very end after we asked for the check. The fries were taken off the bill, but still unacceptable.  If the service was better, this would have been an enjoyable experience."
David A.,"Chicago, IL",26,61,47,2.0,1/23/2015,"This was a tad disappointing.  I didn't get my usual burgers and southwest eggrolls, which are almost always 4 stars.  Instead I got a Chicken BLT and my wife got fish tacos. Her tacos were the tempura fried ones.  They weren't that good for a few reasons: 1. No seasoning/salt added 2. Bones still in fish 3. The accouterments were....just there, not particularly good My Chicken BLT was blah! 1. Absolutely no seasoning or salt added.  It was painful, very bleh. The good news is the service was good, we also got a cheesecake, which gets 4 stars, each, but you go there to eat a meal, and the meal was sub-standard"
