Username,location,friend_count,review_count,photo_count,rating,date,review
Krystal W.,"Granada Hills, CA",143,2,,1.0,12/13/2017,I'm here now eating really over it and don't want to be here. I guess I look young but I'm 26 years old and they are really giving me a hard time just to order a drink. I sat down and wanted to order happy hour at the main dining but got up to get my drink but the bar and they came over to stop me and said I cannot buy a drink if I'm sitting else where. Okay I'm sorry didn't know I was being that inconsiderate. The manager Justin is very quick to end the conversation not giving me good hospitality only reason why I'm here because my little brother wanted to eat here so bad and shop at the Topanga mall but this will be the last time I come here. And to think I'm a server myself this is the service they give. My server was Sam
Nanci W.,"Los Angeles, CA",36,13,7,1.0,8/24/2017,"This was the worst night. First of all the manager on duty was rude and disrespectful. There were 12 people in our party. The table was to small so we called over the manager and said we need another table. She got bent out of shape rolled her eyes and said ""WELL"" guess I will have to get you a table from out side. True unless you want us to sit on the floor. Took for ever to get our food . The waitress tried but she was the only one in our section. By the time the food came it was cold.  I have been going to the Cheese Cake factory for years, and this will be my last time. I was contacted by Cheese Cake factory to go on there website and they would call me. Update no call no email. Guess they just want you to think they care"
Angie D.,"Los Angeles, CA",171,24,3,5.0,1/2/2018,"Stacey is the best server! She kept our water filled, checked on us frequently and she is so friendly and helpful. The chicken piccata and Renee's special were delicious!"
J P.,"Calabasas, CA",8,196,218,5.0,5/1/2017,"This location always gets it right! The wait staff, the food and drinks, the deserts!!! The restaurant is always clean and bright. It dose get very busy during peak hours but it's well worth the wait. Call ahead and place your order then pick it up and pay at curbside!!! Life long customer I highly recommend the Chinese Chicken Salad. Enjoy!"
Ambrose N.,"Los Angeles, CA",38,4,1,1.0,10/7/2017,Very disappointed! At first I was like it is understandable but then it kept getting worse!. The service was really slow and it took more than half an hour to get our food out . We asked for more wheat bread and the host bought it out for us with his BARE hands . Who knows what he touched before that!! Very unsanitary! I am very disappointed and displeased ! Used to go all the time but I'm starting to rethink about it !
David K.,"Los Angeles, CA",34,200,7,1.0,3/21/2017,"Had a rude waiter once, and the food is generally bad. It was really awful on one occasion, I would have complained, but I was with friends.  Cakes are way too rich and sugary. Pretty much every entree on the menu is a worse version of something that can be got at some other nearby place that specializes in whatever that may be, and for less money. A slightly more upscale Chili's. Not a compliment. At least Chili's is cheap!"
Brianna T.,"Santa Clarita, CA",5,9,,2.0,8/9/2017,"The Cheesecake Factory is usually one of my favorite places to dine and is the first place my family votes on for dinner; however, my parents just moved to this area and this location is now axed from our list.  We had a party of 7 on Sunday 8/6 and these are my complaints:  1. The table we were seated at was not cleaned well, if it at all. There was 4 forks under the table I stepped on, and shredded cheese on the table and the menu. There is so many employees working here that I could hardly get back to my seat after my bathroom visit.... but they don't have one to ensure tables are clean?  2. The bathroom. There was literally s____t on the seat of the toilet. Like all over it! 3. They brought my sister the wrong food. Once they did bring her correct dinner (30 minutes later) we were all finished.  4. They didn't even offer to comp her meal or discount anything on the menu for their mistake. Like, cmon. 30 minutes! Your mistake! DO SOMETHING."
Pas I.,"Inglewood, CA",104,39,43,4.0,8/16/2017,It's all about the cheesecake baby.  Red Velvet Cheesecake. Oreo Cheesecake . 30th Anniversary Chocolate Cheesecake. Carmel Turtle Cheesecake. Snicker Cheesecake. Key Lime Cheesecake. Vanilla Bean Cheesecake. Carrot Cake Cheesecake.  The food? Meh.
Michael D.,"Santa Clarita, CA",2152,1759,2038,3.0,6/20/2017,"Good experience. Had a quick lunch with the family here but the experience isn't what it used to be. The servers were working frantically and it just made it a bit uncomfortable. Lunch here seems to be high traffic and very loud. The food was good and the server was great too, just felt the overall experience wasn't the usual Cheesecake feel."
Laura Z.,"Arleta, CA",502,277,718,4.0,12/17/2016,First time at this location. It was a very lovely experience.  SERVICE- 4 STARS  Our waitress was super nice. She was very accommodating and very quick with our drinks and requests.  LOCATION-4 STARS It's in the mall and sort of outside of that makes sense. You can come eat and then walk off all the calories after.  AMBIANCE- 5 STARS  I  came during the week so it was fairly quiet and slow so I absolutely loved it.  FOOD- 4 STARS  You can never really go wrong at The Cheesecake Factory. The prices are low and the plates are huge!!!! I mean HUGE! Here's what we tried at this location.  EGGPLANT PARMESAN- 4 STARS: it comes with 4 eggplant patties deep fried with tomato sauce and Parmesan cheese melted on it. So filling and go good. I was only able to eat 1.5 patties
