Username,location,friend_count,review_count,photo_count,rating,date,review
Scott H.,"Los Angeles, CA",0,8,,5.0,7/23/2015,"Giving this a 5 star rating because of the way they handled a situation. The poor waiter accidentally dropped 2 full glasses of strawberry lemonade on the table and into my lap. He was so apologetic and concerned he went over board trying to make up for his accident. The assistant manager and manager came over and tried to help. The whole team took what could have been a terrible experience and made me feel like they really cared. It's easy to do good when everything goes right, what really matters is how you perform when things go wrong. They did an excellent job and I commend them for it."
Setareh G.,"Calabasas, CA",91,14,2,1.0,6/8/2015,"So I'm one of the Cheesecake Factory fans all the time for all the occasions but our last visit to the Topanga one really disappointed me for several reasons. First of all we were 4 people celebrating my brother and my friend's Birthday, when sat down waiting for our servers my cousin noticed that the small plate in front of him is dirty and when he lifted the plate underneath the plate was super dirty, like cheesecake piece. Yuck! Secondly, we ordered our food and by a huge MISFORTUNE I found a hair in my mash potato. Yuck! My brother ordered Shrimp scampi plus steak. They brought the wrong food( a Salmon)  for him and afterwards our server apologized she changed his food but with only the steak on the plate and she said the shrimp is coming up! And she brought the shrimp almost when my brother finished his steak! Anyway, the manger came over by our table and apologized for the hair in my food, however they still set us a bill, minus my food! Our experience was horrible and I'm not sure if I ever come back to this place."
Anton N.,"Encino, Los Angeles, CA",22,128,92,5.0,2/3/2014,"My girlfriend and I came here at about 11:10 am. The staff was very friendly and visited our table every 10 mins. Since its not that busy we got our food within minutes as well. I ordered the fettucini alfredo pasta with parmesan chicken. It was the best pasta by far! Since it was launch the prices were extremely cheap, the total for the check came out to $28. The seatings are nice and cozy!"
Rob S.,"Sherman Oaks, CA",10,54,1,4.0,2/9/2014,"Wonderful server and hostess, a party of four at lunch time. The waitress was super diligent, yet when we were talking she was gone. The food was prepared well, listen for what it is a chain restaurant in a mall overall it was pretty good."
Stef S.,"New York, NY",123,724,4,4.0,12/5/2009,"I like cheesecake factory. Good food and good service. I love the whole wheat/rye (?) dinner rolls they bring out. Unfortunately, as a health nut, I sometimes find the food too rich (salty!! greasy!!) and the drinks and cheesecakes too sweet (mmm strawberry lemonade is perfect if you cut it in half and add water to it). But I do love being able to read the nutritional values now.  My favorites? Boston House salad (appetizer size is plenty) Chicken Madeira Crusted Chicken Romano Louisiana styled pasta Farfalle with peas  Personally, the cheesecakes for which they are famous aren't good. I prefer new york style.... a bit cheesier and denser. Theirs are just too sweet and overwhelming, and I can only have two bites. Although... I do like the new Stefanie's red velvet cheesecake. Nice balance of moist cake and cheesecake."
Mar L.,"Los Angeles, CA",69,66,100,3.0,7/3/2011,This place would have gotten a two-star rating if not for the quick save by a very attentive waiter. Came here with a party of 3 on a Saturday evening around 9:30PM. Waited for about 15 minutes for a table. The hostess called us and led us to our table - which sits only 2??? Isn't she paying attention? We pointed out her error that there were 3 of us. We were found a table that seats all of us but I asked if it was possible if we could have a booth instead. There were several open booth but instead she said that we would have to go back to the front desk and ask the lady if we could switch table. Huh??? Luckily a waiter passing by intervened and said that yes they could seat us in a booth (which was just right across our table). He was our waiter for the rest of the evening and he made our dining experience much more pleasant. Our waiter was very attentive to our needs without being overbearing. I had the porkchop with spinach & mash potatoes. My gf had her alfredo chicken fettucine and her daughter had the miso salmon. All were cooked to our liking. A pleasant dinner experience all thanks to that waiter.
Stacy W.,"Canoga Park, CA",10,82,8,4.0,10/24/2013,The avocado egg rolls are delicious! Try and you'll want them every time you go!
Patty G.,"WINNETKA, CA",86,233,28,5.0,1/30/2014,Oh how I miss the canoga location so much more!!! But I absolutely love the Cheesecake Factory. Avacado egg rolls and the calamari are so good!! And I find myself always ordering a peach Bellini and some pasta do Vinci!! And has anyone tried the s'mores cheesecake yet?!? It is sooooo delicious!!!
Cassie C.,"Los Angeles, CA",63,44,166,4.0,1/29/2014,Love the new place. Service is great. Food is awesome! Parking is difficult.  Valet is $7 a bit pricy if you ask me. Expect to have to park far away.
Jamie B.,"Woodland Hills, CA",77,101,45,4.0,12/24/2013,"Went about a week ago. I'm only giving it 4 stars because it took about 40min for me to get a seat at the bar and I arrived at about 445p and the whole bar area is not open seating. But once I got seated it was fantastic which I expect no less from The CheeseCake Factory. I never get bad service or bad food from here. my entree is normally the Cajun Pasta with shrimp and chicken. Always delicious! This is a newer location which I wasn't aware of since I went to the old location and sat there for a minute looking stupid not realizing they had moved. I'm new to California so I go by my trusty Google Map app which didn't give me the new location at that time. but oh well, once I DID find it, I was happy as a lark! lol. :))"
