Username,location,friend_count,review_count,photo_count,rating,date,review
Farmer 2.,"Phoenix, AZ",0,3,,5.0,8/14/2016,"Sunday at 2:00 pm my wife and I split French country salad and steak Diane, which we often do at this location.  The restaurant was busy but the greeting and the service (Rebecca was our server) was friendly and professional.  Bread came promptly as requested (we requested only dark bread).  Bread was fresh. The French country salad tasted excellent as usual. However, it was supposed to contain grilled asparagus, which was missing.  The steak Diane was delicious with an ample serving and prepared exactly as I ordered it, medium.  The mashed potatoes were real and excellent.  For dessert we order Linda's Chocolate Cake.  Excellent!  Server, Rebecca, made sure we had extra plates for sharing the meal.  Overall an excellent experience."
Christopher S.,"Tempe, AZ",0,3,,1.0,1/30/2017,"So I ordered take out 3 different times and every single time they screwed it up. 1st time I got there and only 1/2 my order was ready because they forget to make an entree so I waited in the lobby for thirty minutes until it was ready while my other food sat and got cold. 2nd time they completely forgot to pack one of my entrees and made my other entree completely wrong. 3rd time it was my wife's birthday and we got take out with a piece  of cheesecake as well  of course they forgot to pack the cheesecake even though the guy told me it was in there. I called the manager when I got home and you could tell he could care less as he asked me my name four times yet I told him it numerous times when he first got on the phone. ""Great"" listening skills. Obviously he does not care about his job or the service his employees are providing. I would not recommend ordering take out orders here."
Bryan M.,"Arcadia, CA",604,444,1356,5.0,8/4/2014,"Haven't been to Cheesecake Factory in a minute... Flew into Arizona Friday and had dinner here. Well more like i had ""appetizers"" here cause i wasn't too hungry because i ate at the airport before i left. I would have rated this place 4 stars had it have not been for our friendly server Hallie. Nothing like a server that knows what they're doing :) She's a keeper!"
Brigette R.,"Fairfax, VA",112,296,4196,2.0,2/12/2013,"Good service but poor food Chicken teriyaki was pink on inside, they baked bananas instead of using plantains. Plain white rice and too much teriyaki sauce. The only reason I'm giving this review 2 stars is because we sat in a nice outdoor area, next to a water fountain under ceiling heaters."
Gavin A.,"Chandler, AZ",3,11,8,5.0,7/24/2016,Let's just start off service is always great I've been coming to this cheesecake factory since it opened back in 2000's it's always friendly staff and hot food The only thing I'm a little disappointed some time bathroom is dirty and no soap I've let the staff know they been on top of it but  I think they should check their bathroom more often that's the only thing I would say bad about my local Cheesecake Factory
Evie H.,"Tempe, AZ",0,3,,5.0,8/6/2016,"I went into the Cheesecake Factory and was very skeptical. I had never been and had no idea if it was going to be worth while or not. I sat down and had dinner with my husband and was pleasantly surprised. I liked the food but the best part about our experience was our server. Monica was not only extremely knowledgeable about the menu but also attentive and funny!!! My husband and I both laughed, ate and had a great time. I would come back here for her if nothing else! We had a blast."
Marilyn R.,"Gilbert, AZ",30,6,,2.0,2/2/2017,"We had a gift card from Christmas and decided to go on a Saturday. The ""small bites"" appetizer, PORTABELLA, AVOCADO, ZUCCHINI FRIES came out and were so delicious. Here is our complaint. What happened to our server after the food came out?  She was not to be found. We wanted our check, a to go container, and had ordered cheesecake to go at the end of our meal. She forgot about our previously ordered cheesecake and when she finally brought it, we had been waiting 20 min at this point. Not everybody that goes out to eat wants to be there for over 2 hours. The waitress had a lame made up excuse that the dessert counter was backed up. What a lie as we could see it from our table and it was dead. She just waited so long to go over to get it. She never refilled our drinks. The actual cheesecake I ate at home, ""chocolate chip cookie dough"" was tasteless and dry. Maybe I should have given 1 star but I do love the Asian chicken salad and my husband enjoyed his filet mignon. Eating out shouldn't be such a pain. The acoustics are also bad. We were near a screaming, crying toddler who was out clearly too late. This gave me a headache.  We left at about 945 pm and now had missed the movie we had planned to see."
Candy M.,"Chandler, AZ",2,37,1,2.0,11/6/2016,5 of us came to CF for my daughter's bday.  I just have to say I'm so not impressed with this restaurant anymore.  Way overpriced for a absolutely tasteless entree...supposed to be a basil chicken dish with basil pasta.  There was NO basil pasta and a couple of pieces of basil in the garnish.  It was tasteless and lifeless. Then they are so cheap that they can't even give a slice of cheesecake for the bday girl...it was literally a half of a scoop of ice cream and two tablespoons of whipped cream.  We'll definitely pick somewhere that appreciates the business more for our next celebration.
Brett B.,"Scottsdale, AZ",3414,423,1422,4.0,7/16/2012,"Still impressed by their avocado egg rolls, and the accompanying dipping sauce (cilantro, honey, lime, garlic, etc) was tap dancing all over my taste buds.  I'd love to have my wife replicate that so we can test out what other foods it would accommodate. What I wasn't impressed with was their herb-crusted salmon salad.  Maybe it was the word 'crusted' that got me, but I was assuming the fish was going to be served warm.  Surprise!  It was cold.  I choked down as much as I could, but will be going to Pita Jungle and Keegan's for my salmon salads from now on. And I cant say enough about their pina colada cake cheesecake.  A true taste of the islands, part cake, part cheesecake, all yummy.  The only things missing were the fire dancers and hula girls. They do take reservations... for parties of 20 or more."
Dan W.,"Gilbert, AZ",19,54,71,5.0,7/11/2014,"Love this place. Friday night dinner rush packed and we barely waited twenty minutes for a table. The host staff was a well oiled machine.  Pot stickers as usual for an app and jen order the Ahi Tuna Roll. Be forewarned its fried so the meat is cooked. It's was ok.  Can't not order my chicken Madeira and luckily enough they have a combo with it so I could also try the Steak Diane. I'm temporarily against trying new food items after a bad bad experience at one of my favorite places to eat when I tried something new. Jen ordered a combo too with the Steak Diane and Herb Crusted Salmon. Diane was a little so bland for me but I ate some and Jen's cat will be in heaven with the rest. The chicken barely hit the table and it was gone. Yummy!  Jen said hers was good. Her salmon was a little overcooked but that she would get it again because the lemon sauce was really really good.  I am full so it's going to be blueberry cheesecake to go. I want to finish by saying our server was awesome. Timing was perfect for delivery on food and drinks, and thus the five stars. Customer service can make or break a business regardless of the product or cost. Regardless of the business you are in, this is a universal truth. Her name was Natalie P."
