Username,location,friend_count,review_count,photo_count,rating,date,review
Carlos H.,"Chula Vista, CA",1,43,29,3.0,3/1/2015,"When you call for take-out food, the lady sounds dis-organized or busy and made some mistakes in my order. Food is good if they don't make mistakes taking the order."
John S.,"Chula Vista, CA",41,7,,3.0,12/22/2013,"My wife and I are regulars here due to it's proximity to our home and it's late hours. Unfortunately, both the food and service is hit and miss. I have had great meals and the very next time have everything completely horrific. I have had wonderful waiters and waitresses and I have had servers not check on us for 20+ minutes, forget to bring bread, take their break in the booth behind us without anyone else covering. So what does it tell me? Poor management and inconsistent service. It's too bad, because it has the capacity to be a very good restaurant. So if you decide to go there, you'd better hope for one of the good servers, and hopefully the good chef is on that night."
Jessica J.,"San Diego, CA",23,21,6,1.0,8/1/2012,"Waited 10 minutes, no bread. No silverware, what am I suppose to spread the butter with.... My finger?? Lunch pizza was awful... One side of the crust burnt and other side was uncooked. They forgot my salad and it took them another 10 minutes to bring it out. They're specialty must be sandwiches (besides cheesecake) since that seems to be the only thing they got right. Asked for dessert... another FAIL!!!  And did I mention this was during lunch time on a Monday... restaurant was fairly empty and a full staff.  What were they all doing?"
Jenna G.,"San Diego, CA",23,81,1,3.0,12/14/2010,"Went here with my family for a last minute dinner date.  As expected, the menu is enormous, so hard to choose just one thing!  We ordered a bottle of wine while we were looking at the menus.  The wine took quite some time to bring out, no big deal.  The servers delivered the bottle, but then seemed to disappear, never coming to check on our waters, or see if we wanted more drinks or wine. Everyone was happy with their meals, I would just recommend the service step up a notch."
Renee R.,"Spring Valley, CA",0,45,5,1.0,1/18/2016,"This was my first time at this location and probably my last. Hubby and I came here to check the place out because next month we are treating a friend for her birthday and wanted to see if this would be a good place to go. We came here Sunday around 3:30 pm. Before we got seated, I used the restroom, and had to complain to the desk that the restroom needed attending to. It was filthy! I use a walker, and had to maneuver through paper towels that were strewn all over the floor Waited 10 min. for a table, was seated, waited another 20 min. to have our order taken, I asked for water ( I was informed that they don't serve straws with their water and was asked if I wanted one, I said Yes, and never got it. No biggie) I ordered a Grilled Chicken Avocado Club sandwich and sweet potato fries ($1 extra). Hubby ordered Roasted Turkey Sandwich and fries. We waited over 30 min. for our food. The place was pretty packed and all around us were tables of 4-13 people, so I knew it would be a wait. When our food finally came, my sandwich was cut in half, piled with thick cut tomatoes-3 halves on EACH half of sandwich! There was 1 tiny piece of HARD bacon on each sandwich, a smear of avocado, and a piece of cold chicken ,which had NO GRILL MARKS ( thought it was a ""GRILLED CHICKEN SANDWICH""?) and the meat on each was the size of a 50 cent piece! The sweet potato fries were barely warm, and tasted like they had been microwave re-heated, and the plate was scalding hot! Hubby said his fries were barely warm too. The only good thing was the cheesecake. We ordered the Hershey's cheesecake and split it. I didn't bother complaining because they were so busy, and we had already spent 2 hours there, and had had enough. I was really disappointed. Guess we will find somewhere else to take our friend to for her birthday.  :("
Ryan H.,"Redlands, CA",43,46,70,4.0,4/17/2011,"Me and my wife really enjoy this place. It is so nice inside and they have a great menu and a really nice bar.  We both love the miso salmon and steak diane. The mashed potatoes that come with the steak diane are amazing. Also, service is usually excellent.  Can't go wrong with Cheesecake Factory."
Mau L.,"San Diego, CA",114,123,69,5.0,4/14/2011,"Happy hour prices are awesome. I always order 3 dishes from the Small Plates section and my bill is never more than $20.  Small Plates are perfect portion sizes before going to the movies. I just wished they also served red velvet cupcakes, not the cheesecake red velvet hybrid. I walk to B&N to buy a red velvet cupcake."
Samantha H.,"Lakewood, CA",1,5,,2.0,7/24/2014,"Came here before and service was terrible, thought to give it another go. Sadly still lacking. Who ever is training these servers must be at fault. Our server was polite and kind but completely oblivious to the tables trying to flag her down. It was laughable how oblivious she was. Not to mention that the burger I ordered had non of the exceptions I asked for no mayo and no onions isn't that complicated."
Antonio H.,"San Diego, CA",2,2,,5.0,1/20/2013,"My first time to the restaurant was unforgettable: It was the 3rd of January, my 1st San Diego trip of the year. The decor was like the inside of a palace. It was lunchtime, I had the Mac & cheese burger. It was delicious. But the piece of resistance was the Fresh Banana Cream Cheesecake, a cheesecake to die for. That experience has made me decide I wanna live near there when I get my 1st San Diego home & visit the restaurant at every chance I get. You should too, you'll be thankful."
Angel C.,"Honolulu, HI",90,222,265,4.0,2/1/2009,"I've eaten at Cheesecake Factory one too many times thanks to family or friends..though I'm not complaining. My last visit was a week ago for my birthday. Here are the dishes I'd recommend: Miso Salmon - The flavor and texture of the salmon was just right with that miso sauce..mmm. I loved how the salmon sat on a bed of rice cooked just right. The four snap peas served as nice garnish and an extra crunch. Chicken Bellagio - This dish is best if you're not on a diet. It's part of their limited-time menu, so order it while you can. The dish is basically two breaded chicken breasts, topped with prosciutto (Italian ham) and arugula. All of this sits on a small bed of spaghettini and some sort of cream sauce. Chicken and Shrimp Gumbo - Filling and comforting, period. Other notes: I'm a huge fan of pasta, but I'm not fond of CF's pasta dishes, besides the Chicken Bellagio. I'll order their smoothies only if I feel like splurging since they're a bit pricey. One of the servers named Josh still works here, and he is as friendly and prompt as ever. Overall, I love CF!"
