Username,location,friend_count,review_count,photo_count,rating,date,review
Delvin D.,"Columbia, MD",0,11,15,5.0,12/8/2017,"Not the best place to work, but who is reading for that? The food is excellent (made from scratch). The scenery is spectacular. The servers are thoroughly trained. The waits can be long, but people will wait for good food and service. I've always found it worth the wait. A slice of cheesecake is pricey, but people will pay for it, as do I. I'm not generally a fan of corporate restaurants, but this is my favorite place to eat."
Taahine M.,"Kapolei, HI",0,1,,2.0,12/3/2017,"Came here last night with family (party of 5) after my sister's graduation ceremony in Baltimore... Very busy night and because they don't do reservations, the wait was super long - about an hr and 5-10 min before we were finally seated. We ordered appetizers as we were drinking while the other 2 in our party ordered entrees -- ** Egg roll sampler -- this we loved! Delicious and flavorful!! ** Salmon Rolls -- it was alright though I feel it could be better. The salmon was dry and a little bland. ** Buffalo Chicken wings -- good! I ordered this without the sauce because I was craving fried chicken wings and this was pretty straightforward - juicy, flavorful and good! ** Dynamite shrimp -- this was NOT good!! Shrimp was overly breaded, no flavor and there was nothing dynamite about the sauce at all!! ** Grilled Steak Medallions (ordered to be shared as appetizer) -- I was kind of iffy about ordering steak here and the rest of the party advised I shouldn't  since its not a streak place but I went ahead and ordered it since I was craving steak. I ordered the steak medium rare but when they brought it out it was from medium to mostly well done (not happy about that). The flavor was OK but upset about how the steak was cooked (not medium rare)! Should've listened to everyone! ** Country Salad -- Good salad!! Didn't taste the entrees of the other 2 in the party so won't add those to the review... My final take on here -- food was sub par, mediocre (not including the desserts). Not worth the pricing or the wait. Service was just okay though I do understand that this was a very busy night and the servers may have been a little stressed with all the pressure. Believe the hype when it comes to the desserts but regarding the food -- don't believe the hype!!!"
Tri L.,"Columbia, MD",241,78,614,4.0,11/17/2017,"This is our (my girlfriend and I) go-to place whenever we're uncertain or undecided about to eat. It's close to where we live and it's conveniently located in the Columbia Mall. We often go to the mall before or after coming here. The Cheesecake Factory offers a huge selection of entrees and delicious desserts. The variety of entrees is expansive, with options that are American, Chinese, Indian, Seafood, and many other types. Absolutely have to try out their cheesecakes, it's in their name! Sometimes we'll be in the mood for something light and healthy(-ish), sometimes we'll be in the mood for something heavy and filling, and we'll often be satisfied with our options here. The food is decent but not stunning. Portion size is very generous and many times I have to bring home leftovers. They also offer good, warm bread as an opener. Some personal favorites include: Fried Cheese, Louisiana Chicken Pasta, and Tomato Basil Pasta with Chicken.  Service is usually good but sometimes is lacking. Usually we have waiters who are very friendly and attentive but other times we barely see them. The wait time can get long if you show up during prime hours (6-7:30PM). There's plenty of parking space. If you're looking for a decent place with a lot of options, you can't go wrong here."
Brandon S.,"Essex, MD",26,157,153,3.0,12/23/2017,"Another dark dinning experience with mediocre food at a Cheesecake Factory. Not horrible, but just not great. Sure, it's in the heart of Columbia, it's during the Christmas season so parking is nuts but the staff is friendly. If you live in a cave, you'll feel right at home in the very dim interior. I had to pull out my phone and use it as a flashlight to see the menu clearly. Food is priced higher than its quality but it's not terrible. For a family of 4, look to spend about $75. Wouldn't recommend but also would advise to run away from."
Renu O.,"Lutherville-Timonium, MD",13,57,173,4.0,1/2/2018,"We had real good time with friends. It was kind of impromptu plan and the place was packed . We headed to the bar and ordered our drinks along with nacho, chicken burrito and for dinner I ordered veggie burger . It was amazing and healthy too. Patty was made of brown rice :) must try for all vegetarians!"
Kenneth C.,"Washington, DC",96,50,77,4.0,12/19/2017,"I don't know if this Factory is the original one in the state but it feels like the OG. Imo, it's probably the best cheesecake factory in the state. I've been to montgomery malls, arundel malls, and others, but this one just gives off a vibe that's unlike the rest. Aside from the vibe it gives off, there are not many details of which to differentiate each Factory. Yet, the service here is definitely the best. Each time I've been, my servers have always been at the top of their game, never missing a beat. When it comes to the food, I'll always say that you really get what you pay for (maybe get a bit less considering the steep prices). But the vibe and service bump up my review to 4 stars."
Aubrey F.,"Baltimore, MD",28,188,220,4.0,9/12/2017,"Went for lunch with a friend and decided to sit outside since the weather was so amazing. The hostess at first was going to sit us in the shade on one side of the building and when we requested to sit on the other side, where others were sitting, so we could be in the sun she said they were having issues with bees. She sat at us the one table out there that had some sun.  Our waitress was great. She was very friendly and attentive. She also knew a lot about the menu. We asked about the Korean Fried Cauliflower and she highly recommended it. It was so good! So flavorful and a little spicy but not overly. I forgot to take a picture but it was delicious!  I ordered the Fried Macaroni and Cheese Balls. They were great as usually. Could of used a bit more marinara sauce but other than that they were great. I also ordered the Truffle Bacon Grilled Cheese Sticks. They were also great!  Only downside was that the bees were on our side of the building too kept landing on our table, plates, and us. We moved to another table in the shade and next to the building and still had the same problem. Others were also having the same issue. Our waitress handled it great though despite the chaos it created. The hostess should have really stopped seating people out there though until they either have the issue resolved."
Susan D.,"Alexandria, VA",148,22,25,3.0,12/28/2017,"I have frequented the Tysons Corner and Durham, NC locations often and this experience was just okay in comparison. I ordered the hibachi steak which came out cold to the touch. The server took the dish away to set it under a heat lamp while my boyfriend continued to finish his entire meal. The plate came back scalding hot and the food was at this point dried out. I very much regretted stepping out of my comfort zone of chicken at this restaurant. Our server, Kumba, was very kind. The peppermint cheesecake was again just okay. For a slightly expensive date night and considering I wanted my boyfriend's first experience at Cheesecake to be amazing... everything was just okay. I expected so much more."
Alyssa S.,"Baltimore, MD",286,153,531,4.0,3/27/2017,"Best service at this location is in the bar! IMO this location knocks the Towson one out of the water. I've been a few times for dinner and once recently for brunch. Brunch on a Sunday or frankly all day Sunday is absolutely packed. An excess of 30+ minute wait at 2pm and about 30 people in the lobby packed. The busy brunch visit was so-so, the table was entirely sticky and all of our plates and silverware were dirty. The waitress handled it really well and brought more. The fried chicken and waffles Benedict looked amazing, but was just ok. The egg wasn't properly poached and the chicken was cooked in an odd oil.  All of my dinner visits here have been good, usually weekdays and it's never been super crowded. I recommend the mac and cheese balls, endive salad, lettuce wrap chicken (not as good as P.F. Chang's though, Chicken Bellagio, Crispy Chicken sand which, four cheese pasta, miso salmon, crispy chicken and shrimp, and the jambalaya. Brown bread is always the best. Martinis here are pretty good, although pricey. I don't think they have a happy hour here or if they do it isn't advertised well and is over by 630pm.  And of course the cheesecake! I'm usually too full to eat any but I never pass up on getting some Togo."
Wanda R.,"Hanover, MD",0,6,4,1.0,12/16/2017,"Wish I could give this restaurant a Zero! My daughter is there now, she got there 6:24pm & was told an hour wait. She chose this place because it is- was her favorite place. She is trying to celebrate her 18th birthday with 6 of her friends. After approximately 1 1/2 hrs she asked how much longer AND the ""manager"" actually told her she's only been waiting 1 hr & 23 minutes. I'm shocked at the rudeness, especially from a so called manager!! After @ 10 minutes my daughter approached the manager again & asked if she'd made the 1 1/2 hrs wait now. The so called manager had the nerve to tell her she's being rude & if she wasn't ""nice"" he would ask her to leave. I am in complete shock!!! All my daughter wanted was to eat at her favorite restaurant with her friends to celebrate her 18th birthday. I don't know how this restaurant stays in business the way they treat customers!! I will definitely be writing Corporate! My daughter deserves an apology ASAP ******* When my daughter got home she did say her food was good And the waiter was nice & funny-- so that helped. They sang Happy Birthday to her BUT they charged her for the cheesecake, I thought a slice was free on your birthday. She ordered an appetizer, drink & a meal so it's not like just went just for the free cheesecake. The experience was not worth going back, AT LEAST not to this location. Her father already told he he'll never go back, Not after the way they treated his daughter! I already wrote corporate And I will put this on all my social media"
