Username,location,friend_count,review_count,photo_count,rating,date,review
S W.,"San Francisco, CA",528,356,6,4.0,7/10/2012,"In the past, when I thought about the phrase ""Cheesecake Factory"" I immediately thought about a 5,000 calorie meal. Being from California, this was just frightening and I would stay away as much as I could (their addicting brown sugar and French rolls don't help at all, nor do their slushy like drinks)...  And then one day I went with my girlfriend and I saw their ""reduced calorie"" menu--drinks and food both. 100 calorie Mojitos? I got two! Flavorful and refreshing! We split the Asian Chicken Salad (under 400 calories) along with the Miso Salmon with extra sauce (how wrong can you go with fish if you stay away from the white rice, right?!). But since we were already there and saving ourselves just thousands of calories already, we just had to order the (fried) Avocado egg rolls!  The salad was delicious and refreshing--I think it is their dressing that does the trick. The Miso Salmon with extra brown sauce was perfectly glazed and cooked just right - not over done, and not squishy. I also really enjoyed dipping the salmon in the white sauce that the rice sat on. And the avocado egg rolls--- you just can' go wrong with the word ""Avocado"" and the implication of something ""fried"" in the same phrase."
Rain Greg J.,"Palm Springs, CA",10,143,87,5.0,10/10/2014,"We typically prefer locally owned and operated businesses, but we stopped in at the Cheese Cake Factory for a quick drink and a potty break while out shopping. This was my first time at any Cheese Cake Factory and the best deal we've had yet in San Francisco. Happy hour drinks $5 and nice sized drinks! $5 appetizers, and they are good sized portions! We had the delicious shrimp spring rolls. 3 good sized spring rolls on a bed of pan noodles and slaw w/2 dipping sauces. Now I know why they've been so successful. Great food, great service, and great value! They also had a healthy menu, separate from the typical high calorie menu with plenty of tasty options. WAY TO GO!! We will be back, that's a promise!"
Greta R.,"San Rafael, CA",60,522,57,4.0,3/17/2013,"We've been here about 6 times in the past year.  It has become our go-to place when we are at the Village.  They have a new Skinny menu that is excellent.  They are healthy versions of some of there classic dishes.  We've always had good, attentive service.  Normally, we aren't big fans of chains, but this one seems to be very well managed."
Jaidene J.,"Santa Rosa, CA",28,23,2,5.0,10/17/2014,"Every time I come to this specific Cheesecake Factory I leave with no complaints.  The food is amazing,  service is excellent and of course the cheesecake is devine. The only thing is the wait but thats not the restaurant's fault,  so no points deducted."
Philip M.,"Santa Rosa, CA",395,752,957,3.0,8/7/2012,"standard cheesecake factory. huge portions, great service.  and heavy calories :) unless you order from the skinny menu... I have lately stopped going to the SF cheesecake factory and gone here. It's not worth the hassle waiting in line for 30 minutes feeling like a sardine in a can in san francisco. the wait time here is quick and plenty of parking."
Dana S.,"Los Altos, CA",0,15,,3.0,1/8/2016,"We often eat at char restaurants, but this one is a bit disappointing as there are way too many options for food.  I understand this would be difficult to change as it is a chain and you can't just change one location's menu, but there's something to be said about having fewer options and more focus on quality. Also, the waiters don't come around enough."
Charles R.,"San Rafael, CA",24,76,20,4.0,7/12/2012,"New skinny menu?    Well for the Cheesecake Factory I suppose it is a ""skinny"" menu.  The faro salad was especially tasty but for other items is simply seems that the Cheesecake Factory has reduced the portion size from a Midwest portion down to a California sized portion and replaced the deep fried items with salads.   At least it seems like they are making an effort."
Kory F.,"Riverside, CA",0,2,1,1.0,11/28/2015,"I have nothing against cheesecake factory since my wife and I go to one all of the time in southern California...we love the food and the atmosphere has been pretty good. But this place is horrible. They sat us right next to the kitchen, where we couldn't even here each other speak from across the table. The table we were at had all place setting on it, and the table was very dirty with food particles and dried sauce. We asked for them to clean the table and bring us new place settings. They never came and we had to ask for them, and when they did, they didn't give us any napkins, nor give us a chance to ask for them. Next, they brought my beer in a chipped glass. I have no idea if that was chipped after they filled the glass or if there was chipped glass in my drink. Thirdly, I saw my waitress twice, when she took my order and when I asked for the check over 40 minuted later... Still without a napkin. I don't normally write reviews, but for how much you pay for food here, you best have better service than what I got tonight. Never coming back here, not recommending this place to anyone."
Reena P.,"Dixon, CA",176,500,234,3.0,8/28/2012,"Decided to stop in after torturing my boyfriend with hours of shopping at the mall in Corte Madera.  Cheesecake Factory is still run of the mill and is still an assortment of hodge-podge food.  We opted to try the spring rolls that are on the ""Skinny"" menu... they didn't seem particularly skinnier than the other ones we've eaten here before but maybe just smaller in size.  We shared the jambalaya which we were told was going to be spicy and full of flavor. We actually found it pretty bland.  The food just IS here and the atmosphere is the way it's always been where you can enjoy a quiet intimate dinner with someone.  The only thing I'll have to add otherwise is that the BROWN bread is way better than any other bread here! :)"
Noah M.,"Mill Valley, CA",61,16,,4.0,11/11/2014,"I eat here a few times a month and although the food is often processed, the portions are large and the service is pretty good. It takes a bit longer than average to get your food here..... not sure why that is? I've only been to this CCF so I have nothing to compare it to but as far as chain restaurants go CCF wins the prize."
