Username,location,friend_count,review_count,photo_count,rating,date,review
Ryan M.,"Dillon, CO",0,30,3,5.0,9/21/2017,"Excellent service and experience. On top of everything from customer service to quality of food. . .  Richard was our server, he was very helpful and professional. I will be coming back with friends and family when they come to visit"
Arantxa A.,"Salt Lake City, UT",144,11,13,4.0,5/8/2017,"I got the 2 eggs with breakfast potatoes and bacon, not bad! But their chocolate hazelnut crunch cheesecake was SENSATIONAL."
Alex S.,"Loveland, CO",0,6,,2.0,9/13/2017,"So the food I had was pretty good, Thai coconut Lime chicken... minus the fact that they garnished it with spicy hot peppers and do not have a warning about this what so ever on their menu, this was not even a listed ingredient. So yeah, had an unpleasant surprise that made me choke on my food. Once removing the garnish the food was pretty good. Service was fast and friendly."
Lu M.,"Gillette, WY",76,14,11,4.0,1/29/2017,"Last night my lovely friend Priscilla and I had two great chicken dishes.  Her breaded chicken bites were so tender, juicy, & just the right amount of seasoning.  My chicken & pasta dish was sliced very thin, seasoned perfectly, covering a warm bed of pasta.  We both had leftovers so we had enough food for two meals for the price of one.  The mango mojoto's were nothing short of amazing."
Robert G.,"Littleton, CO",144,175,206,1.0,10/15/2015,"Mmhmm... Cheesecake Factory has always been a solid dining choice for me when downtown, but this time wasn't so great. Was here on a Sunday night for a family dinner with the in-laws, so a total of 7 people. Overall, I don't think anyone of us thought the food was any good. It took about 45 minutes to get our food and it was cold when it arrived. The managers came to personally apologize, but nothing beyond that.  I went with Chicken and Biscuits with extra chicken. The gravy has a ""crust"" on the surface when it came and looked more like slop than gravy... The biscuits seemed to come straight out of a bag and the chicken ""breast"" was a flat piece of chicken, probably frozen.  It was a disappointing visit..."
Jenn H.,"Perth, Australia",32,454,912,3.0,1/31/2016,"Situated right on 16th St - Great place for a quick bite. It's spacious & very busy on a Sunday arvo but we were seated within 10 minutes.  The service was prompt & efficient.  The menu is massive & comprehensive. And if course the cheesecakes! There are so many to choose from. The serving size is pretty generous & it's served with a giant dollop of cream. The bread came first - The brown bread was delish! The white bread was a bit too hard.. The chicken  enchiladas was tasty. It was served with black beans & rice. The Renee's lunch special was average. I had the turkey sandwich, salad & chicken  soup. The soup tasted more like melted cheese with chunks of chicken.. The greens were fresh. Sandwich was ok.. The serving sizes are pretty big so make sure you leave room for dessert!"
Jill L.,"Loveland, CO",91,60,112,5.0,2/2/2017,"Service was excellent,  friendly.. kept checking on us and refilled water as needed.  The Chinese chicken salad was flavorful as usual.  Tried the sweet corn tamale cakes, my new favorite.  Sweetcorn bread covered with green chili sauce, tomatoes and sour cream, with a perky Chipotle sauce.  Yum, you've got to try them."
Miriam K.,"Orlando, FL",31,61,70,4.0,12/26/2016,"This place is always ALWAYS packed.  Cheesecake is obviously very good with over 20 options to choose from. Food is ok, it's a chain with options for all. Good service, tends to get a little loud and the wait line outside is intense."
Josh G.,"Denver, CO",5,8,1,1.0,7/23/2017,The breakfast here is a must stay away. The food is very bland and boring. It's called the cheese cake factory for a reason!
Andy H.,"Denver, CO",144,114,3,2.0,11/12/2016,"Walked in after a nearby show at about 10:30 for a quick dessert. Proceeded to see two other groups seated ahead of us who definitely arrived after we did. Finally got seated and had excellent service thereafter. Definitely need to work on their late night seating process, as I surmise there are a lot of lucrative dessert & cocktail patrons to be served then."
James Elijah D.,"Cheyenne, WY",0,5,,5.0,7/24/2017,"Amazing! Great service, food came WAY fast,  cool food design, I like the gluten free.  My sis loved it too.  Good portion of food.  I ordered spaghetti and meat balls,  gave me a huge bowl. Cheese cake was amazing! Fancy, medium good price. Lots of thanks 2 our waiter.  Thanks Saun!"
Alex M.,"Denver, CO",50,37,26,3.0,10/8/2016,The cheesecake is very tasty and very sweet. The service was slow and the wait staff was visibly rushed but at least everything was clean. This is a good sport for desert but I would t make it a regular dinner place.
