Username,location,friend_count,review_count,photo_count,rating,date,review
Kimberly C.,"Minneapolis, MN",73,207,301,4.0,1/26/2014,"I've been here several times and I'm just getting around to writing a review.  As usual they were pretty busy and waiting on a table for three was going to be a while.  Luckily we spotted a table in the bar area which was vacant and made a mad dash to it as it's first come first serve.  The menu includes tons of choices for starters, salads, small plates, entrees, sandwiches, etc. It's actually too much (for me) and a bit bit overwhelming.  Therefore I tend to stick with the massive burrito big enough to feed four.   This time I ventured out and went for: - Buffalo Wings:  Delicious!  They're breaded, not super saucy or extra dry, and have the right amount of spice.  Therefore no need to worry about your mouth burning.  -Beet Salad: I loved it. Includes apples, goat cheese, pecans and arugala dressed with balsamic vinaigrette. It's on the ""skinny"" menu for those to eat a ""healthier"" at Cheesecake Factory.  I didn't go for the Strawberry Lemonade which is so good, but hopefully next time."
Jane C.,"Saint Paul, MN",3,15,3,3.0,10/28/2016,"The service was excellent. The one problem I had was one of the pasta dishes. Tomato basil pasta, it was good,  but there was too much garlic. It pretty much overpowered the dish. I left with a horrible nasty taste of garlic.. I am choosing a different dish."
Shoshana M.,"Minneapolis, MN",0,4,15,2.0,6/5/2016,"I've been here twice before and loved my meals, however tonight's dishes were a major disappointment. I ordered the Jumbalya and it was so soggy and watery I sent it back after one bite. The waiter didn't apologize or ask what was wrong, he simply asked me what I'd like instead. I then ordered the Gumbo, as I've had it before and remember really liking it. Something must've been off with the kitchen, today, though because that was horrible as well. I asked for a to go box and threw away my $18 meal when I got home.  While my meals were bad, what was worse was the service and our waiter's apathy toward our experience.  If you go here, steer clear of the chicken dishes (unless they are deep fried) otherwise, you'll get chewy, soggy, fatty meat for a minimum of $16 a plate.  I will say, my boyfriend's dish (the Habachi Steak) was delicious as were the buffalo wings we split."
Mark J.,"Maple Grove, MN",12,77,,3.0,2/27/2015,"I've been here once and it was very recent.  Parking was difficult even for a weekday.  Was expecting to wait for a table for 2 and the wait wasn't too long.  They kinda pack you in here if you are not sitting in a booth.  The table next to you is within arms reach which isn't really my jam. When I saw that the menu was as thick as a Clancy novel, I decided I should try a safe option that's hard to screw up so I went with the Chicken Alfredo.  It was somewhat bland but edible.  The bread they served before hand (and that our server kindly refilled during our entree) was delicious.  The service was great overall. I would go back and try the breakfast or brunch as that part of the menu looked very intriguing."
Walid S.,"Davenport, FL",86,125,698,4.0,3/31/2014,A twist on every day's comfort food with a blend of classic cafe varieties.  The menu has more chicken dishes than there are grains in a silo.
Angie O.,"Minneapolis, MN",31,147,247,2.0,2/19/2016,"The menu is overwhelming, the wait is ridiculous.  Food is salty as heck!  Ya I said heck, you better get the soap. Overpriced."
Vy B.,"Minneapolis, MN",828,269,469,4.0,11/11/2014,"Yes I am reviewing the Cheesecake Factory which is the chainiest restaurant ever but it has good food. There might be thousands of calories in one single meal but I have yet to order something that turns out to be average. Their happy hour deals are awesome with the app specials so I would highly recommend stopping there between 4-6 on weekdays.  Here are my go-to items:  -Avocado eggrolls (creamy, sweet, salty, rich) -Buffalo blasts (chicken in buffalo sauce wrapped in a wonton wrapper deep fried in batter i.e. a super fatty app but delicious) -Pasta bellagio (angel hair pasta served with pesto cream sauce, fried chicken, and prosciutto served over bed of arugula) -red velvet cheesecake (amazing cake and cheesecake hybrid, not too sweet) So just because I am recommending this place, does not mean you should go here every day!!! The portions are huge and the meals are very rich...moderation people!!! Side note, the menu has way too many items on it and sometimes I feel like I am reading a catalog when all I want is a quick bite to eat. I know, #firstworldproblems."
Nestor R.,"Skokie, IL",75,1,,2.0,5/15/2016,"I've been here 3 different times and what up have found is that the Food over priced, It's always crowed the wait times are ridiculous. Silverware tends to be dirty..... The cheese cake is there only thing that is good."
Cameryn L.,"Saint Paul, MN",12,59,34,4.0,1/3/2016,"I love this place! I live 30 minutes away and always make a trip to get some of their red velvet cheesecake. The service is average but the food makes up for it. Some of my favorites: fried zucchini, Louisiana chicken pasta, and brown bread (free). The menu is very large and it is easy to get overwhelmed."
Shannon L.,"Saint Paul, MN",0,1,1,4.0,5/11/2016,Very very very upset that the Chicken Scampi was taken off the menu.  I went there for Mothers Day and told my mother for days how delicious it is only to find out she wont get to try it.
