Username,location,friend_count,review_count,photo_count,rating,date,review
Ashley W.,"Belleville, NJ",143,96,9,3.0,6/6/2012,Love their cheesecake and mixed drinks... Especially the tropical martini. YUMMM. I was really disappointed when they got rid of the tres leches cheesecake. Their menu is large and food is tasty. However the service is lacking here sometimes and if you come on a weekend evening prepare to wait up to two hours even if they tell you 45 minutes
Juliette J.,"Fort Lee, NJ",228,389,475,3.0,10/26/2010,"I avoid this place like a plague and only go there for luncheons and get togethers. I only awarded it 3-stars because the food is pretty decent, unlike their 'cheesecake'. Good god, their cheesecake is awful. All I taste is sugar and crust! Terrible flavor, terrible texture, ugh ugh ugh! Don't get me started on their Red Velvet Cheesecake. Blasphemy!   Maybe if I lived in the sticks, I would be willing to put up with the ridiculously long wait times and obnoxiously loud setting that makes for a very frustrating dining experience. There are too many gems in the area. Plus NYC is a stone throw away. Simply not worth it!"
Subilak K.,"Yarmouth, MA",26,42,54,4.0,10/24/2014,I can actually say I have never been to a cheesecake factory where I've actually been disappointed and this place holds true to that rule. The parking can be a little difficult at times but this place is always booming with a nice mixed crowd. Food is consistent. Service is as well.
Amp R.,"River Edge, NJ",0,26,,4.0,8/14/2014,I give this place a 4 stars just because I like their Cajun Jambalaya Pasta.. Awesome dish.. could never go wrong on that one.. They have nice shrimp appetizers.. I think Bang Bang shrimp or Dynamite Shrimp... The cocktails are pretty nice and they have lots of variety.. I dont like parking in this mall... Unless you go after 10pm you are bound to be out of luck for parking..
Paola W.,"Danbury, CT",152,130,922,2.0,2/8/2012,"My usual is the Teriyaki Chicken and it's okay. I am not a big cheese cake fan so my only reason coming to this restaurant is for the AMAZING, and I can't stress this enough - AMAZING sweet corn tamale cakes. I absolutely love them and they take me back to my country."
Danny R.,"Clifton, NJ",7,3,,1.0,12/26/2011,"Visited the Hackensack CheeseCakeFactory for my birthday, and unfortunately my worse experience of all CheeseCakeFactory I've ever been too! Gave us a wait time of 1-1:30 hours, and we're seated after a 2:15-2:20 min wait! Well after the horrible wait time we had all the time to look through the menu, so we all already knew what we were all gonna order. We all got our meals but my wife who ordered a Salad! Ok, apology accepted, it was on the house. Well to my surprise, I ordered the Chicken Marsala and started chewing on what I thought was hard dry pasta. Well ended up being a strip of plastic! That was a wrap!  Can't say that all are bad, but this one is probably one that I'll never return to again!"
Emma T.,"New Milford, NJ",15,7,1,4.0,7/5/2014,My husband and I had our wedding anniversary dinner here. It was a fun experience. The food was plentiful and we didn't have to wait for a table thanks to their special seating area.
Mega M.,"Jackson, NJ",65,452,,2.0,8/31/2011,"OVERRATED! The lines in this place are way too long and not worth it just to have cheesecake. Its pretty good, but I have had better elsewhere.  The service is also very sloppy and organized. They are very busy but the service people don't seem able to handle the large amount of customers. You can find better elsewhere"
Christian L.,"Bergenfield, NJ",57,31,9,5.0,2/17/2014,"Pasta Davinci is glorious. Horrible wait on busy nights, but well worth it :)"
Yasmin R.,"Teaneck, NJ",225,274,170,1.0,11/21/2011,"I've tried cheesecake from Cheescake Factory and they really need to change the name because they don't have it.  The texture is awful, the taste is tangy, and the appearance is just not enticing to the palate.   I wouldn't feed this to my dog, probably give it the runs."
Jessica K.,"Hillsdale, NJ",21,349,53,2.0,7/17/2012,"First of all, this mall is in serious need of a few hundred more parking spaces. Good luck finding one when it's busy. Rather than wait for a table here, because there always seems to be an evening wait, I opted for takeout. Their website advertises a seamless curbside experience, but this requires a phone call to notify them you've arrived. And that'll only happen if you've managed to actually find a space in a ""designated pick up spot"". I waited a solid 10 minutes (the max limit for the pickup spots) but NO ONE left or came outside during that time frame. Fed up & impatient, I parked on the opposite side of the mall. Sure, you can have someone wait in the car for you right at the front, but in my opinion the narrow road makes navigating around your car a little difficult for other drivers. When I've dined in I've always thought the atmosphere is noisy, the tables are cramped, the table service is not bad, but not very good either, with the exception of those behind the takeout counter. They've got it down pat. Drinks & desserts could be worth the rare visit for me, but not the food. With an endless menu, much of it tastes mass produced to me, like cafeteria food. You're lucky if you choose wisely because it's a hit or miss list of stuff. And expect to wait long for whatever you want among the hungry shoppers here, from a parking space to a slice of cheesecake."
Jennifer L.,"Windermere, FL",290,349,259,3.0,12/14/2011,"Not a huge fan of the place but like someone else said, it's an ok option when at the mall.  Although I'd rather pick Houston's in heartbeat.   The menu is way too large that it's obvious they can't do all those dishes well.  If it was paired back, it'd be much better.   I've been ordering from the 'healthier' menu lately since I think Cheesecake is always rated in the worst category in terms of healthy choices.   Service has usually been decent, although it ALWAYS takes forever when asking for something extra like ketchup or dressing.   Obviously the cheesecake is pretty damn good though.  I'll splurge and split a slice with a few friends every once in awhile!"
Kaelly B.,"Edgewater, NJ",0,4,,3.0,7/21/2015,Wish this place had more of a variety. Also not the cleanest - much rather Grand Lux - but aren't they the same? Haha I enjoy coming here with my family
