Username,location,friend_count,review_count,photo_count,rating,date,review
Temeko W.,"Fayetteville, NC",37,21,,3.0,9/4/2013,The food was cold and the wait was extremely long which is to be expected on a Saturday due to it being connected to a casino.
Betty L.,"Allen Park, MI",0,1,,1.0,7/28/2014,"I ordered the Shepherd Pie, it was awful. Look like they throw se veggies together and heated it, potatoes were raw. Will never order again. Wad very disappointed we were celebrating my daughters Birthday."
Sashique D.,"Glen Burnie, MD",0,3,1,5.0,7/27/2014,i have bin here multiple of times & the service is always phenomenal . i love this place.
Lisa M.,"Gainesville, VA",0,33,1,2.0,4/12/2014,"This was the worst Cheesecake Factory I've been to. The hostess was friendly, efficient, and organized, but the food and service otherwise left much to be desired. We had to finally ask for drink refills. The waitress didn't check to see how our orders went or if we needed anything additional. She was obviously untrained. My quinoa and kale salad had no quinoa to be found. I mentioned this, but the waitress shrugged and pointed to the non-existent quinoa, saying, ""see, there it is!"" (Um, no, but okay). The fried shrimp was super greasy. All portions of all items ordered were smaller than we receive at other locations. The food didn't look or taste like the Cheesecake Factory food that you'd expect; it was like diner food, but not in any positive way."
Nytisha F.,"Upper Marlboro, MD",4,6,3,4.0,9/16/2012,Love this place & location. 3rd or 4th time visiting. I came to the grand opening and have only been slightly disappointed once. Even then consideration and extra steps were taken by management to accommodate.
Cassandra T.,"Fort Meade, MD",27,5,,1.0,2/10/2014,Horrible service! My husband and I went here for our anniversary. We came late afternoon and it was not very busy which we prefer. We both ordered drinks and I ordered the artichoke appetizer. The waiter who took our order delivered our drinks and informed us his shift was over and we would have a new server. The new server came and took our dinner order. After about 15 minutes out dinner came out and I still hadn't received my appetizer. I told our server and she said our original server must not have put it in and she would put it in now. When it was finally brought out to me it was completely under cooked and not edible. I told her and she said she would et me another one to go as we were basically finished up with our meal and were ready for our cheesecake. When I got home I tried the artichoke only to find again it was not cooked and not edible. We spent $90 on this meal and service and food were not even close to worth that. I contacted corporate through email and have not heard a thing!
Cherie J.,"Washington, DC",59,70,18,3.0,4/7/2013,"Came here to celebrate my 21st bday and we (the fam) had a great time. I should warn you (even though i shouldn't because this is common sense) the wait on friday nights can be up to an hour long. I wasnt bothered because an hour in a casino can go by fast like a thief in a jewelry store. By the time i had played 10$ worth on the quarter slots plus a trip to the bathroom it was time for us to eat. The very first thing that i said walking in was ""where are the lights""? like seriously....this isn't a nightclub. I'm not too sure why most CF's have the lights dimmed so low but they need to fix that because i would like to see my food. To start i had the dynamite shrimp that weren't very dynamite...just mite. they claimed it was supposed to be very spicy but a toddler could eat one and be fine..the sauce was also lack luster. To drink i ordered a strawberry margarita and it was good...what would've made it better was a bit more sugar and a bit more alch por favor! As an entree i wanted to try something new and i really wish i didn't...i had the cajun jumbalaya with chicken and shrimp over rice...it was just so meh..i had a firm grip on my hot sauce bottle the entire time while eating it. And for dessert i ordered the tuxedo cheesecake...OMG...THIS CHANGED MY LIFE LOL...its my new favorite...it was so good that as i started eating it, my mom asked for a bite but decided to get the money ready for the check..BIG MISTAKE MOM! lol because it was gone!. all in all the waitress, nicole, was so nice and patient. I think i might try Bobby's burger place next time i go to maryland live."
Jamilah S.,"Columbia, MD",97,3,,1.0,1/19/2015,"I came on my birthday to celebrate, it wa my second time at the restaurant, (I'd been there previously and didn't have a great experience but chalked it to being very busy) I was disappointed once again and mad that I gave this location a second try. I relocatd from philadelphia and frequented the King of Prussia and South Jersey locations. Once again I found that the food tasted horrible in comparison and the service sucked. I understand that this location is located in the casino but thats no excuse to  prepare subpar food. My dinner was no where near what I expected (I've had the dish at other locations several times) and I had to wait 20 minutes for another dish to be prepared while my guests ate, only to find when I got my dish the pasta was hard (either over or under cooked) at this point I wanted to leave because I was yet again disappointed and did not have the patience to wait another 20 minutes for them to get it right. The waiter seemed unavailable and Ive never got out of my seat and darn near yelled to get a waiters attention as much as I did that night. Given this is my second bad experience I felt the need to write these comments and I will also share my review on yelp. This has left a poor taste in my mouth and I've learned my lesson I will not be returning."
Rene R.,"Baltimore, MD",19,177,,2.0,2/17/2013,"Clearly with a menu that large they can't be good at everything! This was my 2nd visit to this place and I was quite disappointed. The service was excellent. Servers name was Kiana - she wanted a good tip and she knew how to get it! I was disappointed with the food. I had the pizza and mac n cheese. I've made both better at home. The mac n cheese was lacking flavor and extremely oily. And the only flavor on the pizza was the pepperonis. Quite a shame really to spend almost an hour waiting to be seated (saturday around 5pm - seated at 6) only to have the best part of it be the $4 strawberry lemonade. BTW the mac n cheese was a side dish and at $6.95 seriously overpriced - both for the size and lack of flavor! If you are looking for a good meal I suggest trying something other than the two dishes I've mentioned here. This is definitely a place where if you find something you really like, stick with it."
Frances M.,"Glen Burnie, MD",0,10,,5.0,9/6/2013,We ordered the burger sliders besides being a HUGE appetizer for $1 more you get a side! My fiancé ordered culotte sirloin and that was DELICIOUS!!! Cooked to term requested and PERFECTLY seasoned! For dessert we got the ultimate red velvet cake cheesecake and the only thing I can say is DEAR GOD!!! Delicious!!! Everytime I go to Cheesecake Factory the experience is excellent! Love it!
