Username,location,friend_count,review_count,photo_count,rating,date,review
Jean G.,"Bullhead City, AZ",86,267,143,4.0,1/5/2018,"***PROS*** * Short wait for table - 10 mins * Attentive waiter - never hungry, thirsty, or wondering where he was * Great food! We had 4-cheese pasta which tasted like a pizza with so much flavor, herb-crusted, grilled salmon with broccoli and mashed potatoes that were wonderful, and tempura-battered fish tacos with chipotle sauce, pickled red cabbage, salsa and guacamole that was delicious.  * Complimentary bread at table was warm and fresh, served with large pats of butter * Strawberry lemonade had real strawberry seeds in it, sugar rim on the glass, and wonderful sour flavor.  * Cheesecake to go was packaged with extra whipped cream and plenty of napkins & forks ***CONS*** The only ""con"" was that the waiter mentioned the computers were slow because of a Christmas coupon that was difficult to enter yet many customers were using. I wish we knew about the coupon. I'd say check their website for details, get on their mailing list, or follow their social media accounts for details."
Joyce T.,"Honolulu, HI",61,570,687,4.0,12/31/2017,"What a success this place this is! Every table is taken, people willing to wait for up to an hour for a table and the patrons look happy. Used a gift card for chicken potstickers and mixed veggie salad with added chicken. The potstickers were actually tasty and the shoyu sauce pleasing. Pal commented on how pure and unburpy the meat was. Loved the green onions on it. The mixed salad had a lot of cheese chunks and mixtures of salad, asparagus and stuff. Don't remember a heavy or creamy dressing, but it was flavorful enough not to miss it. Great service."
Brian W.,"Las Vegas, NV",227,135,31,2.0,12/24/2017,"First and foremost, Cheesecake Factory is not kid friendly. Yes they have a kids menu, but nothing to keep the little ones distracted. I took my daughter there for a lunch date and felt pressured to order as fast as possible. We ordered our drinks and went to use the restroom to wash up. By the time we came back, the table was cleared and setup for someone else.  I asked our waitress why they cleared the table and she said that she thought we left, even though we ordered drinks and had bread on our plates. It is not the worst place on the planet for food, but there are about 25 other restaurants in the area that I would choose before going back to The Cheesecake Factory."
Heather A.,"Henderson, NV",113,338,335,3.0,11/28/2017,"Everyone knows Cheesecake Factory.  You are going to find an extensive menu and you'll have to decide what you are in the mood to eat. Depending on the day and time, you may have a wait.  Attempted to go here on a discount cheesecake night and the expected wait was 45 minutes to an hour.  I'm not sure how long it was because we bailed after 20 minutes. Back to the last time my family and I ate here this past week.  The food looks amazing.  (See my pictures). The taste is OK.  The side salad was supposed to have balsamic dressing and I tasted none, so I left it.  The chicken salad sandwich is delicious!  Should have gotten the full size instead of the lunch special, as the soup was also only OK. The men in my family enjoyed their burgers, which was big enough for my teen to also have for dinner.  Daughter liked, not loved, her grilled cheese."
Shelly M.,"San Fernando, CA",235,40,44,5.0,12/23/2017,"This Cheesecake Factory was at the district in Henderson. The food was great, the service was even better. Our waiter (didn't catch his name, but he had a distinct handlebar mustache), mentioned the daily specials and was very accommodating to our customized orders.  We didn't wait too long to be seated, and our food came out pretty fast too.  We've eaten at many cheesecake factories before, but what made this review and experience so yelp worthy, was our fantastic waiter."
Justin C.,"Las Vegas, NV",68,197,3724,5.0,9/15/2017,"Great spot for a birthday dinner with a plethora of dessert options! The wife and I met a couple of friends here for her birthday dinner and only waited about 15 minutes before being seated (at 6:15pm). We started with waters all around and a couple of cocktails: the strawberry martini and the factory peach Bellini, both drinks were very good 5/5.  For appetizers we ordered the avocado spring rolls 5/5.  The bread was also delivered with butter and the wheat loaf is always delicious.  For entree's we ordered the Orange Chicken: deep fried pieces of chicken breast covered in sweet and spicy orange sauce accompanied with rice (white or brown) and veggies, usually lots of snow peas and some carrots 5/5, shrimp jambalaya delicious flavors 5/5, shrimp pasta 4/5, and the chicken salad with extra chicken 4/5. For desserts we tried the white chocolate raspberry 5/5 and the Craig's crazy carrot cake cheesecake 5/5! Honestly I think all of heir desserts are 5/5! Service was on top of everything and even came to sing 8-D. Thank you for a nice birthday dinner!"
Mike V.,"Henderson, NV",48,85,208,4.0,1/3/2018,Not only am I fan of the cheesecake but also the food. As of late I've found myself sitting at or in the bar area so I don't have to wait for a seat. It seems this location is always busy. Happy hour is M-F 4-6pm with reduced price drinks and appetizers.
Eiprheel E.,"Henderson, NV",40,123,455,5.0,9/6/2017,"This is my and my family's go-to Cheesecake Factory. It's also one of my favorite restaurants to eat at and we've come here for birthdays, anniversaries, holiday meals, meetings, meet-ups, and to satisfy cravings. My family and I have always gotten good service at this location and their list of meals on the menu dose not disappoint.  Will continue to go this location and this restaurant."
Poco P.,"Las Vegas, NV",1616,372,2558,5.0,7/14/2017,Sheryl & Stephen are awesome!  4pm Happy Hour w/ them is fantastic & the crowd is very friendly.  Mostly locals.  I have to leave a new review because I had the Beet Salad for the first time here & I highly recommend it!  Super beautiful salad!  Mmm mmm!    My friend got the Dynamite Shrimp & Spicy Chicken.  I tasted both & the only thing dynamite on both were the sauce on the side.  The batter on each were not spicy whatsoever.  My girlfriend got the Tomato Basil Flatbread & Adam's PB Chocolate Ripple Cheesecake & both were absolutely delish to share!!  I have to say the PB Cheesecake blew our socks off lol!  Wow!  The Reese's PB Cheesecake is mixed layers of cake upon Cheesecake so not an all Cheesecake FYI.  Mmm!
Jordan I.,"Las Vegas, NV",68,130,763,4.0,10/11/2017,"The Cheesecake Factory is one of my family's go-to restaurants, whether it be for dinner on the weekend or when we're celebrating a special occasion. The menu at The Cheesecake Factory is very extensive, a bit overwhelming at that! With the menu consisting of just about 20 pages, everyone is bound to find something they'll enjoy. The food is consistent, always fresh, and the portions are ridiculously huge. I always have leftovers for lunch the next day! A few of my favorite dishes include the Barbeque Ranch Chicken Salad and the Crispy Chicken Costoletta.  If you have room, there are over 50 cheesecakes and various desserts to choose from! We normally come to an agreement (which can be hard) and share a slice! Seriously, after a meal here, a slice of cheesecake will push you to the edge. During our most recent visit, we received the most outstanding service from Aiden! He was on his A-game from start to finish, exceptional to say the least. He was very informative when we had questions about items on the menu and even recommended a few of his favorites! Aiden was constantly checking up on my family and always made sure that our waters (and bread basket) were filled. Not to mention, he can really carry a tune! We were very impressed! Thank you, Aiden! Now, if only it wasn't so dark inside the restaurant! The ambience is nice, don't get me wrong, but I wish the lighting wasn't so dim! There was a single light shining down from the high ceiling in the middle of our table, and everyone was taking turns using it to read the menu. I know, it sounds ridiculous, but it's true. With the sun going down sooner in the day, there's not much natural light left to come through the windows before dinnertime. Overall, great location, great service, and most importantly, great food!"
