Username,location,friend_count,review_count,photo_count,rating,date,review
Ann H.,"Vancouver, Canada",12,70,95,4.0,8/28/2013,"It's always a lovely place to come with family and friend ! Big portion, great food, friendly server and awesome Long Island ice tea ! ( and that brown bread !!! )  Being here almost every state that I visited and almost tried the entire menu !  We love the chicken toasted salad & Avocado egg roll for appetizer ! My sister always get chicken chipotle pasta   ( she ordered it at least 10 times already ) ! Bang bang chicken , chicken shrimp gumbo, white chilli chicken, Rib-eye ( 16 oz & medium rare :))))))   My favorite cheesecake is the White chocolate macadamia raspberry :D !  The onion Ring ( big fat one ) is so gooooood !  Tips: the portion is big ! Watch out ! And the Menu is big ! Be ready :D"
Julie-May L.,"Honolulu, HI",0,2,,5.0,3/7/2015,"After an unfortunate mishap with a reservation made at another fine-dining restaurant, Cheesecake Factory saves the day on a Friday night!!! My boyfriend and I were seated in two minutes, once checking in. Our waitress was excellent! She was very helpful and polite. And most of all the food and overall service was on point and fast!! So as they say, ""if it's meant to be, it will be."" We were glad to have not eaten at the fine-dining restaurant (Hy's)  as originally planned. We left the Cheesecake Factory feeling very full and very happy!"
Zar A.,"Honolulu, HI",815,382,935,4.0,1/10/2011,"BUSY, BUSY, BUSY location. My secret to getting a table here is to come about 15-30 minutes before they open at 11AM. Then, you are guaranteed seating. I don't like waiting, so I have never come at dinner time. I heard that they get craaaaazzzzzyyyyyy busy... My favorite items: +Hawaiian luau salad - salad made w/ a Hawaiian twist! Besides lettuce, the salad is a three layer wonton chip salad (generous portion, easy fills two to four people) and kalua pork! yummmm! The salad dressing is a little on the strong side, but pretty yummy! +Energy breakfast - comes with egg whites, grilled chicken and some spinach and grilled tomatoes. +Snickers cheesecake - I'm weak for nuts..."
Ryan T.,"Honolulu, HI",110,90,589,4.0,4/11/2011,"Even with the long waits and the crowded, touristy atmosphere. The food and service make up for it once you are seated.  Pros: -Everything I've had taste good and the Steak Diane will keep me coming back  when I need my red meat fix.  -Food comes fast -Good service -My father swears he had the best soup he's ever had there.  Cons: -Long wait after 6 -No cheap parking in site -Loud  -No intimate seating, better for groups than a date.  Tips: Sometimes you can speed up the process if you find a table in the bar, I think most if not all seats are first come, first serve. Also, small bar hidden in the back, sometimes you get lucky since not many people seem to know about it(don't tell anyone ;-)."
Tyler Y.,"Ewa Beach, HI",181,94,39,4.0,11/21/2013,"I've lived in Hawaii all my life and only got to eat here for the first time ever today! I'm glad we got to sit right away because I was told the wait is long and you can't make reservations :(  Anyways, came in for lunch and ordered avocado egg rolls (which was AWESOME!) and Evelyn's favorite pasta or something of the sort. I ordered the lunch portion pasta which is pretty large and filling! My boyfriend ordered the lunch pizza. The salad was a full plate of salad, not those mini skimpy side salads. The pizza is 8"" ish..? Lol.  Definitely had way too much to eat that I wasn't able to eat dessert... :( need to come back again to try some!  The only downside to the restaurant is since it's a large amount of people that eat here, the noise level definitely proves that. Lol, don't expect a quiet place to eat, it's pretty noisy!"
Kimmy P.,"San Jose, CA",6,17,3,1.0,2/27/2015,"I have eaten in The Cheesecake Factory so many times, but the one here in Honolulu is horrible. We ordered our food as take out, and of course they forgot an item. The carrot cake cheesecake (which I have also had plenty of times at other Cheesecake Factories) tastes like they switched the cinnamon with the flour when they made it. It was disgusting. I was really surprised how it is so inconsistent with their other restaurants in California."
Michael J.,"Phoenix, AZ",0,86,,4.0,4/1/2013,"The thing to keep in mind if you decide to eat here, is that this place is constantly busy.  I came here for a late lunch one day, a Saturday, and they were packed.   Now, I believe there are mainly two types of customers in this world: pampered, spoiled, demanding, condescending types, and those who are willing to give the help the benefit of the doubt until they actually screw up.  I think I fall into the latter category.   So, the quality of the service here was great considering that my waitress was incredibly busy.  You may actually have to wait for a refill of water, and you may not have your meat cooked to a level perfectly suited to your palate.  Guess what?  You are still in Waikiki eating at a quality restaurant with hard working waiters and waitresses who have to deal with whiny tourists day after day after ever loving day.  If there is one thing I learned after eating here, it is that restaurant staff are an under-appreciated crowd. Now, off my soapbox.  The food was delicious.  I had a shepherd's pie and a couple brews.  It hit the spot, and I highly recommend this dish if you decide to eat here.  Your seating choices are fantastic: you can either sit in their outdoor area on Kalakaua, or have a relaxing meal inside the restaurant.  I enjoyed the dining experience, had a terrific, hard-working waitress, and all of it was for a very reasonable price considering the location. I didn't get to see ""Penny"" from Big Bang Theory (haha) but I still had a good time and will go back here if I'm ever hungry again in Waikiki."
Rebeccah E.,"Clarksville, TN",0,44,,4.0,6/14/2013,"Awesome food, nice ambiance, friendly service.... My only complaint is the prices. Like everything else in Hawaii, this place is seriously overpriced but hey, it is the Cheesecake Factory.  Munch on!!"
Glenn T.,"Waipahu, HI",10,136,25,4.0,12/21/2014,"Came for breakfast. Why do I keep forgetting to share my meal with wife?!?  It is so big (and good) that I have no room for a cheesecake. Oh well, next time but it was still good. Good service too."
Daren D.,"Seattle, WA",684,1691,1042,4.0,9/24/2013,"I decided to check 'er out one night before I left the island and parked up at the last end spot at the bar. A typical, packed house it was. Spacious - I think I heard a live musician somewhere, or was it the music? Of the 2 I've been to in Seattle during the night, this place is perhaps slightly-y-y-y more dim. Chad, the bartender, was very smooth and on tempered rails as I watched him make various drinks over the course of the night; he's also very laidback & chill. I went for ze incredible grilled eggplant sandwich (overstatement?) and it was very nice---messy---but nice! Good stuff, along with the subbed sweet potato fries. One thing I forgot the CCF has is complimentary bread! Ohh, I especially love the dark bread. The Kentucky Tea drink came out in a slendered out glass and had a subtle buzz. All was darn good to me. I usually try supporting the less-reviewed but I thought heck, just give it a whirl."
