Username,location,friend_count,review_count,photo_count,rating,date,review
Jimmy N.,"Beaumont, TX",0,1,,1.0,9/7/2017,We had to ask for bread and was told to wait for fresh bread when it came out the fresh bread was hard as a rock! The waiter was rude he didn't ask us if we were ready to order he just stood there waiting.
Steph D.,"Houston, TX",26,106,6,1.0,7/19/2016,"Did not want to come here but BF had a gift card. (sigh) Closest location was the Galleria so after plumbing the depths of the parking garage and navigating the non-functional mall escalators we made our way to the restaurant. We came here specifically for burgers cause it was Monday and I wanted to go to Pub Fountains for the three-dollar burger special but funny how things work out. So our waiter shows up for a few seconds, leaves. Shows up, leaves. Shows up, leaves. Keeps doing this, he's running off to wait on the 2 tables next to us. Finally comes to take our order, we start ordering just as the runners bring the food to the table next to us. We're mid sentence he's like ""just a second"" and leaves us for the other table. By this time we're like WTF? So finally he comes back says ""Do you want to order?"" I'm like (facepalm) Now I cannot eat rare hamburger because when I was growing up my mother nibbled at the raw hamburger while cooking and as a result, got a tapeworm which completely turned me off raw hamburger for the rest of my life. And something I've struggled with for decades is places that try to cook hamburgers like steak - they always always always fail to get the desired result because hamburger Is Not Steak. (unless it's a high-end restaurant and their hamburgers are inch-and-a-half thick ground sirloin). (and is anyone as old as me and remembers when Chili's only served hamburgers and would **only** cook them medium-rare?) So I say I want it cooked until no longer pink but... and he cuts me off and goes ""well done"". And I go (facepalm). We go round and round with me trying to cancel the burger 4 or 5 times and him ignoring my requests and finally going off to find the cook for me to talk to. It's not the cook that shows up but a manager who asked what the problem was. I tell her I want the burger cooked until no longer pink but still juicy and she goes ""well done"" and I go (facepalm). I ask her to cancel the hamburger which she actually does. BF's burger comes, he ordered it medium-rare, no bun, it comes medium with a bun, no condiments. I testily snap ""Do Not Send It Back."" He cuts it in half, shares it with me. Waiter shows back up, puts the check on our table we're like WTF? Picks the check up after BF snarls at him. I had gotten no sleep the night before so I was extremely fragile and snarky as well. Exceedingly snarky. Waiter comes back, clears the table. I would have gone (facepalm) but I had part of a hamburger in my hand and no dishes on the table. We speculate  the reason he's showing up more often at our table is probably cause the other 2 tables have left. The only good thing about this is we didn't pay for anything because of the gift card. Next time I'll tell BF ""fuck the gift card and take me to Pub Fountains"". Afterthought edit: They handled the stupid hamburger issue all wrong. Instead of arguing with me over it, the waiter should have just cancelled it first time I asked, brought me the menu and offered the suggestion ""see if there's anything else here you'd rather have.""  And I probably would have. Geez."
Melody M.,"Killeen, TX",103,195,1235,3.0,11/5/2014,"First time dining at this location and my first thought was -- why does it feel like an Amazonian rain forest in here?  It was so humid inside that I almost didn't order anything, but after driving 3 hours and skipping lunch, we were already famished.  I complained to our server about the questionable lack of A/C and he said that it always feels hot in the restaurant.  Meh. With that aside, our server was wonderful.  He was very attentive, but never intrusive.  I ordered a grilled salmon which was very good.  He didn't charge me for my extra side of asparagus -- which winded up being a good thing because they were semi-overdone anyway.  After about 15 minutes of dining, there was a server change of shift and I was afraid that the continuity of service would be lacking, but our next server was just as great. Our booth was located next to where all the other servers congregate and they were very unprofessional speaking loudly and cursing -- typical teenage behavior.  I was already feeling miserable sweating to death, so being forced to listen to them was just icing on the cake. Would I come back?  Yes, just because I love the food.  Maybe my next experience would be better.  There is a veranda adjacent to the restaurant so I'll just sit outside when it's hot next time.   - Disgusting, smelly women's bathroom.  My  particular stall had scattered toilet paper and small spots of blood on the floor... yuck.  My bf said it wasn't much better on the men's side either."
Lucinda V.,"Pasadena, TX",37,7,,2.0,1/16/2017,"After shopping in the galleria went to have a late lunch at this place and wanted to wash hands and potty before eating lunch. The restrooms were horrible! Trash over flowing, paper towels all over the floors because not one of the four stalls had toilet paper in them, needless to say I didn't get to ""go"" but I informed the hostess and got seated and told her I'll go when there's tp in the stalls. I went back after a Greek salad and crab bites that were less than appetizing, and all they did was take the trash out and put rolls of toilet paper in the stalls.  Floors were still nasty and sinks were just as bad. I would expect more from this place! HEB has cleaner rr's than this place!....and better food."
Jo G.,"Houston, TX",226,25,41,5.0,5/23/2016,"Just had the herb salmon customized. I took off the mashed potatoes and asparagus. I added green beans and broccoli. It was sooooo good.  Everyone I had dinner with had amazing entrees as well. I capped off my meal with a strawberry lemonade. I had so much food I have leftovers for lunch and possibly dinner. Our servers were so attentive, which was good for a big group."
Donna H.,"Midlothian, TX",0,8,,4.0,7/8/2017,"Have been to the Cheesecake Factory in the DFW area several times, and have always enjoyed it.  Saw this one in Houston, and after a day of having mediocre food, we thought we'd eat here because they are consistently good.  Both my dinner and my husband's dinner were delicious. The wait staff was friendly, and in spite of the massive amount of diners there this Saturday night, the food came out fast and perfectly prepared."
Jeffrey C.,"Vidor, TX",2,23,,5.0,8/24/2017,"I had a delicious meal there last night. It was right next-door to our hotel.  I got the pork chop meal, and it was delicious.  The staff was friendly and super efficient."
Nereida G.,"Richmond, TX",28,6,,3.0,1/18/2017,The first time I was here wait was a bit long but I brushed it off. The second and probably last time I was there was for my birthday dinner wait to get our order taken after we were seated was about 30 minutes and we had to keep asking our waiter for everything which was frustrating. After we placed our order it took another 30 minutes then the food was brought to us except mine I was told it was accidentally given to the wrong person. So I had to wait another 20 minutes for my food by the time it came out I wasn't hungry anymore since I had picked at my friends food. I got it boxed to go. The manager did stop by to apologize and gave me free dessert but I just feel that it all starts with the waiter if he would of been on top of his orders we could have avoided these problems. Live the location hate the wait.
Monique M.,"Missouri City, TX",417,24,23,1.0,3/17/2017,I will never go back. The busser threw the crumbs from off the table and seats into the floor. Absolutely horrible!
Diana D.,"Wichita, KS",0,1,,4.0,7/3/2017,All the workers were doing a fantastic job. My salmon and steak were over cooked so they threw them out but made another one asap which was good. Mothers steak was way overcooked and the managers offered to pay for her meal and was very professional and calm about it. Would totally recommend this place for dinner!
