Username,location,friend_count,review_count,photo_count,rating,date,review
Cheryl L.,"Huntington Beach, CA",0,23,,1.0,10/25/2014,Went in for Happy Hour with a group of 10 on a Thurs evening at 5pm.  The bar was completely full so we asked if we could get Happy Hour in the dining room or patio. Both of which were empty. They said no so we went over to Bondi Grill and sat on their beautiful patio and enjoyed their Happy Hour. Won't go back to The Cheesecake Factory!!
Sadia C.,"Fountain Valley, CA",296,321,100,4.0,10/1/2010,"This specific location is my favorite! why? outstanding customer service each time! Its so hard to get good customer service lately -_- so i appreciate that this place is consistently great with service. Food: I have had many dishes from here and they are all good, not great. Only a few dishes here are actually really good. The complimentary bread served before your meal is amazinggggg. Cheesecakes are delicious, of course :) (esp the white chocolate raspberry, the tuxedo, the sundae and the dulce de leche). Price:  This place is a bit pricier than others because portions here are huge, so its worth it in the end."
Emily N.,"Garden Grove, CA",0,11,1,2.0,8/21/2014,"Cheesecake Factory used to be my favorite. I come here all the time and as the years go by I can totally see how customer service and quality of food has gone down. Servers usually never smile, food takes forever to come out..... I just feel like Cheesecake Factory has lost its value"
James T.,"Orange County, CA",210,150,12,4.0,9/6/2010,Nice spot to wine n dine. They have something for everyone. Try the Steak Diane and Herb Crusted Salmon combo for two to share.
Eugine Y.,"Westminster, CA",423,310,141,3.0,9/11/2009,"Any place that sings ""happy birthday to you"" on the day that commemorates your birth automatically sucks, but you already knew that.  It's situated in the otherwise useless Bella Terra. You've seen their menus right?  Them s#its remind me the of Nascar with all their sponsors and whatnot on/in them.  You can't frickin' turn a page in their catalogue of a menu without seeing an ad for diamond rings or gazebos to put in your backyard or even ads for a realtor that I'm sure isn't making a dime nowadays. How'd I end up here?  Well, after hours of deliberation my senses and I were completely watered down, so we ended up here.  This what happens when it's late and all your other go-to joints are closed for the night.  Don't get me wrong.  I've frequented CCF's, but they're never my first choice.  Although, nothing I've had is bad, nothing I've had turns me on to the point where I have had to adjust my pants in the crotch region to make room for a you-know-what ;) Our server this last time was Jeff.  Yes, Jeff with his style-at-the-time emo hair cut was quite the friendly and upbeat fellow.  So friendly it was downright annoying.   So friendly I wanted to take my fist to his face.  You ever get that feeling when you order and the server says, ""oh excellent choice"", that he's just BS'ing you?  And even if you decided on the liver and onions, he'd be all ""oh, that is quite the exquisite choice, sir"".  I feel bad, cuz he was a cool @ss kid, but whatever, whachu-on-do-eh?  Now take your skinny jean wearing @ss and get me some of that complimentary sourdough! Well, we ended up with stuff off their new smaller-cheaper-wannabe-tapas-section.  Their southern fried chicken sliders were what I needed in my life!  I thought Paula Dean had made them.  I tip my hat to you CCF.  Everything else was mediocre including the stuffed mushrooms that looked more like hardboiled egg yolks.  Also, I'm not a fan of FuFu drinks, but I must say, their Georgia Peach drink looks like a peach and is quite pleasing.  Still though, I stuck to my Sapporo beer and handed the GF her drink back.  Unwillingly, but I had to keep my manhood intact ;) I'm not a Cheesecakeologist, so I'm no expert on the subject on Cheescakeology.  I will say this though, their carrot cake cheesecake is pretty damn good.  No BS.  You know how I do, I come correct with the praise. What I am though, is a sneaker fanatic.  I can't help but stare at the dirty@ss sneakers that used to be white that they wear.  Look at them next time. They'll amaze you. But yeah yeah yeah, they're workin' so it's cool. Once you're done with your meal, there's really no where else to go besides Barnes and Noble to get your free read on.  Don't go towards the movie theatre unless you are a fan of lame@ss teenagers wearing skinny jeans that hang halfway down their @ss.   Straight up real talk."
Andi N.,"Huntington Beach, CA",59,109,,4.0,8/30/2012,"Good, clean, typical cheesecake factory. My favorite is the miso salmon;) Amazing cheesecake too, of course!"
Leslie B.,"Long Beach, CA",39,68,4,4.0,11/16/2009,"My friends and I came here straight after a butt kicking yoga session at Core Power Yoga (go check it out!) and were hungry monkeys. Our server brought us plenty of water and tea and was pretty friendly. She was very accomodating with our dietary needs (no pineapple and no wheat). Our food was served hot and was delicious, almost too perfect after working so hard on our bodies.  I was pleased with the service and the food, I know the prices are a little more than I'd like for lunch, but it was just fine to spend that today."
Bill E.,"Orange, CA",98,166,21,3.0,10/9/2010,I visited during lunch last week and sat on the patio. I ordered the black pepper Jamacian Shrimp which is one of my favorite dishes on their menu. The person with me also had the Jamacian Shrimp and Chicken which he also enjoyed. The biggest problem I have with this location is parking.. if you are just cruising in for lunch it is a pain in the but.. they have Valet but it is $5 with a restaurant validation. If you are in a hurry during lunch; this is not a quick location to get in and out based on the parking alone.
David N.,"Fountain Valley, CA",8,68,,2.0,1/24/2010,"It's been 10 years since I have been to a Cheesecake Factory, but we ended up here after discovering that the restaurant we wanted to go to at Bella Terra was no longer there. We arrived around 4:45, so the line wasn't too bad, but still there's a line. I don't know what it is that people go crazy for at Cheesecake Factory. The wife ordered the corn fritters appetizer, but it was rather bland. We were hoping for something either sweet or savory, but it was neither. The dipping sauce had a little kick to it, but I don't do to well with sauces, so I only had a little. The Chicken Medallions my wife had were alright. She didn't really like the sauce the used and the rice was kind of dry. It was kind of like someone was going to stir-fry the ingredients, but then decided not to at the last moment. I had a Classic Burger which was quite good and tasty. It was so filling that I barely touched the fries, which were also good. The service was quite good though, especially for a busy Saturday. For the prices, I would expect a lot better than Cocos-level food. I don't think we will be back if we don't have to."
Shong H.,"San Jose, CA",496,541,208,3.0,1/31/2008,"What can i say .. its cheesecake factory! and you can't leave without ordering their cheesecakes. Onto the cheesecake deserts later ... The place is usually packed at night, so be prepared to look for parking or drive to the structure.   They have a lot of items to choose from from their menu, so if you're an indecisive person, it might take you a while to come to a conclusion on what you want to eat. Unless you know exactly what you came for.  The waitress was attentive until we got our food, then she never even refilled our drinks.  Not even when we were like down to the bottom =( boo! I ordered their shrimp with angel hair and it was kinda dry.  It had chopped tomatoes on top.  Nothing too exciting.   When I got to the desert, I found that my fave cheesecake from there wasn't on the list??!!!! wtfreak!? I came in just for that slice ... so I went home unsatisfied even though I ordered my second fave, the adam's peanut butter one.  Still .. theres a void in my heart, and I don't know if I'll go back there anytime soon.  Not just here but at any cheesecake.  The food's mediocre .. and the service can be bad at times because they are busy and may not be aware of your needs all the time."
