Username,location,friend_count,review_count,photo_count,rating,date,review
Trina M.,"Fresno, TX",102,380,58,2.0,7/8/2016,"M'kay, so, like - I'm probably one of only five other people on the PLANET who'd never been to a Cheesecake Factory.  Why?  Dunno - just haven't, sue me.  Well, this location is in the Vegas Premium outlet center and after losing my mind in Michael Kors and other stores, it was time to eat and get out before I had to get a 2nd mortgage on my house to support my shopping habit.   Anyhoo - the atmosphere is nice, decor is great - the low marks I give this are for the 1) service and 2) regular food.  I have been to the sister spot, Grand Lux and GL seems to be better to me.  As far as service, our waiter was SLOW and had attitude.  It took forever to just get water, he forgot to bring bread to our table and when I told him one of the things I wanted was for to-go he got snippy with a 'you should have said that first' - UM, excuse me?  Anyway, the salad I ordered to eat there was over chopped - that may be weird to say but I like to see whole leaves in my salad - this one was over chopped like shredded lettuce in the store.  But it tasted good.  My friend ordered these buffalo chicken tenders that for some reason had the buffalo sauce on the inside - nah - I gotta skip that in the future, that's just not right to do to chicken.  BUT - the Turkey burger is BAE!!!  That tasty somenother gave me LIFE!!!!!  The caramelized onions on it are the thing dreams and rainbows are made of...... mind you I ate this later on in the day in my hotel room after several rounds of drinks but trust me, my taste buds know good burgers even if they are reheated.  There is location near my house and I intend on stopping in to grab some cheesecake (the one thing I did NOT do on this visit) - so we'll see if I feel better about them then.  Otherwise, pass for me, I'll Grand Lux it out."
Christine S.,"Las Vegas, NV",256,204,843,3.0,2/27/2016,"I thought it was pretty neat that there's a Cheesecake Factory at the North Premium Outlets. After a long day of shopping, a good meal is always a great idea. I ordered the BBQ Ranch Chicken Salad & it was good. The serving was huge & it was tasty. My party of 17 was seated in the extended seating section. The area is more private, less busy, not as noisy, more windows, & the lighting was brighter. It was great to be seated there, but we were also forgotten by our server. After ordering our meals, she didn't come back to check up on us & we had to call another server to get her attention a couple times (or even requested for items from a different server since that seemed quicker).  Despite this, the food was good, their free bread is delicious, & the ambiance was like all the other Cheesecake Factory chain."
Shawna P.,"North Las Vegas, NV",24,6,,1.0,9/10/2017,"Worst Cheesecake Factory I've ever visited. Bathrooms were filthy. I asked one of the hostesses to please send someone to clean them and she said they were just cleaned!  Although the waiters were friendly, He never did get my drink order correct. I finally just drank what he brought me. Food service was slow. Except for the waiter, the rest of the staff I encountered was rude."
G.A V.,"Las Vegas, NV",0,20,1,3.0,9/7/2017,"Food is outstanding, menu very diverse, didnt like being taken to back seating area where it appeared they sit all families with children, our server left me a little more to desire by valentina, ordered coke, she gave me diet coke, she said sorry, ordered white rice and was given brown rice, we ate it only for reason because she took ten minutes to check our table once it was served..again she apologized, when she finally checked pur table we advised her of the error and she actually went back to check her written ticket to verify we were telling the truth,  it would have been the perfect visit if she was able to handle the 4 tables she was sat. Not sure yet if i will return, again food is amazing!!"
Turina W.,"Las Vegas, NV",0,1,,1.0,1/30/2017,"Called in my order for curbside to go. I was told the order would be ready in 15 to 20 minutes. I arrived 15 minutes later and parked in the appropriate place. I called several times to let them know that I had arrived. 45 minutes later I went in to get my order. So much for curbside service. The managers excuse was simply, "" lack of communication from the front desk"". And he also stated that this location don't get much business from curbside.  Unhappy customer."
Corabelle G.,"Las Vegas, NV",1125,467,832,3.0,10/24/2015,"I haven't ate at a cheesecake in a very long time.  It was a little confusing because the entrance that's located in the shopping area of the outlets mall is at the back of the restaurant so you have to walk through the restaurant to get to the hostess stand. Honestly I never liked that because its weird. Anyways, just an opinion..so as we got to the hostess only for us to tell us its going to be 15-20 min. Odd to us because since we walked through the restaurant we saw it was completely empty so 15-20 min? Ok... We were sat after about 10 min and we were greeted by one server who said she would give us a few minutes after taking out drink order.  A couple minutes later another server comes up and greets us and asks if we would like some bread, we say sure. The first server comes back with our drinks and starts to take our order. The second server comes back with our bread, sees the server taking our order, says to her she can do it and then......they proceed to argue about who's table it is. Uhhhh??? So needless to say that was interesting.  So moving on we place our oder, get our food and the food was pretty good. I had the ahi tuna salad which was extremely tasty and very fresh. We also ordered a burger which was huge! The food saved this experience for us."
Tamara W.,"Las Vegas, NV",0,9,4,4.0,11/3/2017,"When the Cheesecake Factory opened at the Premium Outlet mall downtown, I was super excited because it is close to both my job and my home.  My boyfriend and I have been  there for the grand opening, and we have been there many times since mostly for the convenience.   EVERY time we've been there it has been a disappointment!  The food was low quality and I especially remember how disgusting the restrooms were!  We were convinced it was a CF in name only, the employees didn't care  and the owners were not going to make ANY effort to provide the great food and customer service of others because it's in a 'tourist spot.' Tonight we were pleasantly surprised!  I ordered the Tuscany chicken, it was hot and flavorful.  My boyfriend's chicken Madero was just how he ordered and he ate all of it.  When I went to the restroom, there was someone cleaning it and filling the TP!  Our server had a large party in our section due to a bday, but she handled it like a pro and was super attentive.  FINALLY, we feel it's the REAL CF and will come back! The only complaint I have is we ordered a piece of the 6 layer chocolate cake to go, it was cut sloppily and not very big, other than that was good."
John O.,"Las Vegas, NV",278,335,613,4.0,11/25/2015,"This was the first time I have ever visited a Cheesecake Factory, and they set the bar for me and my future visits.  The Cheesecake Factory has a large selection of items on the menu, as well as a large selection of cheesecakes to choose from for dessert. Anything that you may feel to be in the mood for, they will have it from pastas, to burgers, to steaks. My personal favorite is the Hibachi Steak and I have many favorites for cheesecake, especially the Oreo cheesecake. You honestly can't go wrong eating at the Cheesecake Factory, and this location in the Premium Outlets North is generally pretty dead at night, especially after the mall closes, so it's the perfect place to eat at with a big group, or your date."
Marc M.,"North Las Vegas, NV",0,7,11,1.0,4/9/2017,"Outlet Mall. I have Celiac Disease and I ordered Gluten Free Four Cheese w/Chicken Pasta. It tasted great until I finished half of my meal.  See photos.  I specifically told the waiter I had Celiac Disease,  he indicated that he understood. My wife ordered spaghetti,  I would say the same strainer for her spaghetti was used for gluten free noodles.  Behind the scene, cross contamination inevitable.   The manager was apologetic and though I didn't pay monetarily for my meal,  I'll pay physically."
Erica D.,"Manhattan, NY",2,18,4,1.0,6/25/2017,Another wilted salad... Cobb salad with barley any avocado or bacon... and for this price it should be organic... but no! Oh and thanks for the mall employee discount (that doesn't exist)!
