Username,location,friend_count,review_count,photo_count,rating,date,review
Ray M.,"Las Vegas, NV",44,19,33,4.0,1/9/2018,"""Why you gotta fight with me at Cheesecake? You know I love to go there Say I'm actin' lightskin, I can't take you nowhere This a place for families that drive Camrys and go to Disney"" - Drake My roomie likes two things: Drake and Cheesecake Factory. And she had gotten a particular Drake song in her head and asked if I could take her to Cheesecake Factort. It was her birthday after all.  This Cheesecake Factory is located in the Boca Park shopping center in Summerlin. Not hard to find as it is probably one of their anchor stores for that shopping center. Maybe it's the location [you are in Summerlin afterall] but this location seems more elegant and dressed up than your average Cheesecake Factory. Parking can be a hassle but there are valets outside. Anyways, on to why this is a 4 star rating. My girlfriend and I took my roommate to dinner for her birthday yesterday. As soon as we entered the girlie and I took a seat while my roomie gave the group's name to the hostess. We had sat down and were called almost immediately! Talk about service.  Our server was a very nice woman named Cathy B. who was very attentive. I'm HUGE on customer service and recognize it whenever I see stellar service. She was a sweet, kept our drinks filled, took our plates away as soon as we were done eating and we were even able to get her and the rests of the servers to come over and sing 'happy birthday' to the B-day girl.  The total experience was excellent and left an impression on me. And that's a big plus because I'm generally not a fan of chain restaurants like C.F. or Olive Garden. Now on to the food. For an appetizer I had an order of buffalo chicken wings. They were yummy and had the right amount of zing to them. The best thing I had that night! For dinner I ordered the Bacon Bacon Cheeseburger. It was cooked to order and even had pork belly in it. It wasn't great but it wasn't bad. Pretty average. And the only reason I can't give my visit a perfect rating.  I did have a bite of the Oreo Dream Extreme Cheesecake and it was good. I don't have much in terms of a sweet tooth so I can't say that the cheesecake wow'ed me but it did was plated very beautifully. Nice job on the presentation."
Tiffany Z.,"Las Vegas, NV",1358,228,1847,4.0,1/3/2018,Cheesecake Factory located on Rampart in Las Vegas NV has definitely improved their game. Finally!! Restaurant was clean. :) Hosts were friendly. :) Matt our server was OUTSTANDING!! :) Food was cooked perfectly and my Cobb salad was delicious!!! :) Chefs are doing a wonderful job preparing and plating food. EXCELLENT! :) Looks like Cheesecake Factory is definitely back to a restaurant worth recommending! Enjoy! :)
Melissa S.,"Las Vegas, NV",250,10,4,2.0,12/27/2017,"Our family loves The Cheesecake Factory. However, this particular location taints their brand. I have come here so many times for family events and despite our hopes the service will get better it never seems to. The knowlege of our server was unacceptable. Showed up at 4:15pm on a Wednesday. We were seated within 5 minutes for a party of 6. I went to the Restroom upon arrival and it was a mess. Also there was only 1 stall with toilet paper. Drink orders came along and I asked oir server Tara G what they had for tequila. I was told Patron. I asked if there were other silver options and was told no, just Patron. I passed and went to the bar to order instead. Come to find out there was 4 options of silver tequila. Don Julio & Patron being the most expensive naturally.  We wanted to order appetizer, but after recieving our drinks our waiter took too long to return to our table. We ended up just ordering our entrees. I asked if my dish the Diane and Salmon came with asparagas and was told no, so i ordered some on the side. The dish comes out and there is asparagus with it, and a side of asparagas as well [which of course I had to pay extra for].  My sister ordered the chinese chicken salad. The salad came dry with no oranges.  I noticed the food runner come out and have a conversation with out waiter where they looked at the food delivered to our table. It seemed as if they realized the wrong salad was delivered, but upon us questioning it we were told no thats what you ordered. At this point we just asked for a side of dressing and oranges. For the price and location I honestly would expect better management and training of staff."
Christy K.,"Las Vegas, NV",37,86,161,5.0,12/17/2017,"The Cheesecake Factory is my favorite restaurant! I love their flavors and portion sizes (especially portion sizes for their salads). Their cheesecakes are to die for, but the calorie count is beyond belief and just might kill you (as is the case for most items on their menu). I love the brown bread they bring to the table when you arrive and their passion fruit iced tea is the bomb! Of course, the avocado eggrolls are exquisite, but I seldom order them. Instead, I found a recipe that tastes exactly the same so make it at home. Making the recipe, though, shows why their food is so good--they use unique and quality ingredients and their dressings and sauces include many, many ingredients (many of which are hard to find). I usually order a dinner salad, eat half of it, and take the rest home (asking for a little extra dressing in my take-home bag). With the remainder, I can make two more meals simply by adding extra lettuce.  The Cheesecake Factory is not cheap so is truly a special treat. They offer take-out so are a great option when traveling and don't feel like going out to eat or ordering room service."
Anum W.,"University, Las Vegas, NV",187,69,226,5.0,10/23/2017,"CHEESECAKE. Cheeeeeeesecake. Who doesn't like cheesecake?! & when you add a restaurant where the servers applaud you for eating dessert before dinner, why would you NOT go?  It wasn't my first time at this location, but it seemed like a LARGER location than the others around town. The wait was approximately 20 minutes, so my friends & I bought and ate a mango lime cheesecake first. It was tart, the ingredients perfectly blended, perfect for my sweeeet tooth.  For dinner, we skipped the appetizers and went straight to the entres. I could use a lot of words to describe each dish, but pictures are worth more.  Great service! Amazing food! Tons of options!"
Susy K.,"North Las Vegas, NV",39,47,106,5.0,10/5/2017,"About 2 weeks ago 8 of us came here at 11am for brunch. Usually at other restaurants will charge you the gratuity automaticly for party of 6 or more but this cheesecake factory didn't charge. Great service & good food. Everybody were really nice there, the host (RYAN & VADA), our server ( I forgot his name roberto or ricardo) They have a lot of food selections & specialty under 500 calories also a lot of cheesecake to choose from  Their lunch special from 11am-5pm. Each of us order different food. Maybe you think a little bit pricey but you get a lot of food. We were not even eat half of our food, too much food so We all have left over to take it with us . We all love with our ordered We had a strawberry cheesecake (their original cheesecake top with a big piece of strawberry & a little bit strawberry sauce) & fries to share. Their fries is what  fries should be, I wish other places that sell fries do what like this place do. It is hard to explain but We love it I ordered chicken bellagio $16.59 - 2 pcs crispy coated chicken breast over basil pasta & parmesan cream sauce top with prosciutto & urugula salad. REALLY REALLY GOOD I also ordered a slice of chocolate hazelnut crunch cheesecake to go but I prefer their original. We will definitely come back"
Jamie P.,"Las Vegas, NV",102,430,758,3.0,9/7/2017,"My family and I came here for my birthday dinner at 5pm on Saturday 9/2/17. It was busy inside but we only had to wait about ten minutes to be seated. Our server brought waters and bread right away and everything was off to a good start. The menu here is massive and I never know what to order. They have over 200 items, how can you decide?!? I finally chose the bacon-bacon cheeseburger with fries, mainly because I am obsessed with the ranch here and wanted to dip something in it. Yeah, I am a ranch freak. Side note, you can buy the ranch and all of their dressings to-go.  So we all order and then wait for our food. I expected there to be a long wait but it was pretty quick. Everyone gets their food but my grandma. Also, I realized I got the wrong burger. When our server comes back, he apologizes and says he will get those out right away. 20 minutes later, me and grandma still have no food. Everyone else is pretty much done eating at this point. Finally our food shows up, and by this time my appetite is gone so I take everything to go. We also ordered cheesecake, because duh. I ordered the pumpkin, (seasonal) and since it was my birthday, they brought it out singing. I love being embarrassed on my birthday, said no one ever. Our server was able to get the manager to comp some of our meal, which was much appreciated. We probably won't be eating here again anytime soon, but I will be back to get some cheesecake."
Richard L.,"North Las Vegas, NV",9,1,1,1.0,1/4/2018,"To start off the macaroni balls were scrumptious! It all went down hill when I chose the chicken & biscuits, what in the world was I thinking. When the food arrived the smell already threw me off, then I poked at the biscuits and they were harder. They felt like they were made days ago. I continued to poke around and really enjoyed the mashed potatoes but the chicken. Let me tell you. It felt like it had been microwaved and had a really rubber texture to it. No word on when I will be back but definitely not going to recommend this entree."
Leah M.,"Las Vegas, NV",276,47,20,4.0,11/16/2017,"Cheesecake factory is great for their extensive menu and delicious cheesecakes. I rated a 4 star because it's difficult for me to ever give a chain restaurant a 5 star strictly because I like authenticity. On the expensive side, the food and cocktails are delicious.  I do really appreciate that they do NOT use Styrofoam for their to-go boxes."
Dana G.,"Las Vegas, NV",12,46,4,5.0,11/6/2017,"Normally I don't review chain eateries but I'm feeling inspired after tonight's takeaway dinner. It's all too easy for National chains to slip into mediocrity (my fave eatery phrase). Many start with ideals of quality, sourcing, and customer care, and get shoddy over the years. Not so for the Cheesecake Factory. Year after year, ingredient quality, service and food prep stay at a superb level. Tonight: Sheila's chicken and avocado salad. The greens were super-fresh and included chicory, arugula, and baby spinach. Crispy won-tons (I removed mine), cashews, moist breast slices, perfectly ripe avo's, and a few other items rounded things off. As a carb-conscious diner with a healthy appetite, this dish was most satisfying. In the past, I've also enjoyed the Asian chicken salad, grilled salmon with mashed (ok, it was a carb-splurge day ;) and 3-4 other dishes I can't recall. Their managers are even gracious if there's ever an issue. My ""only"" humorous-complaint is their menu listing several pages of ""specialties"". If everything is ""special"", then nothing is. But this is a trivial thing. Their food rocks!"
