Username,location,friend_count,review_count,photo_count,rating,date,review
Mark K.,"Miami, FL",71,1,1,1.0,1/16/2017,Service was good. But there was a very large lizard that would stroll the area. It seemed to have some type of issues and was attached to one of the waiters. But it continued to agrivate my date. She was very confused by the situation. I don't recommend this place. I'd you don't like Lizards.
Bennet M.,"Austin, TX",224,236,423,4.0,5/21/2014,"YES PLEASE!!!! I'm a big fan of cheesecake and in love with their Dulce de Leche one. Believe it or not, their pumpkin cheesecake is so scrumptous!! Takes just like pumpkin pie if you're into that stuff. They only have it during the holidays so try it out if you can. I try to get something different but I'm in love with the Pasta Da Vinci. This plate is huge so I end up sharing with someone else. Always on point! Customer service is pretty good. They're always friendly to us and never leave us with a glass that is half empty. Not a big fan of their drinks so I stick with wine. Try not to go here during the weekend, if not, just be prepared to wait for a while. I mean it's Dolphin Mall, this place never sleeps. Yes the food is good but I come here so I can complete my order for what it is known for. CHEESECAKE!! Haven't tried a better one so until then, I would continue to get my Dulce de leche cheesecake from the Cheesecake Factory :)"
Melisa M.,"Miami, FL",43,10,6,5.0,4/24/2016,"I have come here several times, and every single time I'm amazed at the amazing quality of this restaurant. I have ordered several different dishes and the food is always amazing, and the service is always on point. There are very fee restaurants that leave me wowed every time i go but this is one of them."
Ruben G.,"Manhattan, NY",0,2,,1.0,12/26/2016,"I unfortunately have to give them only one star due to their policy of not taking reservations for large parties. To not take a reservation for a party of seventeen is BEYOND RIDICULOUS. We're here at the moment and all seventeen of us have been waiting for two hours and counting, and the hostess just told us that she has no idea when they'll have a table available for us. Making matters worse, the service at the bar while we've been waiting has been incredibly slow. The food may be very good, but it's not good enough for this..."
Larry B.,"Miami, FL",92,48,219,4.0,2/9/2013,"My great friends J.C., A.C., and I decided to come have a late lunch at this establishment after a series of text messages that involved a list of plausible locations to eat at.  I reluctantly agreed to come to the one at Dolphin Mall. Why reluctantly? Because I dislike the mall. It's always packed with children, tourists, and the worst thing.... the parking it's a mission! I was thinking ""Ok... we will be waiting for a good 40 minutes or more."" and... .Oh was I proven wrong! They told us the wait was going to be 15 minutes and it literally took us like 10 minutes to get seated. I ordered the soup of the day ""Cream of Chicken Soup."" It was EXQUISITE! But that was not all. I also ordered the ""White Chicken Chili"" which I've had one other time in the past along with a passion iced tea.  My friend J.C. ordered the Island Grilled Chicken. When she read the ingredients and saw that the chicken was glazed with soy she became skeptical. I told her to give it a try. That if it tasted bad to blame it on me (as if that would fix the problem if it truly tasted bad right?). Anyway, she was really pleased with her selection and the chicken was actually very flavorful, tender, and juicy. HEY J.C.! - JUICY MOUTHED! LOL Her husband A.C., ordered one of his favorite plates Chicken Alfredo (it suits him right) lol. He said it was great as well. Although it was literally showered with grated cheese because he did not tell the poor waiter to stop grating cheese until after what seemed to be like a whole two minutes. Poor waiter!  When it came time for dessert nobody really ordered any except me who ordered a Cappuccino.... in all honesty... I've HAD BETTER. If the cappuccino would have rocked my socks I would have given this review 5 starts. lol Maybe next time they'll be worthy of 5 stars. I am very stingy with my stars. I must be impressed!"
Alex G.,"Miami Gardens, FL",153,3,,5.0,7/13/2016,Went during a shift change earlier today and the service was ...alright. I'm not one to complain but It would have been horrible had it not been for an older man named Carlos who was bussing at the moment. He was the only one who didnt ignore my eye contact out of the rest of the staff that kept walking by while I was waiting for utensils. Shout out to Carlos the busser for holding it down when the rest of the staff (managers included) failed. He saved my dining experience.
C M.,"Miami, FL",2,188,383,4.0,8/13/2015,"Well I'm back at this location, son ask to go & I could not decline.        On 8-5-15 we go with son, granddaughter, Wife & I. We had lunch & started with Appetizer. Crab & Artichoke Dip, for the little one son order Kids Sliders. Later son order Lunch Orange Chicken & Wife had Skinny Veggie Burger with Skinny Caesar. I had Lunch Chicken Piccata.       Now for the service, food taste & quality was improve from last time that we have attend this Establishment.      The sad part was that we did not have dessert because we where running late for  an appointment. Next time it will be :-("
Maylin G.,"Miami, FL",15,28,37,3.0,2/17/2015,"I was craving for crab cakes and this place has good ones. The place is always crowded, food is ok.. we ordered the wacamole which was acceptable ( we have to remember this is not a mexican restaurant so) the crab cakes excellent as always. Also ordered the carbonara with chicken and it was good. Service wasnt good I ordered something and they never brought it but they included on the check I bet our server had a bunch of tables and that was why... he was nice but I felt unattended."
Cassie Y.,"Dumfries, VA",0,20,5,2.0,12/15/2016,"I love Cheesecake Factory. I've been to this Location twice and both times service was absolutely horrible. The first time (I wish I remembered the waiters name), he asked if we were ok once. Brought out our appetizers with the meal, and never even acknowledged it. I was sitting outside during this experience, so the second time I sat inside and thought maybe it would be better. Nope. Our waiter, Paul, was completely absent minded. He checked on us, again, once and literally walked around and paced the restaurant instead tending to us. Had my drink filled once, had to ask another server for my check, even initially coming to take my order took fooooorever. The waiters here defiantly need some training. Hopefully it was just the two that weren't so great because I really like Cheesecake Factory."
Lino V.,"Miami, FL",26,116,30,5.0,2/22/2016,"Man what's not to love about this place! Portions are huge, the dishes are always delicious, and the service is good. Been coming to this location since it opened as it's close to my house and it's always great."
