Username,location,friend_count,review_count,photo_count,rating,date,review
Kara M.,"Fort Lauderdale, FL",271,647,3103,5.0,11/26/2017,"We stopped in here on a weeknight to take advantage of the happy hour deals.  If you sit in the bar area there are some really reasonable happy hour specials available on food and drinks. The happy hour food options are the same size portions as the regular menu, so you are saving a decent amount. Dawn was the server and she was super efficient.  She was great about checking back on us too! We all ended up ordering appetizers from the happy hour menu and liked what we had. The best part about CCF is the dessert.  I highly recommend grabbing a slice of cheesecake and taking it home for later.  I always leave this establishment stuffed!"
Laura B.,"Naples, FL",309,134,401,3.0,7/29/2017,Well the hostess was nice but the whole m say us down at the table had an attitude.  Had to wait for 20 minutes for some to just say hi and had someone took you order our waiter came he said he was sorry that nobody else had took our orders we made our orders and the food was great
Syl H.,"Bonita Springs, FL",1,44,94,4.0,11/25/2017,"So great to be back in Bonita Springs away from the cold winter. While in Naples, one  of our favorite go to chain is  The Cheesecake Factory. We don't have one at home so it's always nice to get away from winter and enjoy a meal on the patio. While they have a large menu to choose from. We love their lettuce wraps with extra chicken on the side. If you don't like eating with your hands, this meal is not for you. This meal is, tasty and full of flavours.  Don't miss out, give it a try."
Chuck W.,"Pittsburgh, PA",3491,98,790,4.0,12/29/2017,"As good as any Cheesecake Factory. Can't really go wrong. You know you are getting good service, decent food and a unique ambiance."
Larry B.,"Miami, FL",92,48,219,4.0,6/30/2017,The cheesecake factory never disappoints. It was my first time eating at this Naples location and we got seated rather quickly (take that Miami).  I ordered the Thai-Coconut-Lime Chicken (Definitely  give it a try). It is a nice sized portion and it was delicious. It comes with regular rice but I decided to substitute the regular rice for brown rice instead (big mistake). The brown rice was soggy... Almost to the point of being a risotto. This is the only reason why I'm giving 4 stars.  If you like curry and a bit of spice in your food this is the plate to order. It also has bits of mango chunks.... Mmmmm Mmmmm good. I accompanied my food with red sangria (very refreshing).  My friend ordered a chargrilled New York steak with asparagus and mashed potoes.... She reports that her food was great and the steak very flavorful and juicy. Greta job!
Alicia R.,"Naples, FL",87,106,155,4.0,5/26/2017,"It's always hot or miss here, this time was ""hit""... I ordered the truffle grilled cheese sticks and they were delicious! I love truffle oil.... I also ordered a pear, blue cheese and caramelized onion flat bread, I'd definitely recommend both dishes. However stay far far away from the veggie burger lol..."
Meghan Z.,"Kansas City, MO",0,163,14,2.0,12/30/2017,It's a chain. It tastes like one and operates like one. Anyone going here knows that. Nothing spectacular to share nor negative. Always over crowded. Even a long wait to just buy cheesecake (the best thing on the menu) and go. There are plenty of other local bakeries with amazing cheesecake as well. Not a fan.
Elizabeth D.,"Naples, FL",23,57,28,4.0,11/23/2017,"I have eaten here twice so far and honestly I'm not in love with the food but it does give a satisfying feeling. The food is definitely on the saltier side but if you add some hot sauce or pepper flakes it is perfect. At first the prices seem way too high but when you see the portion sizes, they make more sense. Even with the huge portions, it is still on the pricey side, but let's be real. This is Naples. All in all, I'm not itching to come  back but I'd happily eat here again."
Charmin H.,"Naples, FL",54,58,294,3.0,7/23/2017,"There's not a time I come here and there isn't a wait. Wait time isn't that bad but be prepared to wait around until they find a table. They have a large menu with different varieties, which is great. The waiters are fairly nice but they sometimes look overworked. There's indoor and outdoor seating, and also a bar area where you can seat yourself. This restaurant is location right next to the coastland center mall (walking distance). Located 2 mins from downtown Naples. This place is great for breakfast, brunch, lunch and dinner. Get here early to avoid long wait time"
Foodie K.,"Irvington, NY",13,230,2250,5.0,3/28/2017,"Always great at a Cheesecake Factory. Last night we had the Chicken Madeira this time, Eggplant Parmesan and Chicken Bellagio. And of course the all time fave appetizer....Avocado Egg rolls!!! Have been at these restaurants since 1990 on the NE coast. Always great, always consistent. Dining on the patio was more comfortable than freezing cold inside.  Our server, Christian D. Last night was right in top of things. He was great. Thanks again Christian!!  Remember us? The two couples who took a long time to order and left 2 1/2 hours later. LOL. We won't see each other again till November."
