Username,location,friend_count,review_count,photo_count,rating,date,review
Arthur G.,"Oak Lawn, IL",28,10,1,5.0,8/7/2012,"This place is great looking. Interior is nice, has a classy touch to it, and the service was wonderful. They have a really large selection of items from small appetizers to large entrees and of course their numerous selections of cheesecake. I went on Valentines Day and the services was surprisingly on par. My tip is that if you're planning to go on VDay, be warned that they don't take reservations and the wait is an hour plus. Try out their steak and salmon combo. It's really good. Plus they give you a big load of mashed potatoes. I recommend this place for either do casual dining or taking someone here for a date."
-Jwa C.,"Chicago, IL",1,4,1,3.0,11/3/2010,"My family ate at this place for the first time last week, the service was very good.  We didn't even have to wait that long to be seated , athough the place was crowded.  After we were seated, our waiter came over and took our orders. I ordered the ""Evelyn's Favorite Pasta"", My husband ordered ""Fettuccini Alfredo"" with chicken, and my daughter ordered a ""Charbroiled Flat Iron Steak"", shortly after, our waiter brought our food.   I was highly disappointed when our food arrived  'cause as long as I've been eating at The Cheesecake Factory all around, I have never gotten such small portions.  Don't get me wrong it was enough, but the amount of food they brought  us was normally the amount that we were use to   taking home from any of the other Cheesecake Factories that we've eaten in in the past (Skokie, Schaumburg, and Downtown Chicago mainly), my daughter steak was about 1/2 the size of what we were use to getting.   However, the establishment  appeared to be nice and clean, and the staff were friendly & nice.   I like the Cheesecake Factory in Downtown Chicago the best of all!"
Arlene G.,"Oak Park, IL",93,905,,4.0,11/30/2009,"Ate here with my bro and mommy so we could use his gift certificate. We ordered 3 appetizers and shared them all. The nachos were ok, but nothing too special. It needed more salsa dispersed around the chips. The mini burgers were good, but the buns were bigger than the actual patty. I didn't like that even though the burgers were tasty. Last but certainly not least, was the lettuce wraps. This was my fave! The peanut buttery sauce was awesome! It's like the dip you use for chicken satay in Thai restaurants. YUMMY!"
Cory K.,"Crown Point, IN",4,25,19,4.0,4/4/2012,Extensive menu. We enjoy this restaurant a lot.
Taeler H.,"Chicago, IL",135,229,140,5.0,12/28/2011,"I really like this place. The decor ks trendy and nice, I consider it to be like an upscale casual eatery that specializes In cheesecake. It's a little expensive but it's all worth it. I've never had anything from here that I didn't like. My only complaints are the slippery floors and not having the option to do half size entrees at dinner time. Their appetizers are big enough to be a meal for one, and their dinner entrees are so big you'll either have leftovers or be so full you won't need breakfast the next day."
Zach T.,"Lisle, IL",103,419,,3.0,1/27/2009,"The menu is a huge confusing heap, as with all the links in this chain.  The decor made me feel like I Was in Vegas or Myrtle beach... The food is BLAND CITY.  When you do stir fry, Pizza, burgers, and mexican, you can only aspire to a TGIFridays level of aptitude, and that's where this place is. Knowing this, we went down for mini burgers, Pizza, and a Chop Salad.  They were all fine.  That's right.  Fine. Service was great.  The drinks were GREAT.  I had the Gin Rickey and it really hit the spot. This place gets as good a review as it does, because they gave my wife and I and our 2 small children a HUGE circular booth.  That made things a lot easier on us.   The cheesecake is likewise excellent.  If I were you, I'd eat elsewhere and have dessert here."
Liz W.,"Chicago, IL",54,259,52,4.0,5/2/2011,"I tend to stay away from chain restaurants because I'd rather eat at a local restaurant instead of a place that infuses their food with sodium. I did make an exception since I love cheesecake factory and the bf has never ate here. Of course the wait was about 30 min on a Sunday evening. At first they sat us in this tiny cramped area, but they saw that my bf was on crutches they offered us a booth right away. Score!! I ordered the lemon baked chicken with mashed potatoes and oh my. That chicken was so tender and flavorful. I was so full I only ate half. Of course all their cheesecake is delish, but I didn't want to gain 5 lbs."
Dan P.,"La Grange Park, IL",14,58,23,3.0,3/27/2012,"Food is always good, as well as the atmosphere.  Only negatives I have for the place is the service and the lack of reservation system or call-ahead service.  I'm not being picky, with at least a reservation service, it will cut down on the wait times for customers (a lot of people leave after hearing the wait time, the maximum I've heard was 2 1/2 hours).  And the 2nd note, when you have A LOT of waiters/waitresses, you'd expect better faster service than your typical restaurant, but no.  As I said, I love the food, drinks, and especially the cheesecake here, just wanted to give a honest review."
Jean K.,"Lombard, IL",141,175,6,3.0,10/26/2009,"Huge menus, decent food and high prices. I'd return for the cheesecake but not much of anything else"
Diane K.,"Bartlett, IL",0,18,,4.0,4/24/2014,"Long wait to get in for dinner on Saturday nights (even if you get there early), very crowded waiting area. Service was good, food was excellent, miso salmon was delicious! My friend loved her herb crusted salmon and loves their cheesecake."
