Username,location,friend_count,review_count,photo_count,rating,date,review
Bryce S.,"Tucson, AZ",0,3,,5.0,10/24/2017,Went in and ask to watch the World Series and sat there thru 2 innings and bartender still didn't change channel.  I left I believe in 2nd chances... in this case 3. My hotel is near by and this is my place of choice due to the selection of menu. That first time was a disappointment however have come back twice now and service and food have been great.  And they had they've had the World Series on! :)
Katie H.,"Manhattan, New York, NY",11,13,,4.0,8/13/2017,"This location never empty, always busy. I love their bread, warm and fresh. Good portion, good price and friendly service.  Don't forget to get the cheesecake!"
Nellie C.,"Overland Park, KS",232,141,335,5.0,8/11/2017,"First of all....we found a non-bar in Overland Park, that stays open til midnight?! #stillshocked #butfirst #CHEESECAKE The hubs and I first endulged in our cheesecakes, then we got an entrée and I got an appie. It was totally still popppin' off and the weather was great, so the outside seating was full too. I love seeing people out at nite. (Heart of a city girl.)  If we went to a bar, then we only would've gotten deep fried something and, forget about dessert (a statement that would never actually come out of my mouth! Hah! Pun intended)  Needless to say, it was so great to still have kind and speedy service, despite the crowd and time of nite."
Dina R.,"Kansas City, KS",98,90,213,3.0,5/21/2017,"The Drinks are always fenomenal here.  I would really recommend there Mojitos - super Refreshing. I also tried there Long Island and it was super strong - great drink.   Am not too crazy about their food it's a Hit and Miss for me, Sometimes you get Good food others Ok food.  Drinks and Desserts are always fantastic only reason why I keep coming back !"
Angie H.,"Wichita, KS",21,101,89,5.0,6/24/2017,"This is and has for years been in my top 5 places to eat.  Unfortunately (or fortunately, for my waist line) we don't have one in Wichita, so I have to wait until we are in KC or Vegas to eat here.  I prefer this location over the Plaza one simply because it's easier to access and seems to have a quicker turnaround. The problem with the huge menu where everything sounds delicious is that because I so rarely get to eat here, I have to order the meal that put this place in my top 1% in the first place...the Chicken Picatta.  (I just got goosebumps typing that...cue the drool cup).  Yeah...it's a major cheat meal for this gluten-intolerant gut of mine...but soooo worth it!.   I did one time order something gluten free which has now become my hubby's go-to after he tried mine.  That's the Steak Diane...it's pretty damn drool-worthy itself.   We always get a couple of different cheesecakes as well...one to share and one to take with us.  This time we had one of our trusty regulars, the Banana Cream...it's not as rich as some, so we can actually finish it in one setting.  Then we took a new choice, Chris's Outrageous with us...if you like Mounds candy bars or German chocolate cake, this one will tickle your fancy.  Can you really go wrong with any cheesecake that has some combo of chocolate, caramel, peanut butter, or chunks of some candy bar?  Me thinks not."
Kyle A.,"Springfield, MO",66,218,239,5.0,8/22/2017,"Really great food and service. I had the Parmesan chicken sandwich and salad with vine-gret dressing and both were outstanding. The sand which was on a fluffy yet crispy roll and they gave extra red sauce to dip it in. A couple of different types of bread as appetizers.  The cheesecake - I was told - was outstanding. Three different kinds at my table including red velvet, lime and regular. Just a great place with a pleasing interior."
Derry G.,"Higginsville, MO",48,33,77,3.0,12/14/2017,"The service was excellent as we were promptly seated. The waitress was superb and attentive to our needs. The pasta seem not cooked enough but the fish tacos were good as well as the lettuce wraps. Enjoyed the ambiance of the restaurant, but was loud. Overall I think the restaurant is overpriced."
Susan B.,"Leawood, KS",29,76,66,5.0,11/16/2017,"Okay I still have a bit of an issue giving it 5 stars because the cheesecake was almost $10, but overall it was a good value. We ordered two pasta dishes that were on special and my ex ordered his spicy. Both were awesome and we had enough for another meal that night. We split the Oreo cheesecake and ate it over two days. It was decadent. The service was professional and pleasant and the establishment was clean. I'd recommend and can't wait to return"
Shawn H.,"Kansas City, MO",64,290,32,2.0,7/25/2017,"I used to love this place. One of the few chains that really was good. Now the thirty page menu is nothing more then chicken dishes in various forms. They've been Houlihan'd. No place overuses chicken like Houlihan's, now Cheesecake Factory rivals them. You can see how well this strategy has worked for Houlihan's. The menu is a page after laminated page of soulless beige dishes. Nearly all of their signature dishes are chicken unless you added some shrimp. Portions used to be enough for three meals. Not anymore. This is a one setting dish now. This place isn't cheap. For the portion size they presently serve it is way overpriced. I know money is the common denominator but I urge Cheesecake management to remember what made them popular because if they don't I see signs of their inevitable decline. In five years they could easily go the way of Red Lobster or worse."
Rebecca B.,"Shawnee, KS",0,6,,2.0,1/10/2018,"This place use to be great when it first opened but in the last 5 years they have gone down in service. For what ever reason they don't seem to like people who do curb side or carry out orders. It always takes 5 to 10 mins just to place the order, that's how long I end up holding for a server just to place my order. Today I waited approx. 5 mins to place an order for an appetizer, only to be told it would take 20 mins to get ready. It was 2:30 in the afternoon but I thought maybe they had a late lunch crowd. I got there in 20 mins only to find the restaurant practically empty. My cheesecake was sitting out on the counter, I don't know how long it was sitting out but my food still wasn't ready. When I got home (15 min drive) the food was already cold, not luke warm but COLD. I question whether it actually took 20 mins to make since they were fried eggrolls. I use to eat at this place once a week but I got tired of the bad service. Its been a year and it looks like nothing has changed."
