Username,location,friend_count,review_count,photo_count,rating,date,review
LC C.,"San Jose, CA",0,13,6,4.0,1/4/2018,"Took my brother here for lunch on his birthday. Surprisingly easy to get a table around 1 pm on a Friday.  Servers were really nice, especially when they signaled that we were ordering too much food. While the company might not like that, but ethical staff helps to prevent food waste. The servers also validated our good choices. I appreciated them with a nice tip in return.  Food tastes consistently good compared to other branches. Old Town Pasadena makes parking more challenging. Hope this does not affect business like Cheesecake too much."
Eddie M.,"Long Beach, CA",50,5,16,1.0,1/7/2018,"This is the worst service and experience I have ever encountered at any restaurant. Service was extremely slow, we waited 45 minutes to receive our first meal with a party of four.  To make matters worst one entree was wrong and it took the kitchen forenever to bring the dish. That's right I said forenever because it never came.  Out of respect for my two daughters I didn't get raise my voice nor lose my cool even though I was beyond pissed about the whole dinner experience.  The manager did remove the missing entree from our bill and gave me a 25% discount but ruined my daughters celebration dinner.  Epic fail Cheesecake Factory!"
Abigail N.,"Los Angeles, CA",19,23,1,1.0,1/7/2018,"I used to LOVE the Cheesecake Factory. So as a treat I decided to order in using Postmates. Sadly two of the four things i ordered ""weren't available"" and the only vegetable I was left with, the grilled asparagus, was the WORST vegetable dish i've ever had. They were rubbery and had absolutely NO FLAVOR! Didn't even looked grilled. More like steamed. Definitely not worth the $ price tag. Sad to say but i think the Cheesecake Factory has seen it's day, and it's long gone!"
Gina N.,"Diamond Bar, CA",0,17,15,5.0,1/9/2018,Great service! Great food at this location ...  Always a pleasure dining at any Cheesecake Factory!
Donaven S.,"Los Angeles, CA",7,63,61,2.0,1/10/2018,"Came here with my aunt.  long wait, uninspiring service, difficult parking, sub par service.  not comming back. no thanks."
Li Shan W.,"Los Angeles, CA",605,23,28,2.0,1/3/2018,"I was really unhappy with the service here. I came here as a part of a party of 2 on a Saturday night at around 5:20pm. We were seated within 15 minutes but then spent 30 minutes just sitting at the table trying to flag a waiter down. 30 MINUTES of sitting there, we weren't even served any water or bread. I must've talked to two different workers there but they would just brush me off and tell me that they would find someone. Several of the tables that were seated after us were served first and it was incredibly frustrating. When our food finally did come, it was good (maybe because I had waited at least 45 minutes longer than expected and at that point was ravenous and anything would've tasted good). We ordered the Da Vinci pasta and a spaghetti bolognaise.  I wish I could give this Cheesecake Factory a higher score but the service was absolutely appalling."
Julie U.,"Alhambra, Los Angeles, CA",4,24,15,1.0,11/13/2017,"I took take out last night for two pastas and the total with tip came out to about $43  We ordered the carbonara with chicken and the chicken bellagio.  1 STAR for the QUALITY. My friend and I tasted our respective pastas and found that they were EXTREMELY BLAND. We had to try and add salt and pepper to salvage the taste. We were incredibly disappointed because Cheesecake Factory is a well-known ""higher class"" chain. We found that we could have made the pasta better tasting and for a far cheaper price. The whole meal tasted bland of cheap quality and I feel completely ripped off. The pasta is way too oiled and the chicken tastes as though it's from McDonald's or a restaurant a bit of higher quality.  THE WAIT: it took about 35 minutes for us to receive our food upon our request of asking for it. I had previously asked for bread and butter but the workers didn't include the butter nor any napkins.  The problem isn't as much the price as the quality. I go to republique in Downtown LA where the pastas are $40 each and my boyfriend and I each order one for ourselves but the quality makes up for the high price.  Overall, we don't plan on returning for over-priced, bland food that isn't worth the price.  Here is a photo of my food halfway after I ate it. Overly greasy, oiled, and plan - very unappetizing for its price."
Jazmyne A.,"Los Angeles, CA",5,47,67,1.0,1/7/2018,STUPID FKN PLACE. I literally had a party of 18 people and they refused to do a reservation for me. LOL i guess they dont want my money. NEVER going here again.
LeRoy W.,"Corona, CA",3,27,28,3.0,12/27/2017,"Stopped in for lunch. Wednesday afternoon. Not too busy... food was good, as it should be for the price.  Had the breakfast burrito. Good balanced flavors. Not 'hot' at all. We also had the Brioche Breakfast sandwich. Good.  Service was sub-par, but it cold have just been our server. We don't usually come down this way, but if I come back I'll ask for a window table... that area gets better attention. Parking is close walk on Fair Oaks & first 90 min is free... plan on paying if you have to wait for your waitress though. ;-)"
Cynthia H.,"San Diego, CA",78,106,58,4.0,10/29/2017,"I personally feel like food-wise you know what you are getting yourself into. I feel that way with a lot of chain restaurants. Few things really differentiate one branch from another. This was my second time at this location. My boyfriend and I go to the nearest Cheesecake Factory every year for our anniversary (this is our 6th time total).  Service was not unforgettable, I have a pretty good threshold for it as I feel like I am not always in need of something. Our wait on a Friday night was only 15 minutes or so and the food was cooked awesomely. Farfalle bow tie pasta and the lemon piccata with angel hair is a must. Both delicious and creamy pastas that I can't forget. We also got the banana cheesecake (our second time having it, it's a fresh fave) and also the lemon raspberry which was even better than I expected.  I knew what to expect going in especially since this was our 6th cheesecake factory visit, and nothing turned me off."
