Username,location,friend_count,review_count,photo_count,rating,date,review
Customer Service Oriented Guest C.,"Miami Gardens, FL",0,2,,1.0,8/28/2017,"I do not recommend the Cheesecake Factory in Pembroke Pines.  The food is terrible. Years ago I visited this location for the first time for a birthday event.  I ordered a dish that I typically order at the Aventura location.  When the food came, it was disgusting.  I swore off this location.  Recently, however, I was in the area and had a craving for Evenlyn's Favorite Pasta (which I have had before at Aventura and loved it).  I decided to get it at the PP location out of sheer convenience and because I figured that enough years had passed that perhaps the quality of the food had improved.  I was wrong.  By comparison to the Aventura location, it was again terrible.  I will never buy food at this location again."
Janine A.,"Pembroke Pines, FL",53,11,4,5.0,3/25/2017,Our server Abraham was awesome we told him we had to be out by 430pm and he got us out by 430 pm his recommendations were excellent and the service was great. Even with the rude male hostess everything was amazing.
Marcus V.,"Hialeah, FL",1,12,21,5.0,6/16/2017,"Went in for a late lunch date for my girlfriends birthday around 4:30pm on Wednesday so the place was fairly empty compared to the usual busy crowd on a Friday night or even the weekends. We were sat down quickly and attended to on a regular basis which was nice, since the service can usually take much longer depending on the time of the day. We ordered the fried mac and cheese balls as an appetizer and got them cheap since it was happy hour. They were delicioussssss, it brings 4 balls so we split two a piece, nice crunchy outside layer with the gooy goodness of the mac and cheese (P.S make sure to have them with the marinara sauce on the plate). For our late lunch she ordered the four cheese pasta w/o chicken (optional) and I ordered the fettuccini alfredo w/o chicken (optional as well). Let me say the food was delicious! A nice creamy and silky fettuccini pasta with the perfect mix of alfredo sauce, scrumptious. The serving size could seem a bit small to a person with a huge appetite but it filled me up. Now for the four cheese pasta, it's served with a ball of ricotta cheese so it is recommended to stir it up in its entirety as the plate of pasta is steaming hot. The four cheeses were definitely present in the pasta and the flavouring was perfect."
Abby F.,"Oviedo, FL",62,1,1,2.0,7/1/2017,I used to love Cheesecake Factory but now they are ripping customers off by making their cheesecake slices smaller. I got a small slice of cheesecake for $8+ which is ridiculous.
Nathali A.,"Algonquin, Louisville, KY",106,1,,1.0,11/25/2017,"If I could give it zero stars I would. Tonight at this location I ordered the lemon-herb roasted chicken which I have ordered dozens of times before. They gave me chicken breasts covered in a sauce. This is not what the dish should be at all. It should be half a chicken roasted. I called the waiter over and his response was ""I have no clue what that is"". That is not exactly something you want to hear from your waiter at all. The manager came over and apologized and offered to make me something else. So I ordered the chicken piccata which my sister also had. It was pasta and chicken drench in this oily mystery sauce instead of its normal lemon sauce. They also did not offer to take my plate off the bill after the entire issue. After returning home, my sister ended up getting sick because of the food. This is possibly the worst experience I have had at a Cheesecake Factory and I will not be returning."
Jeffeory H.,"Miramar, FL",44,537,475,4.0,7/29/2016,"I usually love the food at the Cheesecake Factory, but this one is just not as good as others around town. This place is always super busy so plan ahead if you are coming here. Thankfully we arrived before the dinner rust and didn't have a wait. The staff was great and the service was great."
Val P.,"Pompano Beach, FL",0,4,6,1.0,6/22/2017,Ordered the steak medallions for takeout; what I received was extremely disappointing and unappetizing. Would not recommend.
Josephine F.,"Miami Lakes, FL",20,17,3,2.0,5/21/2017,"The 2  hostess they have working are horrible for seating arrangements.  We are a party of 3 and we're passed over several times.  When I asked them they said, ""we seat bigger party's first"".  I told them it's not fair that we were told 20 minute wait and it took 54 minutes to seat us; only after in requested to speak to the manager.  The food is consistently good and service was average."
Erin S.,"Weston, FL",1,8,,5.0,5/17/2017,"Awesome place, with excellent food, great skinny menu (lighter fare) and cheesecake to die for, but THEY DO NOT TAKE RESERVATIONS!!! They seat you in the order you check in, so if it looks busy, either valet that car or drop someone off to put your name in!"
Adriana M.,"Kissimmee, FL",40,13,2,4.0,4/21/2017,"The steak tacos were really good, I'm not a fan of Cheesecake Factory but I was surprised I actually enjoyed the food. Prices are ok."
