Username,location,friend_count,review_count,photo_count,rating,date,review
Rai S.,"Rochester, NY",185,29,60,4.0,5/3/2014,I chose to go to Cheesecake Factory with a girlfriend last night. We wanted to do happy hour but were unable to make it between 4 and 6 (they need to extend it to 7!) I opted for my usual- buffalo chicken blast. They were great as always! They give you about 9 so I always order it as a meal and have leftovers to take home. I will be having it for lunch today lol. I washed that down with a pear martini- it was soooooo yummy! That was the best drink I've had at Cheesecake Factory! I suggest that for anyone- but do be aware it costs $10.50- a little on the pricey side in my opinion. My girlfriend ordered the tamale appetizer- it was very tasty and they give you a lot. Unfortunately she did not like the mushy consistency of the dish and ordered the Hawaiian pizza instead. It came out fast and was very hot. The waitress had no problem switching her dish. I opted for the dulce de leche cheesecake. Hands down one of my new favorites! It was delicious. I recommend it for anyone who likes caramel.  Although it was a busy Friday night we only had to wait 20 minutes and our waitress was very attentive. I normally don't make it a habit to spend $30 on a drink/ appetizer/ desert but this is rather average for the Cheesecake Factory. I will be back for happy hour soon!
Scott K.,"Rochester, NY",17,17,10,5.0,1/15/2015,"From top to bottom we had an excellent experience. Top notch decor,  food and service!"
Simone B.,"Rochester, NY",243,27,,5.0,5/9/2015,The food is always the delicious and the staff always curtsy. This is one of my favorite restaurants. They also have great food presentation!
James P.,"Felton, PA",0,22,,1.0,4/16/2016,"This cheesecake factory definitely need some work. I called ahead with a curbside order only to sit 20 minutes after telling them I was there waiting on my food for someone to come out because apparently they never put my ticket in and then just brought my food out when I called and complained that I had been sitting out there so long and no one had came out with my food. Then I had an issue with the fact that I paid extra to have extra chicken put on my lettuce wraps and when it came out it looks like the exact same amount of chicken it normally comes it. When I  spoke to the manager he did nothing about the food or the wait but stated"" is there something you want me to do""? Here is a thought, fix you food and staff. When you pay $20.00 for 3 small lettuce wraps and a small slice of Cheesecake you would hope the service and staff would be at least decent."
George M.,"Churchville, NY",0,12,,5.0,4/16/2016,First time visit for wife and myself.very helpful staff. Ordered Cuban wrappers with mustard sauce for dipping they were great!had bacon burger.. The best burger I've had in a while. Wife had mushroom burger. Terrific!happy hour 4-6had 3 Long Island ice teas. They were great. Would go again in a minute. Large menu. Their Sunday brunch looks delescious! Had lemon merigue cheesecake and banana cream cheesecake! Both great!
Jason L.,"Gallup, NM",129,124,289,4.0,5/26/2013,"This cheesecake factory is something that everyone need to experience. The cheesecake factory might be a restaurant chain but it is worth trying! They've got a huge cheesecake selection for dessert! When you get seated you also get complementary fresh baked loaves of wheat & sourdough bread served with a side of butter so you can nibble and pick a course.  The menu is overwhelming at first because their is so much to consider. Then you noticed the price of some of the food opinions. While the prices might be high the portions they serve are huge. The servers are nice and friendly but this is varity since it a chain resturant. I had tried the fried calamari as my appetizer, which was not bad but wished they had more variety in their sauces. I recommended the BANG BANG CHICKEN AND SHRIMP for the main course! I would consider it a Thai dish with flavors of curry, chile and coconut served with white rice. (Looks and smells delicious)  For the Cheesecake I Recommend: Ultimate Red Velvet, Mango Key Lime or Key Lime (forgot) and the Oreo Dream Extreme!"
Don W.,"Sebring, OH",3,113,139,5.0,4/15/2014,"This was my first visit to a Cheesecake Factory in NY State.  My family was here to celebrate my 12 year old grandson's birthday. Our server was above average and all our meal selections were excellent.  I ordered a BBQ Chicken Ranch Salad that was huge and very good. The servers sang Happy Birthday to my grandson and he enjoyed the entire meal experience. We arrived at 6:30 pm on a Sunday evening and which is a good time to beat the crowds on other days. Overall, I would come back again and would expect the same level of service and quality of food."
Sarah B.,"Webster, NY",0,4,,2.0,7/24/2015,"Food was delicious, service was terrible. Waitress came to the table one time we had to rely on other servers to deliver our food and refill our drinks. Went to the hostess stand and said something, waitress still didn't come over. Spoke to the manager she said we would be taken care of the rest of our time at the restaurant, clearly the message was not relayed to the waitress because we were neglected the rest of the evening. We will never return to this establishment, we paid good money and were treated horribly."
Jessica R.,"East Rochester, NY",136,7,20,3.0,8/2/2013,"Pricier than Applebees and decor is terrible. Other than that, I appreciate their new skinny menu."
Catherine R.,"Macedon, NY",0,49,27,5.0,11/4/2015,"Never disappointed. Vast menu, great food. The best wheat bread. Beautiful decor. Fun atmosphere. Friendly, good service. I keep telling myself I'm going to try something different, but I can't resist my boneless teriyaki chicken."
Felicity F.,"Geneva, NY",8,16,,2.0,12/15/2014,"Disappointed.  I love Cheesecake Factory.  It reminds me of home in California.  This one, the food sucked.  My husband got a sandwich and the meat was undercooked, was completely all chewy fat. Really not appetizing at all.  The waitress was really meh apologetic about it.  We waited FOREVER for them to replace it with a burger because we were trying to order something quick, again, not really apologetic.  I ordered the lunch orange chicken and it was okay, a little lackluster in sauce.  Otherwise the restaurant was clean, just not a great food experience.  Probably won't make a trip back to this location."
