Username,location,friend_count,review_count,photo_count,rating,date,review
Margy S.,"Torrance, CA",0,6,,2.0,12/17/2016,"I am extremely disappointed with the service I received tonight at my Redondo Beach, CA restaurant. I placed an order on 12/15 for a Lemon Raspberry 10 inch Cheesecake for pick up the next night. I asked if it would be like the slice I had ordered last month from the Grove location with the Raspberry Sauce and whipped cream and was told yes that is how I would receive it. Fast forward to picking it up. I waited over 20 minutes as it sat on the counter in the box for someone to place it in a bag and let me know it was ready. I had her open it up to make sure it was the right on. I asked about the Raspberry Sauce and was told it would be an additional $1.50, Fine but where were the rosettes of whipped cream? I was told we can't do that. Come on, this is for a Holiday dinner party and it does not even look like what I had previously ordered. I than asked if I had bought a whole one out of the display case would that have come with everything? Yes. She than shoves a container of whipped cream in the bag and that will be the last I time I go to that location. I could have ordered the same on with free 2 day shipping from Harry and Davids and it would have come with the presentation to be served at a dinner party out of the box. Poor customer service."
Yvette Y.,"Los Angeles, CA",0,6,,5.0,10/31/2016,"Visited here on Saturday 10/29/2016 about 7pm.  Sat in the bar area and ended up with a very very nice waitress named KIANA.  She was attentive, efficient and very pleasant the whole time we were there (approx. and hour and 1/2). I stopped counting how many times she passed by to make sure we were OK with everything.  Didn't have to ask for anything.  If I could rate her a 10 I would.  I come here frequently and have had pretty good service but this young lady  was exceptional. Will be back and soon and hopefully we can sit in her area.  YAY KIANA!!!!"
Jim R.,"Nashville, TN",23,70,3,1.0,10/21/2014,Well Thought we would grab a nice desert after dinner Would you like fork and napkin.  Yes please Oh I don't care I will not give you any Thanks for the pain in the ass
BF S.,"Los Angeles, CA",9,119,43,3.0,1/3/2015,Sad to say I was disappointed. I have been coming here for many years and have often said this was the best local cheesecake. Today my meal was just ordinary. I had the buffalo burger and it was next to flavorless. Not that we needed to eat more but the portions were much smaller than before. Don't think I'll be in a hurry to go back.
H L.,"San Pedro, CA",0,43,27,3.0,5/17/2015,"We came here on a weekend and the place was packed and the only available parking was valet. But I was craving Cheesecake...It was really loud inside and it seems like tables were crammed together to accommodate bigger crowds. Every food I had in any of this establishment was always meh but cheesecakes are always good -- Red Velvet Cheesecake is the best! However, since we are going for a stroll at the beach too, bf suggested I eat real food (I only wanted to order Cheesecake) so I tried the Egg Rolls--it was delicious! I devoured the whole plate and since the portion is just right, I had enough space for dessert. :)"
Kevin E.,"Los Angeles, CA",19,18,4,2.0,1/3/2015,"Very disappointed! This place used to be so much better. My Kobe burger was good, but the rest of the food was not great. My daughters pasta was a mess, and my wife's sandwich was entirely ordinary. Service was pretty shoddy too. We asked for a window seat and even waited for a booth to be made available.  When we were eventually told that our table was ready it wasn't a window seat as had been promised. Our server was also less than acceptable, and food came out in bits and pieces, with some of us waiting for food while others were already well into eating their meal. They need to jack up their service!"
Meg B.,"Los Angeles, CA",5,23,,1.0,12/23/2015,"My boyfriend and I stopped in to get cake to take home for dessert, and didn't check the bag. My $8 piece of carrot cake looked like someone's leftovers, a sliver from the back half of the cake and then a large pile of crumbs that they tried to hide under a mountain of whipped cream. Check your takeout, folks!"
Alvin R.,"Carson, CA",114,46,17,2.0,8/24/2015,"I've been to this location in the past, and although The Cheesecake Factory isn't my favorite restaurant, I do enjoy some of their menu items. The food during our visit yesterday was no different, so my review is based on customer service. I took my parents to this location yesterday for lunch and received lack of customer service. I can't say it was bad or terrible, but a lack of service because we felt our server was hardly around or took a long time. It took a while until we first saw our server, so I figured we order everything all at once - drinks, appetizers, and main dishes. While waiting, I noticed it was taking a while before we got our waters. In fact, my dad's cocktail was brought sooner by another server than our waters from our actual server. Anyone notice something odd about that, but me? I don't know how long it takes to make cocktails, but I'm pretty sure it would take much longer to make cocktail drinks than pour a glass of water. Also, it's probably a lesser complaint than what I'm about to share, but when our bread was brought out, I noticed our server had another table's check booklet on top of our bread. You don't know who's hands or dirty tables these booklet carrying checks have touched. So, to see that on top of our bread was a little rude, I thought. After our meal, I asked for the check and boxes for our leftovers. Again, it took a while for our server to deliver these items. She first comes by for our boxes, but doesn't have our check. When finally she hands me our check on her second trip to our table, she was nowhere to be found for me to pay for our meals. At this point, I pretty much had it because I was in a hurry. So, I went to the front counter expecting to pay there. To my disbelief, I was told by 3 ladies near the front counter working the dessert bar that I would have to go back to our table to pay. WTF? Not until I asked a gentleman behind the counter if he was the manager did I find out that it was absolutely fine to pay at the front counter. At that point, I pretty much lost it. I'm not one to be vocal and start a scene with my complaints, but the fact 3 ladies at the front counter, including one who takes down the number of guests at the front, did not have a clue what to do totally blew my mind. Either they did not have any idea how to resolve a problem or they did not want to deal with it. I'm really upset how the situation was handled. I had to wait until I asked the gentleman behind the register, if he was the manager in order for me to pay at the front counter. I've never worked as a server, but if you can't ring a customer at the front counter because it's the duty of the table server, I'm sure there's a manager who can override and get it done. Why did no one do that in the first place? Because I was able to get it done... and I don't even work there. The food is delicious, but the customer service here during our visit yesterday was nonexistent. The ladies who work here rubbed me off the wrong way and gave me the impression they had no clue how to resolve an issue. A COMPLETE DISREGARD for customer satisfaction. I honestly received fast and satisfactory treatment from their valet. The servers at this location can learn something from their valet because these guys sure know how to hustle."
Michael D.,"Los Angeles, CA",622,124,3634,5.0,9/9/2014,"What more can you say about CF? Great food, great location. CF is a classic restaurant. Could you imagine a world without CF? All of our hearts would break! Love the Cajun jambalaya, and the carrot cheesecake is to die for. Face it, all of the cheesecakes are to die for! I'll always come back!"
Christina Jane S.,"Hawthorne, CA",126,110,98,3.0,9/23/2015,"I came in to purchase an original cheesecake order to go. All I have to say is it's extremely expensive and such a tiny little cake! I suggest going to Costco for half the price and double the size. I only came here because I had a gift card so it was basically free. Yay for free cheesecake, but boo for how much of my gift card was gone. I should have used it on food!"
