Username,location,friend_count,review_count,photo_count,rating,date,review
Kynda R.,"Tarpon Springs, FL",24,44,23,4.0,12/26/2017,"Day after Christmas lunch with my daughter. We called for reservations but, even though Yelp stated you could make reservations, the restaurant indicated that they did not take reservations but took our name for call-ahead seating. We were seated after just a couple minute's wait. Our waitress, Stephanie, arrived quickly to welcome us and take our drink orders. The menu was enormous with so many wonderful choices. We started with stuffed mushrooms small plate ($6.95). Six mushroom caps with a light wine flavor. Delicious and worth having again even though the mushrooms were a little small. The bread they brought to the table was also very good. I ordered the Famous Factory Meatloaf with mashed potatoes ($17.95) and my daughter ordered Louisiana Chicken Pasta ($17.95). Both meals had amazing flavor and were huge portions.  We topped the meal off with a slice of cheesecake each to-go ($7.95 each).  An excellent environment for a casual, up-beat meal!"
Ken K.,"Saint Louis, MO",9,93,100,3.0,12/30/2017,"Very crowded on a Saturday for lunch.  Service was very good and the food was pretty good.  Surprisingly pricy.  I am not a fan of big chains but this place is great for kids with all their dessert options. For the money I find smaller, independent restaurants much better if it's just st adults."
Josh F.,"O'Fallon, IL",53,13,18,4.0,11/4/2017,"The Cheesecake Factory is always a solid place to eat. If you've never been there, it's basically a high-end Applebee's. If Applebee's is Walmart; Cheesecake Factory is Target.  Last time we went, I had the chicken, avocado and bacon sandwich. It was tasty. My son had the bow tie pasta with Alfredo sauce - also tasty, but the sauce was slightly runny. Wife had a club sandwich. And, there were a lot of fries, which were good. My only disappointment was the side salad. It was literally a bowl of lettuce with ranch dressing. We also tried a bacon grilled cheese thing that was excellent. And my daughter had chicken tenders, which were good too. (I took a taste of everyone's dish, except the club sandwich.) For dessert, we had a slice of Nutella cheese cake. It was amazing. Wife insisted we order it. I'm glad we did.  Also, the wait staff was terrific. Fast and friendly."
Tramaine B.,"Fairview Heights, IL",438,113,1387,2.0,7/30/2017,"This has been the worst experience at any Cheesecake Factory I've been too before.  Since it's a Sunday I made sure to call ahead to hold seats; I was told 645p. When we arrived at 645p; I was told 20 mins which turned into me asking twice was are table ready and not seated till 730p. At this point I'm annoyed! I get their busy but what was the point of calling ahead?!?  Moving on... our waitress was super slow and for some reason wasn't trained to bring straws with the drinks. Have you ever been so hungry and you wait so long for your food that you're no longer hungry?!? Yeah, that was my experience. Our orders were almost right, wrong and late. New York steak medium rare came out well done. Omelette came after all the other food without the potatoes. We were offered free cheesecake... at this point I don't want anything but to leave. However, my kid got a cookies and cream cheesecake and red velvet.  Did I mention we still don't know our waitress name. I paid $70 for wasting my time and money because I only ate 3 bites of my food. The potatoes finally came out as we were leaving.  At the end of the day.... Naw I'm good. I won't be back!"
Cynthia M.,"Saint Louis, MO",235,132,1361,4.0,6/22/2017,I sat at the bar top during lunch time.  The meal was too large for one person.  A 1/2 salad with salmon would have been better. The food was tasty. Mixing the balsamic vinagrette with the red chili sauce made it taste like an Asian sauce. Yummy (just a tip).
Kimmy N.,"Saint Louis, MO",55,386,1522,2.0,5/12/2017,"Ok Cheesecake Factory...we are officially done with you. You're disgusting, overpriced for what's provided (dry, bland, lack in ingredients) The last time I was here I had a Cobb salad that had barely anything but egg and lettuce on it. My husband got a pineapple Thai chicken whatever and the chicken was very dry and tough. It was not good at all! We don't mind paying for the price if it's made correctly. Who wants to eat dry chicken for 15$? Yeah we should have complained but our waitress was barely around.  I also paid with a visa gift card and it declined a couple times. Their POS is not up to date...considering I was able to use the gift card next door.  Only thing that's still good here is their calamari. We won't be coming back at all or it's going to take a very long time!"
Lana H.,"Saint Louis, MO",1,37,1,2.0,1/5/2018,I entered this restaurant 20 minutes ago. I stood at the hostess desk for 6 minutes waiting for them to seat me. There was no one else in line. Another 14 minutes have passed and I still have no water. There are empty tables all around me. They are not busy. What has happened to this place?
Alex M.,"Cape Girardeau, MO",8,66,281,3.0,10/25/2017,"I would love to give this place five stars solely on the cheesecake. But alas, I will not. The cheesecake is amazing! Oreo Dream Extreme, get some!! The restaurant, always so busy and staff are rushed through everything. Slow service and not overly friendly. But if you want some of the greatest $8 piece of cheesecake around then stop in!!"
Jessica G.,"Saint Louis, MO",38,63,143,2.0,1/14/2017,"Rating on dessert: 3/5 - I am a wierdo and do not like cheesecake. I did get ice cream with hot fudge and the fudge was divine! Chocolate ice cream was Edy's brand which is rich and smooth. Next time,  I will try the fudge cake to compare. The husband was the cheesecake man and tried the Dutch Apple Caramel Streusel cheesecake. He said, great! Loved it. Rating on Food: 2/5 -There have been many occasions where I have dined at the Cheesecake factory, and I am never impressed with my meals."
Hannah D.,"Belleville, IL",5,40,73,3.0,7/26/2017,"I'm giving 3 stars because there Cheesecake is amazing. But if I could rate the food I would give it no stars. We have been here twice in the past month, and I'm no longer craving it. Both experiences were horrible  first time the service was great, but there was ranch or some sort of condiment floating in my water... and I'm not talking a smudge, I'm talking a larger then a quarter size amount! Completely grossed me out. Then the food comes out... and it was nowhere near hot. It was strange to me to eat room temperature pasta that JUST got brought to us.  The second time, my burger wasn't like the menu said it would be. I got the BBQ burger. I didn't get onion straws, I got just plain onions, then it said it would have a BBQ ranch, had nothing on it, just plain BBQ on the side... and the fries were awful. Cold and were probably made an hour prior to being served to us. And my sons pasta had hardly any sauce on it and was cold. Not even being dramatic about that, it was cold. On top of the food that just wasn't good... our server was mia a lot. Being a waitress myself, this bothered me. She even noticed my son and I barely touched our food and didn't ask for a box... and didn't care.  So bummed ‍ I will only come here for Cheesecake, and won't waste my time dining in to eat it."
