Username,location,friend_count,review_count,photo_count,rating,date,review
Jackie G.,"San Diego, CA",23,22,3,2.0,9/20/2017,"Came here about 2 weeks ago. My husband and I spend our date night's here but this last visit would be our last. My husband ordered the pepperoni pizza. He stopped away for a moment and the food was brought out. The pizza was Burnt! Like the pepperoni slices were as hard a chips. I requested it be taken back and be remade as my husband wasn't going to eat it that way. To my surprise, the server brought me another burnt pizza! I requested the manager who never introduced herself by name. She questioned if we have ever ordered pizza here and I politely explained to her that we had come to this location on several occasions and never did the pizza look so horrible. She just said well I'll take it off the bill and walked away. Idk what has gone wrong at this location but it's definitely not what it used to be."
Sandy K.,"Whittier, CA",3003,1575,9402,4.0,4/12/2016,"Located at the Headquarters shopping Center of Seaport. I arrived after happy hour and was seated at a table nearby the bar area. I had a family next to me that came later with several younger children which was irritating. Started off with the stuffed mushroom appetizer followed by the chicken, shrimp and sausage  gumbo which were satisfying and yummy. I ordered dessert to go - White chocolate, macadamia cheesecake which I actually didn't care for. To rich and the crust was chewy - prefer the traditional graham cracker crust. I would stick with the regular cheesecake in the future but other then that all was positive. Service was solid from my waitress and I would  return to this location in the future. Definetely think I'll sit in the bar next time around to avoid the little ones."
John S.,"San Diego, CA",345,527,93,4.0,10/14/2016,"I don't really like reviewing National chains like Cheesecake Factory, but it's one of those places where you can take a large group, go on a first date comma take someone special comma and not have surprises about how the food or service is going to be. I'm local to this Cheesecake Factory comma but I realize that this one is there a tourist area of San Diego.  Typically when I travel I like to eat eat the food of the area so I avoid chains. But sometimes I don't want the adventure and I go for something that I know. The prices are predictable Venture one you're pretty familiar with the menu so you probably already have your favorites picked out. It also comes in handy when you're with a large group like a family picky eaters. Everyone will find something that they want and dessert is always awesome. Good place to go when you have a large party and or not sure what will suit the entire party."
Rebeca A.,"Oceanside, CA",1,39,11,2.0,9/15/2017,"This location really needs to get it together!!  the last time we came to this location, our appetizer arrived to our table COLD. This was 6 months ago. We decided to give this location another try and boy did I regret that decision. Next time I'm going to suck it up and drive to the Escondido one. Not once, not twice but three time when we tried to order food, they were out. Our kind and amazing waitress Stephanie apologized multiple times and brought us a list of foods they were out of. That list was TOO LONG. The hostess should've warned us about the shortage. This is just so unprofessional of a restaurant to pull. And our food wasn't even tasty. My crab dip tastes like nothing! I had to practically pour salt all over it to get it some flavor! The only part we enjoyed were the drinks! Besides that, were never ordering food from here ever again!"
Julie G.,"Imperial Beach, CA",17,5,,1.0,9/10/2017,Ordrered the shrimp scampi for $20 and got 5 shrimp over done. What more needs to be said...rip off
Jack J.,"Ecublens, Switzerland",0,25,,1.0,8/27/2017,"This is the worst Cheesecake Factory I have visited in So Cal.  I suspect many of the patrons are tourists or convention center attendees who either don't have the time to complain about the poor customer service, long wait, and poorly trained waiters or will ever visit this place again.  This terrible experience happened to me one evening in late May 2017 with a business colleague from overseas from Singapore who had heard about the famous Cheesecake Factory restaurant.  Seating - don't get stuck in back corner.  It was so dark we used the flashlight from the phone to read the menu.  No biggie.  We asked if they could turn on few more lights or bring more candles.  The waiter responded, ""this is the way it is..."".    She clearly could see that other patrons were having the same issue we were experiencing with poor lighting. Food - didn't live up to expectations.  Under cooked rice, overcooked shrimp.  None of us (party of 5) finished the food.  We left in disgust to go back to Hilton Bayfront hotel restaurant and bars.  Waiter - poor trained and zero personality.  If can't put a smile on for customers than you shouldn't be in customer service business."
Michelle K.,"Gaslamp, San Diego, CA",160,15,6,1.0,9/3/2017,"I won't be coming back to this place. I ordered a beer, Caesar salad, fettuccine alfredo. My salad never came and when my pasta arrived, it was plain w/o alfredo. For being in the heart of downtown/ seaport village, this Cheesecake Factory isn't worth going to."
Ina G.,"San Diego, CA",28,43,3,5.0,10/7/2017,I came in today with my son. We stayed outside and Patty( Patricia) took care of us. The food was good as always and customer service was excellent. We will definitely come back here.
Walter C.,"Garden Grove, CA",52,54,16,5.0,10/9/2017,"Customer service is what its all about and we had a waiter that was on it! Even though the line was out the door, we got seated quickly and our food was hot and we were well taken care of. Another great location, and close to the water too!"
Sierra W.,"San Diego, CA",0,1,,1.0,11/26/2017,"The people giving this place 5 stars must have the patience of a saint!!! Me and my husband tried having a nice dinner at the Cheesecake Factory, we we're seated and waited to be helped. There were two servers in our section and we watched them pass us 15 times (that's not even a joke, we counted) and not once did they even look our way. The table right next to us got to order their food/cheesecake and the table in front of us even had their water topped off. Realizing that we were being ignored and feeling a little embarrassed, we got up and spoke to the manager. She was really kind and apologized, but we will not be returning."
