Username,location,friend_count,review_count,photo_count,rating,date,review
Kimberly R.,"San Diego, CA",6,22,12,5.0,4/6/2016,"I used to get their burgers until I discovered their spicy chicken chipotle pasta! It is well worth your money! It is topped with potato flakes & has honey glazed chicken, asparagus, red & yellow peppers, peas, garlic & onion in a spice chipotle parmesan cream sauce!!! The portion size is very generous, allowing me to have leftovers for the next day! If you are into foods that have a little pizazz in each bite, I'd suggest you try this dish(: The servers did a great job taking care of me! I didn't even have to ask for more water or bread!"
Elaine M.,"San Diego, CA",178,5,2,4.0,5/26/2016,"This is one of our favorite restaurants to indulge in sit down food with somewhat of a nice ambience.  We have tried A LOT of the menu items. My favs are... As opposed to spending twice as much on steak at Ruth Chris, I can enjoy a well cooked, flavorful steak here: 1) Rib Eye Steak 2) Filet Mignon (Medium well, butterfly cut) For when my palate craves pungent garlic.  3) Pasta Carbonara 4) Garlic Noodles Of the chicken options, I'd go with the crispy texture of the: 5) Chicken Piccata I favor the white sauces over the red (sometimes tastes too bland for my taste, almost like store bought canned red sauce with bits of meat.) The alfredo is creamy and buttery, but if you wanted to pick a red sauce, go with the: -Farfalle with Chicken & Roasted Garlic My favorite dessert picks would be: 1) Linda's Fudge Chocolate Cake 2) Dulce de Leche 3) Macadamia cheesecake Each cake is so decadent and rich, I could only eat 1/3 each sitting. I usually take the rest to go to either share or eat for dessert again the next day. Not a fan of their new anniversary cheesecake though because I personally think there were too many flavor combinations that didn't compliment well with another.  Also not a fan of their customer service, which was why I deducted a star. Almost 90% of the time that we dined there, the waiter/waitress seemed to be overly rushed, distracted (like chickens with their heads chopped off) and in 1 instance a newbie didn't know how to process my gift card and didn't bother to ask how to fix the problem or ask the mgmt for help. We aren't high maintenance picky eaters. I wasn't demanding that they baby sat us. I was at least hoping to get our water within the first 30 min of being seated (yes, it has taken that long before once. We noticed the time go by). Perhaps management should either provide additional relief to their bombarded staff or provide a smooth flowing operational system for the team."
Rick C.,"San Diego, CA",0,16,4,1.0,7/30/2016,This is for curb side only.don't do it you will be waiting forever waited 1 hour for 3 slices of cheesecake I don't know why they even have dum curb side I would of left but the lady came and charged my card 40 minutes ago please don't do it unless your very patient.
FeedMe A.,"San Diego, CA",3,101,40,2.0,1/31/2016,"Food is terrible, but the cheese cake is delish!!  I will no longer come for dinner.  For now on I'm just coming for cheese cake and coffee!!  Staff is friendly for the most part.  This place is overly crowded with tourist!  Too many baby strollers and rude people blocking the entrance to get in."
Nina S.,"La Mesa, CA",64,9,8,1.0,7/15/2016,"I loved this place until my chicken was very undercooked and bloody it was disgusting I had lost my apatite. I had took a bite because it's so dark inside, I couldn't see that it wasn't cooked and red. The manager apologized and gave me a side salad. She said they would remake it, she came back and said the chicken takes to long to cook if I wanted it without chicken? I said sure but if she could pack it to go and asked for the bill. We were still billed for everything we ordered except the side salad. I was so disappointed and I truly regret going to eat there. We could at least got a complimentary slice of cheesecake or they could have took my dinner off the bill. I most likely will never go back."
Arjay U.,"Alexandria, VA",1,169,154,5.0,5/1/2016,"Each time I come to Cheesecake Factory, I always order their Cuban Sandwich with their sweet potato fries so so good... Close to authentic I think and the ranch dressing is so yummy. Thanks CF"
Nick N.,"San Diego, CA",32,58,85,4.0,4/29/2016,"Lunch time! We ordered the Almond-crusted salmon salad and the chicken piccata in lemon sauce with angel hair angel hair pasta. The salmon was cooked well, not melt in your mouth good but it was tasty. The chicken piccata with lemon sauce though was phenomenal. I recommend it."
Maria C.,"San Diego, CA",1774,2890,8958,4.0,10/22/2013,"I don't come for the food... I come for the dessert!!! This round we arrived after 9pm and we were offered a table on the heated outdoor patio. It was a beautiful night so it was nice to sit outside.  Service can be a hit and miss here, and during this visit, it was EHHH... I've had better. We ordered the S'mores Cheesecake and I ordered a decaf coffee. WOW... Must order the S'mores. Very rich but oh so good!!! What's even better is that if you order this particular flavor, proceeds will go to charity! Dessert for a good cause!!!"
Hassan A.,"San Diego, CA",8,3,,2.0,9/3/2016,"First time ever eating at a Cheese Cake Factory. We were four people and I believe none were satisfied by the experience. First off the server got our order wrong and than came over to stress the point to intimidation and rudeness that we ordered something that we hadn't. Than my colleague just accepted the order and it was after accepting the order did the server offered to change the order. ????? Anyways, I had ordered the Louisiana Chicken Pasta which is supposed to be their specialty. NOT. The pasta was overly salty and whole dish as a whole did not come together to satisfy the taste buds. Portion size was good to be fair. For dessert we ordered the cherry cheesecake and pumpkin cheesecake. Cherry cheesecake was fine and pumpkin was fine as well. Trust me had better cheesecakes elsewhere.  Not worth more than 2 stars because of the entire experience."
Alandria B.,"San Diego, CA",0,3,,3.0,5/12/2017,Since leaving the last review I have received a refund for the amount that I was overcharged and received a gift card in addition. Thank you guest services
