Username,location,friend_count,review_count,photo_count,rating,date,review
Angela L.,"San Francisco, CA",47,997,621,4.0,9/20/2009,"FOOD: 1.) Choc Tuxedo Cheesecake = Yum, totally chocolatey to appease my PMS cravings :P~ Super super rich, I only ate 1/5th of it . Shoulda ordered a glass of milk. Ah wewls. But pretty cool, bc this choc cake is going to last me all week. A few bites a day. Just as the doctor would prescribe, I'm sure. But you know what it didn't taste cheesecakey. Like it was more like regular chocolate cake, with a layer of chocolate mousse. O vells . SERVICE: I always like the service at Cheesecake. ATMOSPHERE: Not as big as Valley Fair's .... ergo not as nice... But still in comparison to other restaurants, I still like Cheesecake's atmosphere of dim lighting, and faux roman grandeur."
C P.,"Concord, CA",2,27,,4.0,12/30/2010,"I've been here a couple times and I'm glad to say that it hasn't disappointed me. My experiences at The Cheesecake Factory are overall good.  The red velvet cheesecake is something to absolutely try as well as the mango smoothie (I forgot the actual name of it). The portions are great and it's a little pricey but it's all worth it!  Still can't get that mango smoothie out of my mind, soooo good!"
Matthew M.,"Chicago, IL",64,41,,4.0,9/10/2011,"The service at this location is kind of hit-or-miss: not really up to the Cheesecake Factory standard.  The food, however, is amazing, particularly the cheesecake."
Devon H.,"San Jose, CA",11,88,,2.0,2/16/2009,"The Cheesecake Factory is the most generic restaurants I can think of. But sometimes simplicity is dining is a good thing. Service here is average, the tables seem a bit cramped, and the wait for your food can be lengthy. A few pluses would be the lunch menu (with a plethora of options for under 10 dollars), the selection of iced teas, and of course, the cheesecake. The Oreo cheesecake is rich and overly sugary, but a great dessert. The chocolate raspberry truffle is pure decadence. A piece of advice -- split the cheesecake, it's a bit much for one. Overall, The Cheesecake Factory is a solid dining experience. It is nothing special, but it's affordable, and most of all, predictable. You know what you're getting, and it's okay."
Dana T.,"Sunnyvale, CA",0,2,,4.0,2/17/2014,"The food here is always done well, not to mention the dozens of delicious flavors of cheesecake!!  I always get my slice to-go because I've stuffed myself full of food.  The drinks from the bar are also delightful in both taste and presentation."
Denise A.,"Salinas, CA",12,49,61,4.0,1/17/2011,"This branch is just like any other Cheesecake factory, yummy yummy yummy! I love this place not only for their delectable cheesecakes but for their entrees. I've had a few of their burgers and pastas and they're consistently pretty good. Their drinks are also very scrumptious but it's a little ridiculous when they're the same price as an entree (my mom's martini was $11!!). I love the atmosphere, very good for dates and large groups."
Stina L.,"Cupertino, CA",1,48,18,2.0,11/11/2011,"I went there today with a girlfriend and ordered my fave-Thai Chicken Pasta. Normally, I love it! Today, it was dry and literally there was only three pieces of chicken in the entire dish. I had to ask for extra sauce and even then it was not enough! Disappointing. I will not be going to this one again."
Linda T.,"San Jose, CA",50,34,1,3.0,9/24/2011,"I went there for dinner with friends this evening. We were seated quickly and our server was friendly I ordered off the new Skinnylicious menu. I had the Tuscan Chicken. It was ok, but I won't otder it again. The chicken was fine and plentiful, but the taste of the balsamic got tedious. Everything on thte plate tasted the same. The farro was under the chicken and drenched in he sauce. I would have preferred it dry on the side so I could have had something that didnt taste like balsamic. I had one piece of artichoke, I couldnt find one caper on the plate, there was a mountain of tomatoes and a few tiny piece of broccoli rabe underneath everything. Less chicken, more veggies and keep the sauce off the farro - that would have made me happier. One of my tablemates got the chicken tacos off the Skinnylicious menu and those looked realy good.. next time!  Service was fine. Bathroom - trash can was pulled off the wall and there was a mountain of discard towels on the floor near it. The place was really really LOUD.. difficult to hear people 2 feet away."
Amy C.,"San Jose, CA",31,65,,5.0,10/7/2008,"FOOD: -Type: Americanized versions of other foods -Variety: plenty -Quality: between good and excellent, although it could be -Quantity: enough to keep you full, probably will end up taking home. -Price: fair for portions SERVICE: -Employees: friendly and quick.  -Timeliness: fast enough. ENVIRONMENT: -Location: easy to spot -Ambience: dim lights -Decor: fancy smancy -Cleanliness: clean. OVERALL: i certainly like the quality and variety in their food. they give a lot when it comes to main courses. -Would attend again? been there several times already and haven't been disappointed"
Jackee K.,"San Jose, CA",165,383,3,3.0,7/7/2011,"I come to this location quite often with my friends who have children.  The staff here are always very accommodating and nice when it comes to the kids.  The service is pretty quick, and I've never had to wait too long.  I get a little disappointed in their salads, it seems that the lettuce is always way too wet, like they didn't spin it well enough after rinsing.  Otherwise, decent place!"
