Username,location,friend_count,review_count,photo_count,rating,date,review
Judy W.,"San Jose, CA",55,134,105,4.0,8/4/2015,"I ordered pasta da Vinci and the pasta tasted so good. They put a lot of seasonings and the chicken was tender. My friend Linguinco penne pasta and it is really good. The waiter, Jesse, was really nice and smiled a lot. I'm coming here again :)"
Magic M.,"Waxahachie, TX",214,433,2,5.0,1/29/2015,Always awesome.  I tried to balance my skinnilicious salad with a slice of red velvet cheesecake.  Salad was wonderful but I really should have said leave out the blue cheese; it kind of ruined it for me.  Otherwise fantastic though.
Johnny L.,"San Jose, CA",269,218,231,5.0,2/10/2014,"I've been here over a countless amount of time. I gotta say I love the customer here, every time I go here I was greeted by a host named Jonathan. His customer service skill is great. He would always compliment me on the clothes what I'm wearing and ask me about my day. He knows that I like sitting in the booth so he always sits me in the booth. Besides the great customer service I love the food here, the farfeille pasta is definitely one of my favorite pasta. I like eating the hamachi steak too, good portions for its price. The thai chicken lettuce appetizer is fulfilling too so be aware to share it with someone. The drinks here are delicious (strawberry lemonade). Did I also say I love desserts here? What's better than having a red velvet cheesecake after dinner!"
Maria M.,"San Jose, CA",6,3,,5.0,6/19/2016,"Eric the libra was so amazing!! He was very attentive, helpful and completely honest. The floors were way to slippery though."
Erika G.,"Livermore, CA",368,754,449,2.0,8/3/2012,"So dissappointed in my recent meal here.  Another working lunch and brought my regional and another associate. Service was almost perfect. Several people involved during our meal.  So I wonder if they cash out eachother since the waitress who took the order was different than the one who brought out our food, refilled the water, cleared plates, brought a to-go box and even took the credit cards.... all different people!   My meal was horrible!  I ordered Garlic Noodles with an added order of grilled shrimp.  It was not garlicy at all!  I mean - AT. ALL.  Watery, no flavor what so ever.  Shrimp was horrible.  Rubbery and very strong odor.  The shrimp was terrible cooked - took the point some were almost like they dried out or microwaved crispy!  Gross.  AND I didn't eat any free bread because I was hoping to eat all my carb'd pasta.  Bummer. Everyone elses meals were ok.  One salad was drowning in dressing.   Very dissappointing.  Will think twice about eating here again."
Maria G.,"Sacramento, CA",536,30,1,2.0,7/28/2015,Omg!!!! I'm freezing here!!!! I can't even feel my fingers. My food got cold super fast. I asked my server to turn it down and he said he would but he lied!!!!!!! I can't wait to get out of here!
Johnny T.,"San Jose, CA",132,61,25,5.0,4/7/2014,"Holy cow, one of the best Cheesecake that I have eaten in a long time. The place is so clean and upscale that is perfect for a group of people. My family had a birthday party of 14 people and we manage to get a table which was awesome! YEs, I would recommend people go here but since it is valley fair that parking can be a little problem.  Other than that awesome desserts!"
Mea B.,"San Jose, CA",0,16,3,2.0,8/31/2015,Terrible customer service. No acknowledgement for 15 minutes. Not coming back to this one ever again. This is the second time I've had a bad experience here. Get it together people.
Chris A.,"San Jose, CA",4998,745,1908,3.0,11/30/2011,"It all started many many years ago when I was forced to eat there with my family. When it was time to order dessert, I told the waiter, ""I hate cheesecake,"" which is still pretty much true. She told me to try the Chocolate Tuxedo Cream Cheesecake because ""it doesn't even taste like cheesecake.""  That moment was life-changing.  The best non-cheesecake cheesecake ever! If you arrive there after 6pm pretty much any night then you'll have to wait FOREVER for a table.  I find the restaurant to be great for family.  I often just get appetizers and dessert because I hate most of the entrees. They never taste as good as they sound, but I will share some highlights of the menu: --Appetizer sampler. . . so big, but great --Avocado eggrolls --Thai lettuce wraps --French Country Salad --Napa Burger --Fish Tacos And my favorite cheesecakes-- --Chocolate Tuxedo Cream --Brownie Sundae --Tiramisu --Love the bar"
Jackie L.,"San Jose, CA",11,12,8,5.0,7/17/2014,"The red velvet cheese cake is to die for and if you care about good service, this place has the best."
