Username,location,friend_count,review_count,photo_count,rating,date,review
Danielle e.,"Yorkville, IL",0,8,,5.0,8/22/2015,Service was outstanding during a Saturday dinner rush we waited 2 minutes. Our waiters name was Fransisco. He was very attentive brought us refills right away and followed up with us several times I ensure we didn't need anything! The food was amazing for an appetizer we ordered the buffalo blasts they were so good next time it will be my meal! I had the chicken Madeira an it's was perfectly cooked and savory in flavor I requested loaded mashed potatoes as opposed to regular and they brought a separate dish with a mountain of mashed potatoes with melted cheese tons of bacon and chives! Yum my bf had the filet mignon again perfectly cooked! We will definitely be back!
Marc V.,"Thousand Oaks, CA",0,6,,4.0,8/20/2015,"Consistently good quality. On a business trip 2,000 miles form home and the quality of food and service was as expected. Really good! The salad o got was fantastic. Server was very pleasant. Best food I've had on this city on this trip."
Kate S.,"Schaumburg, IL",6,16,,3.0,11/27/2013,"Let me start by saying looking for the restaurant was like searching for the Ark of the Covenant, except for the whole ""finding it after all"" part. Maybe not exactly like the Ark...basically it's tricky to find. So if anyone else has trouble, it's next to the upper level entrance of Macy's in Woodfield Mall. Not the Streets of Woodfield, but Woodfield Mall itself. I can't fault The Cheesecake Factory for my geographic ineptitude. We called ahead to try and make a reservation for our group of 7, but they don't take reservations during their holiday season. When this actually starts and ends, I don't know. But we were still able to get a table. I asked my server right away about my allergies and what was safe for me (nuts and shellfish, for what it's worth). She was very knowledgeable, and told me the process in the kitchen for patrons with allergies, which I really appreciated. I felt taken care of. It's worth noting that the cheesecake itself isn't prepared in house, and has the standard ""may contain traces of"" warning associated with it. The table ordered a round of cocktails, and all were pretty great. I got the Asian Pear Martini, which contains sake, ""pear""  and ""passion fruit"" (who knows what that actually means, syrup or otherwise), vanilla vodka, and sake. The technical term for this is ""stupid delicious."" But everything we ordered was good - we did the ""pass to the left, try everything"" system. Other drinks included the signature margarita, a strawberry daiquiri, and a red sangria. After some liquid courage, I tackled the menu. It's 20 pages. This isn't an exaggeration - the menu is literally 20 pages long, containing all drinks and c-cakes. But holy selection. I finally settled on the pasta carbonara, which is spaghettini with smoked bacon, green peas, and a garlic-parmesan cream sauce. It was pretty great. Warm, creamy, bacony - it hit the spot on the coldest night ever on the face of this planet. Nothing to write home about, but it was tasty. As far as the cheesecakes, I ordered the tiramisu for myself and the banana cream for my boyfriend because I express feelings through food. The tiramisu was okay. It tasted like a normal, slightly bland cheesecake, without any of the amazing dark flavors of tiramisu. No espresso and a slight dusting of cocoa do not a tiramisu make. Overall it was tasty, but I don't see myself clamoring to go back, especially for the price. But it's fun for a casual night out with some ladyfriends to catch up before you break out the boxed wine. The service was the best part - the staff was incredibly friendly, helpful, and gave great suggestions. I wish I caught our server's name so I could give her her proper ups. And I learned that it's THE Cheesecake Factory, and you can't skip it, thereby making The Cheesecake Factory is the The Ohio State University of restaurants."
Mari W.,"Marengo, IL",0,22,4,2.0,3/30/2016,"So I visited this place last night for my father in laws birthday. The meal was awesome, Chinese chicken salad, bacon burger, and chicken Madeira, nachos, and of course cheesecake. I have no issue with the food. Cheesecake factory fix your woodfield  staff! I have never met such a rude waitress in my life. She was talking to her friends the whole time!! The buss staff had to do her job. This was my second time here and my father in laws first, because of her I don't think we will be back."
L B.,"Roselle, IL",0,9,,1.0,3/13/2016,"This was the 2nd visit in a month.  Used to love this place but lack of service, 7 peoples meals came out about 15 minutes apart both times we visited.  Food was sub-par for 2nd time also"
Gwen O.,"Nicholasville, KY",9,49,148,5.0,3/12/2014,This place was very very good. I will definitely the finding another one of these restaurants close to my hometown. The prices were very reasonable and the food was amazing. I got pear with blue cheese flatbread and chicken wonton with the best dipping sauce ever! I highly recommend this place! Atmosphere was warm and cozy and OMG the desserts were to die for!!!!! There were a million different cheesecakes to choose from however we chose to try the chocolate cake and that was great!
First L.,"Elgin, IL",0,1,,1.0,4/15/2016,The pizza I ordered was so dry!!! Shittiest service ever! The waiter was so rude and took forever to bring the food out. Food was also cold when arrived. Not going back for sure.
Katherine P.,"Arlington Heights, IL",1,6,,4.0,6/12/2014,"I came here for my graduation dinner with 10 other family members. The waitress was so kind and patient with all my rude siblings!  She never took no for an answer. I ordered the regular cheese pizza, and I thought it was good. I mean, all pizza is greasy right? I expected it, no big deal. My dad got the salmon and he said it was great. Overall, everyone was happy with their food. I also got a complimentary cheesecake with a candle on top. Absolutely nothing to complain about their cheesecake, simply tasty.  I will be coming back here for special occasions with a pleasure."
Ramone B.,"Crest Hill, IL",206,330,470,2.0,7/29/2013,"I'm really not too sure what everyone's obsession with this place is? The cheesecake is good, but I had a jambalaya pasta that was severely UNDERWHELMING!!! I was expecting a nice kick, and it was bland as all get out. It was  almost $20 bucks for that dish. Imma need The Cheesecake Factory to #DoBetter       I went for the Dulce de Leche cheesecake. Gurl I could've went back in time and slap  the S*** outta Harriet Tubman it was soooo good lol!! I will definitely stop if I'm in the vicinity of a Cheesecake Factory for a slice of cheesecake, but I'd NEVER EVER in this lifetime  say ""Hmm let's go to the Cheesecake Factory for a meal."" That's just the way it is.... Until next time y'all......."
Stephen O.,"Memphis, TN",119,58,7,4.0,9/26/2013,"The secret to eating at the Cheesecake Factory is NEVER THINK ABOUT CALORIE COUNTS when eating there. Seriously. As long as you don't 'go there', you will have a superlative experience. We only waited about fifteen minutes and got our table. If you have not been to The Cheesecake Factory, let me illuminate you: you do not get a menu, you get a comprehensive breakdown of a variety of food cultures and genres. It is like War and Peace: The Menu. What I have discovered over the years is that the food is pretty amazing no matter what you get (astonishingly). Our server was somewhat *less* than amazing (pretty terrible actually) but since we had a few dozen pages of menu to read it wasn't so bad. We started out with the Tex Mex Eggrolls. You need these in your life. Spicy chicken, corn, black beans, cheese, with an avacado cream sauce and salsa?  Come ON. Next, I went for a Greek Salad  Unsurprisingly, I got extra dressing. I cannot recommend this greek salad enough. It is probably the best I have had, edging out Mellow Mushroom by a tiny bit. I have to admit I overdid it on the dressing at this place. My friends were both laughing about my greek ""soup"" when my salad was about half gone. That stuff was delicious though! For the record, I did not drink it hahaha. For an entree, my buddy and I both got the Stuffed Chicken Tortillas. It was basically corn tortillas containing spicy chicken and covered with melted cheese and cilantro and just ridiculously awesome. The corn cakes that came with it were almost as good as the tortillas themselves. I want to describe them further but... I cannot... it was just so good. I could not finish it but I wanted to! My roommate got the Baja Chicken Tacos which looked delicious and certainly less gut busting than our dinner. He said they were excellent. For dessert we of course got cheesecake, but I do not think any pictures exist (due to our inhalation of said cheesecake). I do not remember what I had, but it was amazing. We had our last adventure of the day trying to get a server to bring us our check. We were there pretty late and the place was shutting down, I think it probably took 20 minutes or more just to get a check, then 15 more to get it back and leave. If not for that service, this would have been a five star review.  Yes I know the Cheesecake Factory is a chain, but every time I go they knock the food out of the park."
