Username,location,friend_count,review_count,photo_count,rating,date,review
Bec P.,"Seattle, WA",186,217,1,3.0,1/14/2014,"I wanted to hate it..but it's standard decent food round the country.  I was about to fly out and was staying at the Grand Hyatt so many choices, I did not have. This is at the end of the block from the hyatt and it was open at 10a on Sunday. Believe it or not, they have a pretty decent sunday brunch selection. I got a spinach/tomato/bacon egg benedict. It came with potatoes and wasn't bad. Just right portions and cooked well. My friend got the pancake breakfast and she was impressed with the quality of the pancakes--not from just mix/water--and was a crispy golden brown with a bit of crunch on the edges.  I was out the door for about $15 (no booze for me that day) and it was just what i needed before a 4hr flight."
Crystal S.,"East Palo Alto, CA",1,10,109,5.0,6/16/2014,Jambalaya pasta is good. I really like their free honey wheat loaf. You can also buy them in the store!!!
Archana B.,"Mountain View, CA",153,20,12,3.0,5/24/2015,"Great ambience!! Better than other outlets I've been to. Loved the cheesecake of course. Very inspiring vegetarian burger with a brown rice patty - but not as tasty as we expected. The flatbread was good but I've had better for the price. The wait for our seat was also very acceptable - 15min, but the waiting area could've been better."
Shirley C.,"Burnaby, Canada",37,144,177,4.0,3/8/2014,"This is a great place for casual Smerican food. There's a large selection to suit everyone and even have gluten free and sugar free options. It's a popular place so best time to go is around 5:30, early but since the portions are large you'll have a chance to walk around downtown and check out the excellent shopping.  I had the seared ahi tuna tataki salad and it was excellent! The boys had pulled pork sandwiches and a love beef burger. Everything came quickly and it was still hot. We finished off with a sugar free cheesecake with strawberries and the boys had the key lime one. Both were great just a little skimpy on the strawberries though. Other than that the service was great.  I do have one or two observations to share and that is the wait staff should never put their fingers into the actual dishes while putting them on the table!! That and sleeves need to be rolled up so it doesn't brush up against the food and the floors need to be mopped more often as they are a lawsuit in the making...greasy stone floors...! Just a heads up if management is  reviewing!!"
Mike B.,"Surrey, Canada",0,33,6,5.0,8/17/2015,Honestly maybe the busiest place I have ever seen. Wow lineups over an hour but the food never disappoints.
Daniel M.,"Portland, OR",6,10,,2.0,6/6/2014,"I've been eating a CF for years, and this was the first time I had a negative experience. I ordered a lunch portion of the orange chicken for takeout, and it did not live up to the CF standards. My first piece of chicken was actually just a crusty little ball of batter. Sure fooled me. Next the entire dish was drenched in oil. I'm used to a little on their snap peas, but my dish was swimming.  Maybe it was a bad day or the ""B Team"" was working."
Christopher Z.,"Seattle, WA",48,35,2,4.0,9/15/2013,"Pros: - Pretty much the same as any other Cheesecake Factory. Nothing really stood out. - Decent quantity of food for the price paid. - Great cheesecakes. Really can't find anything that rivals these. - Lunch isn't busy so come then. Even on Fridays since they have a lot of seating area. However, dinner is very crowded. - Huge menu selection. Their menu is at least 20 some pages. It can be a bit overwhelming for a new customer but having the many options is great. Cons: - Quantity over quality. It's a bit too much food per entree (even for a big eater like me) but I would prefer a slightly better quality dish than a ton of mashed potatoes and steamed veggies for instance."
Jacqueline C.,"Vancouver, Canada",23,20,42,2.0,10/25/2014,"Worst Cheesecake Factory experience I've ever had. I mean overall I know that people travel all around to eat here but it has honest gone down. We waited 1 hour, understandable since it's the weekend. Upon being seated down the server greeted us right away. We were ready to order as soon as we were seated since we were hungry. Already a bit upset with the wait, it got a lot worst. The bread took about 20 minutes to get to our table, as it is ""cooking"" stated the server. We ordered a steak and chicken combo and pasta. They were both extremely salty and tasted really bad. The pasta was dry, and over salted. The steak was not even cooked properly, and every bite seemed like it had more salt than the last. We thought by adding some gravy to it, it'll make things better but it make it worst. We told the server the situation but instead of acting upon it all he knew how to say was ""sorry"". He did not offer the items to be remade or anything. Feeling upset at that point, we got up, paid the bill and left.  Now being that a few hours have passed since our horrible, salty meal.. I'm feeling gross and sick. I don't think he brought this up to the attention of management. Such a big chain should be able to cook proper food and provide better customer service. Maybe the chef was having a bad day or dropped the whole container of salt in but I'm definitely never coming back to this location or any other Cheesecake Factory locations. I do not want to die before I turn 20."
Albert S.,"Ankeny, IA",0,55,1,5.0,4/19/2016,"Everything this chain does is top notch and this location is no exception. Drinks or food, fish or beef, they do it all."
Elyn Z.,"Seattle, WA",149,49,,4.0,4/22/2013,"I would agree with some other yelpers that this is more of a 3.5 than a 4. Sometimes, you just need a rather simple dining experience  and The Cheesecake Factory works for that.  If you go in with limited expectations then you will probably be satisfied.   If you try to be a healthy eater, then you need to be careful as so many dishes are absolutely packed with sodium and fat.  If asked, they will provide a listing for the nutritional breakdown for all entrees , sides, and desserts. Be prepared to be shocked. I have generally found that the salmon entrees with vegetable side will be the most healthy choices. And, the salmon is good. Not great but good."
