Username,location,friend_count,review_count,photo_count,rating,date,review
Kathy Z.,"Los Angeles, CA",719,123,662,4.0,12/27/2017,"This Cheesecake Factory location was my childhood favorite. The wait was 45-75 minutes, even back then, and we'd walk around Tower Records to kill time. Side note: RIP, Tower Records. In addition to a sourdough bread binge, I would order the chicken potstickers, children's pasta (bowties with just butter!) and the chocolate mousse cheesecake... every time. Don't fix what isn't broken, amIright? Well, years and years later, the Cheesecake Factory is still standing and still delivering delicious food. The wait is either terrible or nonexistent, and I haven't yet figured that part out. Sunday brunch isn't crowded, though, so there's that. Nowadays, I'm still binging on sourdough bread. I've since moved on to the Pasta Da Vinci -- hold the onions, swap out the chicken for extra mushrooms. I'll also order an appetizer of some sort -- perhaps the chicken potstickers, quesadilla, avocado egg rolls(!) or fried calamari.  They didn't have the ""small plates"" section way back when, and those are delicious... but quite small. Loaded baked potato tots, crispy crab bites, and ahi tartare are my picks. They are small, though, and not quite worthy of sharing. I always save room for dessert whenever possible, but I usually end up taking it home. The cheesecake varieties have boomed (as have the prices) and I've fallen in love with something new every so often. I recommend the dulce de leche caramel, the caramel pecan turtle, the salted caramel, the white chocolate raspberry truffle, or the white chocolate caramel macadamia nut cheesecake... Notice a pattern? ;)  Note: The cheesecakes are VERY sweet and VERY rich. I can't take in that much sugar in one sitting, so I recommend sharing and taking the slice home. The restaurant validates, so don't forget to turn over your ticket to the server. They don't have machines lying around for you to do it yourself."
Melody K.,"Los Angeles, CA",621,265,78,1.0,1/5/2018,"RIP Cheesecake Factory :(  Came here for a quick bite. Ordered old classics, Buffalo Blast and Cesar Salad. Salad was drowning in dressing and the buffalo blast was so salty it turned bitter in the mouth. Sent the buffalo blast back incase just that round had been messed up, but no, the entire batch was ruined. Ordered a cheesecake with strawberries, and am I crazy or were their slices kinda generous before? I got a tiny slice like the kind you get from Vons. Shame shame shame.   The server was friendly but what's the point of friendly servers in a restaurant when the food is garbage?"
Ika I.,"Thousand Oaks, CA",28,141,411,4.0,12/14/2017,"Great service and generous portion! I came here for a holiday lunch with my coworkers and everyone had a great time there. The menu selection is huge and I personally think it will be less confusing if the menu is more condensed.  As for the food, you can choose anything from tacos, pasta, seafood and salad. They also have a huge selection of cheesecake. I ordered the grilled fish taco and it came with very generous portion of 4 tacos and side of rice. There is also unlimited bread served before your meal.  My entree was around $16 and other entrees were between $15-$25. The generous serving size allows one to pack the leftover for a second meal.  Our waiter was also very friendly and attentive and the ambiance felt classy and family friendly.  Overall, a decent restaurant that caters to everyone."
Jennifer S.,"Van Nuys, Los Angeles, CA",304,78,24,3.0,1/6/2018,"The food and service is always wonderful, but the process of getting a table is a problem. My party and I check in and were told it would be 20 minutes. We took the pager and relaxed outside. 40 minutes later we went inside to see if there was an update and they said it would be a little longer. 5 minutes later the pager buzzed but we didn't get a table for another 10 minutes. And that whole front area is a zoo.  Anyways, tonight our waiter was fabulous. I have zero complaints about him. I ordered an item I had never had and it was really good. As always, I recommend coming during the week when they aren't as busy."
David B.,"Los Angeles, CA",25,17,18,5.0,1/5/2018,"I've been here multiple times and I have never had a bad experience. The only one thing that happened was a long wait, about two hours but it was on a special occasion which is expected. Either way, the food is always fresh and tasteful. A must for all the locals."
Daizah P.,"La Mirada, CA",223,6,3,3.0,11/28/2017,"Today is my 21st birthday, one of the most memorable ages of our lives. I come, greet the server, etc. My GF tells them it is my birthday after we order our drinks. He says, ""Oh Wow. Finally legal (very dry)."" Then he carries on. After that, I hear nothing from him, he zooms by us, my water was not refilled once by him.  So I try telling another nearby server about my birthday. She turns around and just says, ""Okay. Tell your server."" No appreciation of the customer. I do not like this. However, the food was delicious, as expected!  Poor, poor customer service."
Arielle P.,"Los Angeles, CA",538,150,339,4.0,11/8/2017,"From classic favorites like Pizza and burgers, to specialty meat dishes- and inspired from cultures all across the board, it's hard to go wrong.  Food: Definitely go with the Avocado Rolls and Fried Calamari for your starters, and they also serve up two types of bread + butter for the table. Their main courses are usually very good, my favorite dish is definitely the Da Vinci Pasta because the sauce is SO tasty- the chicken is usually a little dry though so I recommend subbing for shrimp. My most recent trip I ordered the steak tacos- I was with a large party and I know they like to bring out food all together- but my steak was cold, like just made It out of the fridge, cold. Their Chinese Chicken Salad is really good too, big portion, I would ask for half the dressing or dressing on the side.   Service: I do think that the servers here are above par of a normal restaurant, as you'd hope they be considering their locations are usually huge, to match their huge and probably very difficult to remember, menus. Our server took off my steak tacos and comp'd us a dessert for the inconvenience. *PRO TIP- they won't sing happy birthday and make a scene if the BIRTHDAY person doesn't agree to it...*"
Nicole C.,"Stevenson Ranch, CA",3,11,16,5.0,12/29/2017,"My boyfriend & I have been coming to this establishment for years. We usually visit about once a week and sit in the bar, however tonight when we came in all the seats in the bar were full so we grabbed a booth in the restaurant. Antwyon was our server and his service was unbelievable! He was attentive, considerate, made us laugh, & went above & beyond with his customer service! We go out to eat for all of our meals on a daily basis & he provided better customer service then we have received at any other restaurant! This guy deserves a promotion! You guys have a true gem here in your company! Antwyon thank you very much! We will be requesting you from here on out!"
Laurie L.,"Beverly Hills, CA",68,183,222,3.0,11/11/2017,"The Shiela's chicken and avocado salad was a bit boring and lacking avocado, my dining companion's filet mignon (don't order this cut at a cheesecake factory) was all tendon and chewy these are the only two complaints of the evening.  The gumbo was excellent and so was the bacon bacon burger. The coffee and sexy cheesecakes delivered on all levels of sinful satisfaction!"
Melanie W.,"Studio City, CA",378,25,101,5.0,10/5/2017,For a big chain restaurant they still keep it classy and delicious. I love their menu because they have a great selection.  I've been here a couple of times and I'm always happy.  Last time we were there Antoine was our server and he was very friendly and attentive.  Good food & good service - you can't go wrong.
