Username,location,friend_count,review_count,photo_count,rating,date,review
Claudia M.,"Los Angeles, CA",33,30,3,4.0,1/3/2016,"Very yummy food, good prices for the portions, we went in for an early  lunch at 1pm on a Sunday and we're sited right away, be ready to wait any time after 3pm. The place is big and it can be a bit loud so don't take your date here this is why I gave it 4 stars.  The cheesecake is great but be ready to pay $8 for a slice.  The waitress was very nice and always there when we needed her."
Anne A.,"Los Angeles, CA",400,1618,3340,1.0,5/10/2014,"Now I know why I shouldn't eat here or don't eat here as often as I did when I was in high school and college.  Horrible service.  Not once did our server check on us or refill our drinks. I'm not coming back again.  I watched him serve three tables beside us, check up on them and completely ignored us.  Discrimination maybe?  Our server tonight, Dylan, probably thinks that Asians are bad tippers because he obviously didn't to refill our drinks. I watched him go to the tables near ours several times to check on them. This is the first time ever that I didn't leave a tip for bad service and it feels good to finally not reward this kind of behavior.   Why leave a tip when you're unhappy?"
Eric R.,"Encino, CA",351,296,27,1.0,5/26/2014,Steven the manager is very rude!!  There are 5 empty tables and the workers are just standing around... I tell him we are waiting as well as others while there are empty tables and he tells me we were quoted 25 minutes and its only been 15... So why should the patrons wait when their is no need for it??!!?? Steven tells me that we need to wait because its first come first serve and that's how a restaurant works and there are other people waiting to be sat.  WTF?? The other manager Joey is a nice guy.
Jess D.,"Los Angeles, CA",1080,56,16,1.0,5/21/2015,"I took my two children here for an early dinner last night after they convinced me to sell one of my kidneys to be able to afford what the bill usually is, but kindly.. I obliged. As usual our bill was basically the cost of a Disneyland admission and just about as disappointing as the overpriced food at a theme park too. I ordered an appetizer and iced tea which was only refilled twice (apparently four tables was too much for our waitress to handle at 4pm) and my children had bow tie pasta off of the kids menu (which is the price of a Coach coin purse for the portion).  Now you would think, how does one screw up bow-tie pasta and butter, right? Well... apparently, Cheesecake Factory can and it's not a problem for their guy in the back at ""the pasta station"".  My younger sons arrived and it looked like something Gizmo from the Gremlin's threw up. The noodles which should only consist of butter and Parmesan cheese arrived looking burnt and covered in brown snot.  My other son ordered the same thing, but asked for no cheese and when it arrived it was dry (no butter, nothing). My older son was so grossed out that he didn't even want to eat anything else once the waitress came back over (after looking for her for about ten minutes). My younger son added his own cold slice of butter (that originally came with the bread) and it just wasn't the same for him, so he didn't really eat it.  We ordered a slice of cheesecake to split and it arrived and wasn't the size of the millennium falcon as I remembered it to be and was $8 (which instead of the Cheesecake Factory staff throwing in for free due to our gremlin vomit that was served to us), they charged us for it and only removed the two child's entrees from our bill, but charged me for the ""free soda"" that came with my sons entree and charged my other son an adult price for his soda.  Our bill was about $29.00 for basically two kids drinks, 1 adult drink, cheesecake and an appetizer.  So if you're into paying for crappy service, getting whiplash from searching for a waiter, and playing a game of ""what the hell is that on my child's plate?"" then by all means, eat here. But be prepared for NO manager to come over an apologize for the mix up and also be prepared for the staff to penny pinch your tab instead of doing what's right and comping your meal.  I still can't get over that they charged me for the free drinks on the kids meals! Really!?  I didn't even fight the price of our final tab, because we had a movie to go to and our waitress was perhaps doing her make-up or taking a hot yoga class, but survey says we will not be returning to this Cheesecake Factory anytime soon.  Sincerely,  Greatly disappointed"
Vanessa J.,"Carmichael, CA",260,136,121,5.0,7/8/2014,"My family and I go here every year to celebrate my birthday (a week or so after the day) which happened to fall on Fourth of July weekend this year.  Boy was it PACKED!  Our wait time was 40 minutes on Saturday evening.  Luckily, we perused the cheesecake selection, ordered a cocktail from the bar and took selfies by the outdoor fountain lol. The salmon is farm raised but delicious, nonetheless! The crab and artichoke appetizer is a must try! We ordered 3-4 appetizers, and 3-4 plates.  I could not finish (or even start!) my meal.  STUFFED with delicious apps!"
Juan Carlos O.,"Burbank, CA",6,25,2,1.0,6/16/2015,"This place is horrible waitress attention, I request change the waitres because she use the f word when she walk away, manager cool but need to teach customer service to they waitress she toll me stay and I won't pay for dinner is cool but the Nigth already done , I won't come back here I give the gift card away"
Kelsey P.,"San Diego, CA",98,197,37,5.0,7/24/2014,"I haven't been to Cheesecake Factory much but this one is one of the best.  The staff is always amazing and the food is incredible...the cheesecake speaks for itself.  Had dinner here with some girlfriends and it was great to catch up, laugh, have some great food and even better conversation. It is spacious and there is great outdoor seating as well. They validate your parking tickets so it was great to not feel rushed because of parking or seating. I had the garlic noodles and a side salad; the salad comes dressed in balsamic vinaigrette.  The pasta was light with asparagus, sun-dried tomatoes and mushrooms.  Didn't save room for cheesecake this round but the Oreo cheesecake is my favorite!"
Richie F.,"Los Angeles, CA",120,64,6,5.0,7/28/2015,"What an amazing experience at the Cheesecake Factory ! Quick Service, Delicious food, and Jessica's customer service was fabulous ! 5 stars across the board !!"
Lillian B.,"Los Angeles, CA",0,16,,2.0,2/6/2016,"I had a bad experience tonight at this restaurant, a branch I have patronized for over 10 years. I waited 35 minutes for a table ( arrived at 5:25) while 4 other sets of people whose blinking thing went off after mine- three groups of two and one group of three- were seated before us. All of us requested inside seating. We were finally seated at the BAR where I could have been  seated when I first came in. I asked to speak to the manager who gave me a blank look and an unsatisfactory apology. On the positive side, the food was excellent and the server was very good. But the mix-up at the front desk was unacceptable. And the manager needs training."
Kim K.,"Burbank, CA",145,573,3279,2.0,3/22/2013,"Not changing my rating just yet, but wanted to share that after sending my Yelp review to the corporate offices, I was contacted in a timely manner by the General Manager of the Sherman Oaks restaurant.  He did what the manager at the time should have done and validate  my feelings.  He was extremely apologetic and offered me a gift card to come back (or any other Cheesecake Factory... which I intend to do) and try them again.  Along with the gift card he included a personal letter and that made me feel good that they understand the importance of customers.   Good job on the follow up.  I will update my star rating when I can get back to that establishment.  Thanks.  :)"
