Username,location,friend_count,review_count,photo_count,rating,date,review
Raquel A.,"Manhattan, NY",1326,166,903,4.0,3/31/2016,The portions are so big here I am always full by the appetizer. Love their vegetarian lettuce wraps. My fav thing on the menu is the avocado egg rolls with cashew cilantro dipping sauce. The falafel salad was good just needed more seasoning or a lemon dressing.  The cobb salad looked great and had a chipotle dressing that was very creamy. This is the place to indulge portions are humungous!
Bree Q.,"North Arlington, NJ",0,10,1,4.0,7/30/2017,"Just had my daughter's birthday lunch here.  It was moderately crowded for a Sunday afternoon and our wait for a table was fifteen minutes.  The atmosphere is lively and very loud.  The restaurant is clean and the food a bit pricey.  Our server got us our drinks super quick and bread came out shortly thereafter.   The food took a while to come out but we were all happy with our entrees.  The burgers were pretty good, the fried shrimp nice portion size and the gumbo also good.  The cheesecake was half price today - score!  The cheesecake was beautifully plated and tasted super fresh. Our server Quasheem was TOP NOTCH!  Attentive and very pleasant personality.  The staff sang happy birthday to my daughter and let's just say it was very enthusiastic!   We will be back!"
Tamago L.,"Brooklyn, NY",2,8,21,1.0,7/29/2017,"Will not come back. Waited for an hour for our food after numerous complaints. Pasta finally came but all dried and cold. Spoke to manager, he said they were ready 25 minutes ago but don't know why waitress didn't bring them out."
Bob S.,"Sayreville, NJ",7,25,1,3.0,7/16/2017,Wife and I had fish tacos for our meals and a Buffalo chicken blast app. Food and service was good an enjoyed eating on the patio. Took a slice of plain cheesecake home and wasn't impressed.
Samantha B.,"Santa Monica, CA",31,35,9,2.0,10/18/2016,"Let me preface this with the fact that I am a HUGE Cheesecake Factory fan, which is why our dining experience at this location today made me so sad. Overall, it felt like none of the people working there had any desire to be there which was reflected in the attitude towards customers and the overall vibe of the place.  When we arrived we were seated fairly quickly, but it took over 10 minutes for us to get a high chair brought over to our table. Placing our order took at least 15-20 minutes after sitting down (we had to flag someone down multiple times), and the waitress then proceeded to come back and ask a ton of questions that we had already answered about our order. She also forgot our side.  Food was good and fairly priced, but honestly the total lack of customer service made this such a distasteful experience that we are going to start trying some of the other eatery options at the Short Hills Mall."
Allan W.,"Succasunna, Roxbury Township, NJ",0,8,2,3.0,6/30/2017,"Very good food but extremely slow service. Waiter is very nice, seems that she has too many tables. It took way to long to get our food and desert"
Franco C.,"Scranton, PA",0,2,2,1.0,11/5/2016,"This place doesn't deserve ANY stars... what an aweful service. And the Mgr keeps a blind eye to the problems. I will make sure that none of my friends, business associates and clients will NEVER go there. Too much incompetence. it really Sucks. I was going to write what happened..but where do I start...  the service has been constantly bad... orders wrong or never placed.. wrong drinks.. even alcohol in a minors smoothy...  SUCKS BIG TIME"
Erskin B.,"Hillside, NJ",0,3,,4.0,1/10/2017,Vanessa is great! Great customer service!!! Every time I go in everyone is nice and welcoming and I get taken care of right away. Really representing their brand.
Katy S.,"Hopatcong, NJ",40,48,1,1.0,2/10/2017,"Absolutely terrible restaurant ! The service is slow, the staff is rude. The food is subpar at best. Steak is flavorless the cheese steak came out so tiny on a hard hoagie roll the size of a Taco Bell taco. Our drinks were never refilled one of our kids burgers came out 8 minutes after the rest of the tables food. The waitress never said thank you or please to anything and seemed bothered anytime we asked for anything. The hostess are too busy dancing and texting to acknowledge you. They buzz you 10 mins before your table is ready and leave you standing in everyone's way. It was our daughters birthday dinner and they brought everyone dessert but hers and waited over 5 minutes to come out singing with hers. I would never come back here."
Sharon P.,"Wilmington, DE",0,26,,2.0,11/26/2016,"Just bought $900 worth of gift cards to score the 2 free slices For every $25 spent and now my tale of woe.  We bought these cards at the Christiana Mall in Delaware and we travel to NJ to visit family after Thanksgiving and usually about once a month. I have to say that the Short Hills location PALES next to the Christiana Mall In Delaware in both food and especially in service. We eat out too much and we have tried a ton of menu items and know what is good. The service in Short Hills is not very good, servers do not seem well trained and it is a bit chaotic for no reason. Every time I ask them not to over cook the Miso Salmon. It comes out rock hard and I choke it down so I don't have to wait for another one. This is not a hard thing to do, Christiana Mall usually gets it right. Why have fresh salmon that comes out dry like canned tuna? It is just a few minutes less cook time, or an experienced line cook. The best Cheesecake Factory is in San Fran across from the St Francis hotel. The staff and the kitchen is top notch and cooks fish perfectly, so it CAN be done. Short Hills could do so much better with better training and staff!"
