Username,location,friend_count,review_count,photo_count,rating,date,review
Rosita M.,"Northside, Syracuse, NY",10,6,15,5.0,10/3/2017,"This is probably my new favorite spot! They have the works, they even box the food for you. Our waitress was great. She was funny, friendly, attentive and fast. The food was great, they have a plethora of choices from drinks to food and cheesecake! The atmosphere was splendid, works for a intimate dinner, a lunch with friends or even the whole family. Nice dining with cloth napkins and low lights. I enjoyed my first time experience and will be returning back with my fiancé. We ordered: Jamaican Black Pepper Shrimp Grilled Steak Tacos Caramel Royale Macchiato  Typhoon punch Crispy Cuban Rolls"
Stefan F.,"Boston, MA",0,20,26,3.0,12/13/2017,"Waited almost a half hour to be seated despite plenty of open tables out on the patio. Had the option to eat at the bar but there wasn't adequate seating and the noise level was unpleasant. Ordered a large garden salad that was delicious with the cilantro dressing!  When the White Bean Chicken Chili was delivered the server stated ""be careful it's hot"" and the dish bowl was however, the chili was warm and some of the chunks of chicken were not. Sent it back and it was delivered piping hot (of course) and it was a very tasty dish. Waitress didn't ask if I was interested in dessert which I was somewhat surprised by, not to mention no sincere apology for the barely warm chili.  The food is usually tasty but pricey and this was the first time I've ever had to send a dish from this chain back. I guess I'll go to the counter and get my own cheesecake now!"
Joshua D.,"Liverpool, NY",256,281,635,1.0,10/8/2017,"So I normally don't like adding a one star review, but today I have no issue whatsoever.  We come here often(which will be changing for sure) and so we have a general idea of what they serve and what's delicious.   So today we planned to go to the Sunday brunch, which is quite delicious.  We got up early, but we had to go to a funeral home first. That took quite a while.  I want to preface that had we showed up at 2pm or 2:01pm, I would not be upset.  So we rushed to restaurant after the funeral home and got their about 140.  We told them we wanted to have the brunch, but the girl said that by the time the ESTIMATED wait time was up, it would be 2:10 and brunch would be over.  I let her know that we arrived before 2 and that it wasn't or fault there was a wait time.  She said she would be happy to ask a manager for us. (Side note: she was very pleasant and a good employee).  I heard her ask and explain the situation.   The manager told her that they stop brunch at 2pm and that due to limited supplies they couldn't let us have brunch if we ended up sitting after 2pm.  Again...the time frame was an estimate and we may well have got our seat in 15 minutes.  That excuse was utter nonsense.  I have worked in the restaurant industry and that is a common reason to give.   For this reason we won't be back for a long time.  Again we didn't show up after 2pm and if we were seated at 2:10 it's only a smidge past 2.  Not cool guys. Not cool."
Fox E.,"Buffalo, NY",3669,4868,17338,2.0,8/2/2017,"Cheeses, Mary & Joseph! The prices are high! But some of the stuff here is decent. It's really not a bad franchise as far as franchises go. This particular location didn't have service as stellar as the ones in Buffalo and Washington DC and Pittsburgh that I have been to recently. The product is pretty decent but I wouldn't say great. Some of the shakes are sometimes great. I find the cheesecake really bland compared to the best of Chicago and New York which are Elixs and S&S of Bronx. The burgers here are nothing more than average. I'm not really sure why people who think they know good food are obsessed with this corporate chain."
Guy R.,"Syracuse, NY",1,67,78,3.0,6/19/2017,"Went on a Friday night, they were not to busy, we only waited a few minutes for a table. We sat on the patio part, overlooking the mall walkers. Service was MEH, she was not overly friendly, and just seem to be going through the motions. Food was good, it did not WOW us, but it was good. Overall not much to say"
Kwi L.,"Syracuse, NY",103,144,443,1.0,4/25/2017,"My friends and I were in the mood for a late night snack while window shopping in the mall. We had all agreed upon cheesecake. We were seated in the bar area in which the hostess said ""bar seating is available with full service"".  NOW I do not know how much full service we actually got. It took a good 10 minutes for the waiter who dropped off our menus to return for our drink orders. Now granted maybe he was busy.... I was trying to give him the benefit of the doubt. Soooo we continue to order our food. I ordered the beet salad since I was not as hungry. Supposed to be beets, goat cheese, and a bed of arugula. Came out and the salad was so bitter and hardly no arugula on the plate. The greens had long green stems on them so it was difficult to eat it.  NOW... my friend ordered the beet salad and an order of wings.... Another friend had already gotten her fried foods and we had to patiently wait for the wings. We're thinking oh they're wings so they're fried... probably takes LONGER, right??? Finally we decided to ask the server where are the wings? He says he will go check on them. He returns and proceeds to tell us they NEVER dropped them! So I assume hey maybe an apology for not getting the order out? maybe a beet salad taken off... maybe a drink? NOTHING! Soooo yeah probably won't be returning anytime soon for overpriced and mediocre food with poor service. Look elsewhere."
Eric G.,"Huntington Station, NY",55,72,14,2.0,8/10/2017,"So far... got here at 9:20 on a Thursday night. Restaurant is 1/2 empty. Still made us wait 10 minutes for a table. Took nearly 30 minutes for two dinner salads and a hamburger. The burger was good, the salads,  meh. 10:20, ordered two pieces of cake. 15 minutes later,  still hadn't received the cake in a 75% empty restaurant. Canceled the cake got the check and left. Not worth it."
Dave S.,"Syracuse, NY",63,69,175,3.0,7/21/2017,"I'll start off by saying. Corporately run big chains are not my cup of tea. Maybe I do have a little hipster inside of me for that. But they always seem the same. Long waits for underwhelming food I can make at home. So why did I make 4 attempts to come here turning down a 45-60 minute wait each time and keep coming back. I'm not sure. Partially cause I have never eaten at a Cheesecake Factory, and some genuine curiosity about how in the world it's so popular. Now, I don't eat cheesecake, or really any sweets for that matter and I guess that is the huge selling point for this place. So maybe that's my reason for a lower star review. But here we go on my take on this joint.  First off like I said. Don't come here if you don't want a wait. At least this destiny location. It took me five attempts to get a cramped small table that might as well have been family style and joined with its neighbors. But my wait this time was less than five minutes and I can live with that. The decor was not at all what I expected given my only experience with the Cheesecake Factory is the Big Bang theory. And this looks absolutely nothing like it is on that show. To use the word ostentatious would be an understatement. However it's so busy here that it seems hard for the staff to keep the simple things clean. Like some booths have mirrors covered in fingerprints and there a lots of crumbs on the floors when you're churning out the business this place does. A lull to clean is probably a hard commodity to come by. The seating as I said. In the section I sat in was a long bench booth seat with 5-8 small tables then 5-8 wicker chairs on the opposite side. So close I bumped elbows with my neighbor attempting to leave after eating. If you want to have a private conversation. You won't here.  The menu is pretty intense with a lot of options. But all fall pretty much in line with any other corporate location. A page of apps, a page of burgers, pasta, steaks, sandwiches and so on. And a completely separate one for their wide selection of desserts.  This was a date night for me and the fiancé. And we had a movie after so I didn't want something heavy in my stomach. But loaded tater tots isn't something I could pass on. I'm a sucker for a good potato appetizer. And I also ordered a Cuban sandwich because it's one of my favorites. She got a chicken Marsala pasta dish. I'll give the servers credit. They got each other's backs and everyone helps everyone. And that's great. But I found it weird that they announced their breaks and introduced a new waiter every time. Saw it happening all over the restaurant, But I think that's just me probably that found it weird. But super friendly and helpful and very well trained at their jobs.  The food came out appetizer first and a order of bread on the house. I wasn't super thrilled with the bread but I can always appreciate softened butter when it is served because spreading something right out of a cooler can be a pain. The tots, delicious. And as much as I hate to admit it. Being someone that despises sriracha. Their dipping sauce was also really good as well. So we were off to a good start. The sandwich came next. And Ill say while it's not the real deal Cuban, It's a fair replacement for it. Cuban bread isn't a easy thing to come by in upstate NY they used a chewy crusty odd bread that I wasn't sure what it was exactly that was flattened in a sandwich press. The meat inside was juicy and flavorful though and the mustard and pickles weren't bad either. Not the best ever. But a very far cry from the worse. Fries were also done very well. Not crunchy, nor soft. Sort of right up the middle again. Naomi's Marsala could have stood to have the wine cooked out of it a little more. But the pasta was perfect and again. Right up the middle with the food. If this place was a round of golf. It's definitely shooting par.  Naomi got a banana cream cheesecake slice to go. And as I said. I don't eat the stuff. But it looked tasty enough I that counts. Bill wasn't too awful. If memory serves about 60$ for two people including tip. So all and all an affordable option for a date night.  So I guess my general consensus of this place is what I expected going in. My socks still firmly on my feet. Not blown off, but my stomach full and happy. My experience with Cheesecake is par for the course. I'd come again, but definitely on like a Wednesday afternoon when I might be able to hear myself think."
Shantanu B.,"ON, Canada",35,121,255,4.0,12/26/2016,"We have always admired the service and menu options at Cheesecake Factory and thankfully this location didn't disappoint. Stopped here to meet friends in Syracuse and had an excellent late lunch in Destiny mall. Enjoyed every dish followed by trademark cheesecakes for desserts. Two entrées in particular were very appetizing: The Shrimp & chicken gumbo and Bang Bang Chicken & Shrimp. Tiramisu was a perfect dessert. Hershey chocolate cake was a relish. All drinks were made to perfection. They also serve alcohol, the old fashioned way which is not on the menu. Last but not the least, convenience of parking outside and straight in to be seated."
Sreyoshi D.,"Somerset County, NJ",27,52,75,4.0,5/15/2017,"The food, service, and cleanliness all remain on point. What I hate here is the exorbitant price for everything. Add to that the horrid dim lighting. I can barely ever read the menu properly. But ranting apart, the food has never been disappointing. My favorites here are the bang bang chicken and shrimp, cajun chicken and shrimp jambalaya, shepherd's pie, and last time a new dish got added - the chicken and shrimp gumbo. I would definitely recommend these, apart from the variety of cheesecakes of course. The prices are quite high. Each of the above mentioned dishes come at either $18 to $20. I ordered a house classic margarita as well, which was a whopping $10.25 -_- not at all expected. At least they didn't skimp on the alcohol there. But yeah, wish this chain would go easy on the price."
