Username,location,friend_count,review_count,photo_count,rating,date,review
K. B.,"Thousand Oaks, CA",82,9,,2.0,7/31/2015,"Very irritated. I called to place an order for two cheesecakes and they put me on hold for twenty minutes! I don't know why I waited that long I guess they were waiting for me to hang up. they finally answered 5 minutes before they closed and sounded very irritated by repeatedly saying ""you can place your order only if you come before 11"" How am I supposed to get there in 5 minutes? I understand coming in 5 minutes to get an order can be annoying but I called in 20 minutes before and i'm pretty certain they made me wait that long so I could give up and hang up."
Mac N.,"Oxnard, CA",4,117,26,2.0,10/10/2013,"Okay..I've eaten at several of these chains and am only speaking about this specific Cheesecake Factory.  Previous to my most recent visit, I have dined at this specific restaurant four or five times without any issues. My cousin and I met up for a dinner during the week. Since it wasn't a weekend, the wait was less than five minutes (yay!).  We were seated in the area near the kitchen which are ""booths"" only one person wide.   While waiting for our meal to come out, I thought I saw something crawling on the side of the wall.  It was hard to tell since the lighting is dim and the walls are dark, so we both disregarded it and continued to talk.  When our meals came out we had no complaints.  I had a chicken dish (I can't remember what).  Halfway through our meal we BOTH saw something crawling on the wall, but we were unable to kill it.  A few minutes later, a bug (which looked like a baby roach!) crawled across her bread plate!  She killed it with her napkin and we promptly called the manager.  He comped our meals and asked us if we wanted dessert (really?)! We were only halfway through eating...we tipped and left sans dessert because of how disgusted we were. I liked dining here previous to this experience.  The bug probably came from the dark paneled walls...but just seeing it crawl across a plate is a strong enough memory to keep me away from here for good."
Honest R.,"Orcutt, CA",0,15,5,5.0,8/26/2014,"The customer service is always fantastic and the food is great! I've gone here twice, each time with a different waiter and they never seem to disappoint! Definitely the best service I've ever received at a restaurant. I recommend trying to strawberry shortcake, it's delicious. Definitely coming back."
John A.,"Newbury Park, CA",24,43,2,1.0,6/26/2011,I will start this off my saying that I LOVE the Cheesecake Factory. On average the establishment is clean and and the food is satisfying.  The Cheesecake Factory is Thousand Oaks is BELOW normal Cheesecake Factory standards and below most roach coach standards. On a recent visit I observed a bus boy wipe a nearby table off and then proceeded to wipe the booth off as well. Then the bus boy took the same rag and re-wiped the top of the table off with it! Very disappointing. Throughout the meal the bus boys walked by with their rags with stunk with the smell of cleaner and bleach. I thought it was just myself who noticed this but it soon became a table topic as everyone was able to smell the odors. If you want the Cheesecake Factory its worth the extra drive to find another location.
Mr. G.,"Oxnard, CA",5,26,2,5.0,4/3/2014,"I been here only two times, but I gots to say the food was amazing. Its a pricey but its worth it. First vist I got the chicken madeira, and 2nd vist was the spicy chipotle pasta. The bomb!!!"
Fidan B.,"Simi Valley, CA",75,63,112,4.0,10/23/2014,the place is awesome! they just get too busy and you get  lost in the craziness. but they have an awesome variety and the food is always going to be delicious. they have the most amazing kobe beef burger. ever. ever ever.
Anna K.,"Los Angeles, CA",358,201,243,3.0,9/18/2011,"Came here for my dad's birthday lunch on a Sunday. It was very crowded and the line for seating was extremely long (on a Sunday afternoon? Very interesting). I was put down on the waitlist for 5 people, and the girl told me it would be around a 20-25 minute wait. It actually was more like a 2 minute wait, which was awesome for us!  We were seated promptly and given our bread and drinks very quickly. The sourdough bread at Cheesecake is always blah (especially compared to the sourdough I am used to eating at Boudin), but I always love me some good squaw bread. Yumm. Our server was insanely nice and friendly. He made us all feel really welcome and happy.  The reason I am giving this place a 3-star review is the food -- although (as always) large in size, colorful, and beautiful, it simply is not that exciting and delicious to a foodie that's used to scrumptious mom-and-pop restaurant food. We got buffalo wings with blue cheese dressing, 2 different salads, and 2 pasta dishes. They were all ok, but for what we got, definitely not worth the $90 price tag!!  We had a nice time at Cheesecake for a birthday lunch, but I need to remind my sister to stop suggesting Cheesecake Factory for family get-togethers if we want tastebud-tingling food on special occasions."
Sandy P.,"Thousand Oaks, CA",40,43,,4.0,8/23/2015,I like this place especially the cakes:) the service I find is good I enjoyed it def will b e nback
Troy W.,"Newbury Park, CA",0,24,,5.0,4/28/2014,"I am writing this review for one reason...   the macaroni and cheese hamburger!!  The genius who came up with this simple, unique creation should be given the culinary equivalent of a Nobel Peace Prize!   To say blending mac n cheese with a hamburger is akin to the first time chocolate and peanut butter were put together is not any sort of crazy exaggeration. BRAVO Cheesecake Factory!!!"
Amber D.,"Thousand Oaks, CA",13,27,5,4.0,3/27/2014,I ordered to go and it was ready very fast! Very nice feeling . Live the location. The food is just great!
