Username,location,friend_count,review_count,photo_count,rating,date,review
Joseph D.,"Martinez, CA",8,117,13,4.0,9/14/2013,"Bar staff was good. He kept out drinks filled and was friendly. I had a chicken dish, I think chicken marisala, he said it was a hot seller and I can see why! It was fantastic. The mashed potatoes were perfect, the chicken cooked just right and the sauce with mushrooms was creamy and had a great flavor."
James W.,"Canadian, OK",1,16,1,5.0,1/3/2015,"What can be said that hadn't already been said? Nothing, everyone in my family loves it. The service is great, the menu is a book that has something for everyone, really everyone, no really e v e r y o n e, the food is thought out and very good, the portions are unreal so there is alway something to take home. Good luck on choosing cheesecake cause it's all good (you'll be taking that home too). It's usually busy and there's some wait time to get seated, so plan a little time for it if your like us and drive from the country to Tulsa to shop."
The S.,"Queens, NY",1,16,,2.0,9/7/2013,"The service was doting and excellent. The food, unfortunately, was horrific. I ordered chipped beef sandwich and it was the saltiest thing that I ever put in my mouth. My wife ordered fish tacos and she seemed had the opposite problem--no flavor at all. I've heard good things about this Cheesecake Factory before so I'm hoping it was a chef's error. My meal left me in physical pain, however, and after that I won't be back."
Adrian A.,"Tulsa, OK",1,7,2,5.0,9/21/2014,Cheesecake factory is one of the best restaurants in the Tulsa area. The Tuscan chicken is outstanding!
Nathan B.,"Ocala, FL",41,208,96,5.0,6/15/2012,"Most excellent meal for our first time. Had the shepherds pie. Very good but different spin on what I'm used to in shepherds pie. Only thing I didn't particularly like is the lightning. It was very dark and hard to read the menu which nicknamed the ""phone book"". The cheesecakes my gawd don't know how many they had but the mango key lime was excellent."
Natalie D.,"Tulsa, OK",51,168,55,4.0,6/10/2013,"Evelyn's Favorite Pasta is good. Corey, our server, is great."
Tania H.,"Austin, TX",55,246,403,2.0,9/17/2009,"So maybe I went on a week night and things were not up to par... The Cheesecake Factory is always beautiful with a huge menu etc... But I was there alone on a business trip, got sat in the bar area and then it took roughly 15mn for someone to come over and ask if I needed any water!  After that, service was sketchy at best, but my appetizer was great, my bread showed up with my meal, and my Endives/Pear salad looked like a heap of lettuce with shreds of endives and some sort of candied pears...   I guess it wasn't what I expected... and it was a LOT of not what i expected."
Scott D.,"Houston, TX",73,171,150,4.0,7/26/2009,"You always know what you're getting with Cheesecake Factory: fresh-made food at a chain restaurant and portions large enough to feed an army of horses. We started with the ahi carpaccio which is always delicious, especially when the kitchen goes light on the mayo-based drizzle. The Pasta Da Vinci was a savory, splittable second course.  Of course, the cheesecake is a nice cap on any meal (try Vanilla Bean or Macadamia Nut), but dessert is overpriced."
Nix F.,"Oklahoma City, OK",0,16,,4.0,7/28/2009,"It's Sunday, and the church crowd is hungry. You'd think service at a restaurant like the Cheesecake Factory would be painful and asinine to attempt.  Well, we decided to bravely attempt it anyway, and were surprised.  Upon arriving, we noticed the parking lot was full.This and the plethora of people dressed in formal is always discouraging; however, to our surprise, we were hastily seated.  Our waiter was flooded with other tables, but we still received much attention  What made this a great experience was the fact that even during their busiest time they still manage to offer great service."
Christina B.,"Brooklyn, NY",36,105,1,4.0,6/2/2011,"We don't have one of these in nyc, so I always go when I am on vacation.  I almost always get the same things--either the Cajun Chicken Jambalaya or the Crusted Chicken Romano, and of course, I split a slice of cheesecake (usually picking whatever the special is).  I love this place."
