Username,location,friend_count,review_count,photo_count,rating,date,review
Rich M.,"Santa Clarita, CA",0,3,1,1.0,1/29/2017,"Thsi review is really more about the curbside pickup then the food. I have currently been waiting curbside for my food for 36 minutes. I called when I arrived and then had to call 20 minutes later because nobody had come out. I finally received my food 37 minutes after getting here. They offered a free loaf of bread, which I think is free anyways. The kid who brought out the food was nice enough but this was an awful experience."
Kristine S.,"Valencia, CA",0,2,,1.0,11/12/2016,"We knew there would be a wait and we were fine with that. We waited an hour, which wasn't bad. The service was just awful. Others picked up the slack for our waitress. We still were patient knowing it's opening week. Then, two of our 4 dishes were not good. Cheesecake's standard cashew chicken had a black, over cooked sauce. We still were patient and had no complaints as they were all so busy. Then, we get the waitress to pay our bill and have now been there for 2 and a half hours now. She comes back and says the AE didn't go through so we gave her another card. This morning we checked our cards and she charged both. We went back to the Cheesecake and talked to a manager named Nicole. She wasn't concerned about the charge, quality of service or food. She just brushed us off and so that is why I am posting for the first time on yelp."
Don S.,"Canyon Country, CA",1,43,2,1.0,7/31/2017,"First experience at the Cheesecake Factory and it was not good.  We were seated and the waiter was very nice.  My wife ordered coffee which took 15 minutes to get.  After 30 minutes my sons French toast came out without his side of bacon. Then ten minutes later 2 more meals came out. Then ten minutes later 2 more meals came out.  I went and talked to the manager told him all the problems. No apology.  Sons bacon still not out.  Couldn't get syrup for the French toast which was now cold.  Other sons pancakes were cold.  My omelette was rubbery and greasy.  The waiter admitted the runners were not bringing out the food fast enough.  When finished my favorite was the busser.  He collected one plate at a time. Plates were stacked all over and he came by twice and collected one plate at a time.  Lol.  After an hour and a half we ordered 3 cheese cakes during their half off sale. So the manager took off two of the three half off cheese cakes.  I had to laugh.  They took off two cheese cakes that were already half off.  The party next to us, ordered, ate, ordered cheese cake ate it, paid and left before we got our food. Beautiful restaurant but service and food were very marginal."
Cindy S.,"Canyon Country, CA",0,8,,3.0,3/18/2017,"I have frequented this locations three times since the opening.  Sat in bar area first 2 times as we were only party of twos. Once at 4pm and once at 11:45.  I was very disappointed in the Bang Bang chicken and shrimp. Nothing Bang Bang about it.  Luke warm and I think the shrimp should have been cooked a bit more. Seemed off.  Measly portion of rice spread thinly across the oval plate to look as if the plate was full. Would never order it again.  Service was acceptable. Waiter very nice.  Another visit was just appetizers. Sliders, Vietnamese spring rolls and drinks. Great service. And apps very acceptable.  Last visit took my family for my birthday in February.  Around  5ish. Server was just ok. She wasn't as friendly as my last 2 waiters. Food was ok. Nothing out of the ballpark. I think instead of such a large menu you could minimize it and make the dishes you offer spectacular.  Fresh and hot when served.  Cheesecake by far is the best thing about the night. We ordered one Salted Carmel and one Hershey's to split amongst the 5 of us.  And as seen in other reviews my dessert (would expect one at least) to have been complementary. After spending couple hundred dollars.  (Apps, drinks (bar) and sodas, 5 entrees n dessert.   Ya would think they would want you to patronize their business for birthdays at least they could comp a dessert for the guest of honor.  Asking too much?"
Patrick L.,"Palmdale, CA",0,11,,1.0,2/10/2017,"Service was terrible, food was cold, orders were forgotten. This experience was worse than 1 star. No surprise to see some of the negative reviews for this location. Will never be back!"
Thomas S.,"Santa Clarita, CA",0,9,,5.0,11/12/2016,The food was delicious and our server Kendall was phenomenal. They were so incredibly busy being so new but Kendall was fantastic and treated us so well. We will definitely come back.
CJ G.,"Los Angeles, CA",0,7,,5.0,11/27/2016,"Ok, so I would've given my review 3 stars...but Brandon my server saved the day. I pre-ordered (2) Thanksgiving cheesecakes.  I went Wednesday and waited outside in line (Opens at 11:30am)  planned on eating lunch too. I asked the hostess at the door if my server could pick-up my pre-ordered cheesecakes. She said, no, I would have to wait in the bakery line and pick them up myself.  Once my son and I were seated, I then went back to the bakery and waited in line to ""pick-up"" my cheesecakes. I waited for 30+ minutes with about 5 people ahead of me. The line did not move, not one single person had received their ""pre-ordered"" cheesecakes. While waiting in the bakery line from hell, I hear someone call my name. It was Brandon my server, who had been waiting for me to return to my dining table. He was able to get my pre-ordered cheesecakes for me while I enjoyed my lunch with my son.  I would recommend asking for Brandon as your server if you dine here, he totally turned my experience around into a great one!"
Steve E.,"Santa Clarita, CA",266,8,6,1.0,11/19/2016,"We were told it would be an hour wait to be seated, literally an hour and 40 minutes later our pager buzzed. So i told the manager we were frustrated by the discrepancy between the quoted wait time and the actual time. He assured me we would have great service for the rest of our meal. Ummmm right. It's been another 15 minutes and we still haven't ordered our food. I get they are new in Santa Clarita but you would think they would have their act together better than this...we are still waiting and I expect a lot more from Cheesecake Factory. Very unhappy. It has literally been two hours of waiting. On a happy note, bread just arrived"
Kayla Q.,"Valencia, CA",0,3,,3.0,11/19/2016,"When I heard that there was going to be a cheesecake factory in valencia I was so excited!! I had to go there immediately but then the wait came in... the front desk said it would take 15 min so my family and I waited and waited. It took an hour for us to get a table, thinking it was only 15 min!! Also, While my family and I were eating we had a cup that had FULLY PIGMENTED lipstick on the rim like it wasn't even washed!! I wasn't even sure if my cup was washed or my utensils! I love cheesecake too much though, I thought I would just share my first experience."
Alex S.,"Santa Clarita, CA",0,5,,2.0,1/30/2017,"Worst Cheescake factory I have eaten in. The servers are undertrained and subpar. Even worse all the chefs in their kitchen run around like their heads were cut off, resulting in cold, undercooked, or burnt food. After leaving very unhappy, ( food took 45 minutes to come out), I was even more pissed  to see HALF of their staff taking a ""break"" on the side of the restaurant."
