Username,location,friend_count,review_count,photo_count,rating,date,review
Cassie T.,"Pocono Summit, PA",37,6,,4.0,7/21/2017,"I love their mojitos!! It was good as always. I can't remember our servers name. maybe Nate but he was wonderful! Clean, yummy, and more importantly yummy drinks!"
Sunhae M.,"Chesapeake, VA",0,4,6,1.0,1/22/2017,Get the togo box and put your leftovers by yourself. Our server put the togo box for us and we just find out later we get home that there's way less much of food in the box. It's just too obvious so I don't evknow what to say. It supposed be half of plate but it's only quarter. So weird..
H. W.,"Virginia Beach, VA",1,95,183,4.0,5/12/2015,"I've always been a fan of this place. They always meet the mark for me. Some say they are pricey but that just means they can't afford it. Yeah you may have to wait for a little while but good things come to those who wait. So it is what it is.  Food is always fresh and hot. No frozen mess. This is my go-to place always.  If something isn't broke, don't fix it!"
T V.,"Key West, FL",0,15,,1.0,6/3/2017,Please note the name. We had to wait over 20 minutes for two slices of Cheesecake. By the way this was at 11:00 PM. On top of that the server was visibly miffed that we weren't there to drop a couple of Bengies on a late dinner- and the service reflected it. Get it together folks. You can do better.
Yuki J.,"Virginia Beach, VA",0,9,1,5.0,7/3/2016,I had a wonderful birthday dinner for my daughter and  all waitress were very nice and helpful!! Birthday cake was cut in peaces already and came with the ice cream for her with her name on the plate which was very cute!!
Art D.,"Chesapeake, VA",1,17,1,1.0,9/18/2016,"Went there during brunch/lunch time before a concert with my kids. I ordered my usual orange chicken and the chicken was soggy and mushy, the snap peas were salty and hard, the rice was dry. My daughter ordered cheese pizza and it had too much cheese and the crust was burnt. She didn't finish it, which is rare because she loves pizza. My son ordered fried chicken sliders and the chicken was overcooked and hard. When I got home I felt like I had food poisoning and horrible heartburn. Had to take medicine and felt like vomiting.   Their quality has went down dramatically and clearly there is no quality control in place. I blame the management, the head chef, and his staff for producing such poor quality food.   I used to love this place."
Lindsay W.,"Newport News, VA",23,66,97,3.0,10/28/2016,"My husband & I came from Newport News to eat dinner & see a haunted house. Unfortunately with a small delay at the tunnel & a 20 min wait we weren't seated until just before 9pm. We had looked at the menu while waited so we'd be ready to order. We were greeted by a very pleasant Louis.  While waiting for drinks my husband noticed silverware on the floor under our table that hadn't been cleaned before we were seated. My water was in a plastic mug without lemon that I requested & my husbands tea was in a glass with a straw. After bringing our drinks, he brought whole grain bread & some French. It was nice & hot. My husband had Evelyn's favorite & I had steak Diane & shrimp scampi combo. His rigatoni had penne mixed in which isn't a big deal.  When a different waitress delivered his plate she said the plate was really hot.  Unfortunately mine was not and my food was lukewarm at best. The flavor was delicious though. The shrimp scampi was creamy & not oily and had full cloves of roasted garlic. The mashes potatoes weren't very mashes. Twice I got a large potato of my fork which I had to take off and cut with the side of my fork. They were good redskins but almost too buttery for my liking overpowering the yummy potato.  The steak medallions were a perfect medium.  The sauce was very rich.  Unfortunately Louis didn't check on us until we were 3/4 done with our meal and apologized when I let him know my food was cold. He was busy with a 20 top next to us.  We got our key lime cheesecake to go which I'm sure will be great. Very nice setting and our waiter was very pleasant.  Not perfect but still tasty."
Nicole A.,"Manhattan, NY",0,8,6,5.0,7/7/2016,"Just started to use yelp lol, food was great as always, great to see that the food standards at cheesecake are the same everywhere, The service though, it could have been much better just to say, but once again overall great as always."
Jonezey B.,"Virginia Beach, VA",0,6,,5.0,6/19/2017,"Great Apps & Spirits on Happy Hour !!!  Our Waitress Lisa was a gem, 5 Star Service. Nice to have a pleasant dining experience, I'll be requesting Lisa when we return."
Lora W.,"Virginia Beach, VA",41,31,91,4.0,1/20/2015,"I have to say I'm not a huge fan of their dinner offerings but I love their brunch.  Brunch is only served on Sundays starting at  10am. We arrived around 10:15am and there were already several tables occupied.  We were warmly greeted and our waitress was very quick with our drinks. The coffee comes in clear glass mugs. Small loaves of warm bread were provided while we waited for our food. This is my second time ordering the crab hash. I love it. It's a bed of finely chopped potatoes, green and red peppers, and onions, topped with 3 poached eggs, lump crab meat and hollandaise sauce. It comes with a side of home fries or fruit. Delicious! Others at my table got French toast and something Mexican with carnitas. They really liked their food too.  Service was excellent."
